,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-11-27 00:00:00,101486.67702436178,291.0674212334104,45.626918622062625,2.311906094415416,0.004367030423894786,2.0
2022-11-27 01:00:00,101613.8845238277,291.09150470270697,46.45178310556992,2.3196,0.00071,1.0
2022-11-27 02:00:00,101626.98205198145,290.7488626168066,46.154222125147896,2.31827,0.00067,1.0
2022-11-27 03:00:00,101648.69165344178,290.8342494624942,42.18335778987127,2.29371,0.00074,1.0
2022-11-27 04:00:00,101617.47288770543,290.8145448057971,37.45336803874623,2.26341,0.0007,1.0
2022-11-27 05:00:00,101598.6339773473,290.5222590647894,37.81874063449573,2.26552,0.00071,1.0
2022-11-27 06:00:00,101529.19913631301,290.4445351411507,36.97126044616988,2.25886,0.00067,1.0
2022-11-27 07:00:00,101497.98037057667,290.18946930723763,38.2385005549918,2.26637,0.00057,1.0
2022-11-27 08:00:00,101461.5584772176,290.2890872938732,38.234282555521034,2.26555,0.00052,1.0
2022-11-27 09:00:00,101472.6824052386,290.03073735051066,37.16694336015533,2.25923,0.00056,1.0
2022-11-27 10:00:00,101500.31280709719,289.310422677915,36.086540868337735,2.25344,0.00059,1.0
2022-11-27 11:00:00,101504.79826194436,289.28962331806804,36.30978326394552,2.25495,0.00056,1.0
2022-11-27 12:00:00,101578.00088505029,289.70232640555827,35.21103436516351,2.24923,0.00046,1.0
2022-11-27 13:00:00,101639.18248916577,290.532111393138,34.502550777161815,2.24549,0.00052,1.0
2022-11-27 14:00:00,101701.44060244458,292.7762528503128,33.41149576741122,2.23858,0.0006,1.0
2022-11-27 15:00:00,101713.46162143501,293.6695306205834,35.341881567850564,2.25033,0.00067,1.0
2022-11-27 16:00:00,101740.73318690584,294.1358741624158,34.208038094807506,2.24354,0.00072,1.0
2022-11-27 17:00:00,101677.03972807594,294.9273445397511,37.5388489418575,2.26248,0.00078,1.0
2022-11-27 18:00:00,101542.83491904843,294.9875532129924,37.21609888324878,2.25776,0.00072,1.0
2022-11-27 19:00:00,101415.44800138862,294.4467698569708,38.57096351998504,2.26398,0.00072,1.0
2022-11-27 20:00:00,101339.01585079274,293.2699639708913,38.23562074223481,2.26114,0.00074,1.0
2022-11-27 21:00:00,101372.20821666183,292.61533148728614,36.91593313177343,2.25399,0.00095,1.0
2022-11-27 22:00:00,101416.34509235805,290.95357210582694,39.965804711940415,2.27507,0.00085,1.0
2022-11-27 23:00:00,101488.83004268842,290.3996523120072,38.09097781396298,2.26512,0.00091,1.0
2022-11-28 00:00:00,101525.43135424139,290.19494282298683,36.9528439814506,2.25883,0.00136,1.0
2022-11-28 01:00:00,101577.10379408085,290.62953997347387,44.487099986044306,2.3069,0.00085,1.0
2022-11-28 02:00:00,101667.53056379993,290.5419637214866,38.91995053236517,2.2738,0.00103,1.0
2022-11-28 03:00:00,101714.89696698611,290.4609556883983,36.946435950139524,2.2624,0.00097,1.0
2022-11-28 04:00:00,101717.94707628219,290.442345734851,35.27022395013546,2.25194,0.00111,1.0
2022-11-28 05:00:00,101650.30641718677,290.11502949304844,33.92966724282472,2.24236,0.00095,1.0
2022-11-28 06:00:00,101572.4389210398,290.01212739696336,32.087939702801656,2.22928,0.00072,1.0
2022-11-28 07:00:00,101501.5687344544,290.12926063399635,36.58139995720512,2.25606,0.00065,1.0
2022-11-28 08:00:00,101441.46363950224,289.9136041134776,35.85389363347527,2.25042,0.00056,1.0
2022-11-28 09:00:00,101400.37687310211,289.0575462503017,37.6091362539633,2.26121,0.00066,1.0
2022-11-28 10:00:00,101319.63868585293,289.1100920014941,34.722886049045734,2.24136,0.00067,1.0
2022-11-28 11:00:00,101402.17105504098,288.9097613250731,37.61333122082914,2.26137,0.00059,1.0
2022-11-28 12:00:00,101491.52131559674,288.7882492754407,36.78264776266032,2.25799,0.00055,1.0
2022-11-28 13:00:00,101576.56553949919,289.6399283260173,37.232416723683734,2.26197,0.00059,1.0
2022-11-28 14:00:00,101623.21426990982,292.1905866651477,37.04537771553575,2.26008,0.00056,1.0
2022-11-28 15:00:00,101632.00576141028,293.27215337719093,37.15190970377089,2.26023,0.00064,1.0
2022-11-28 16:00:00,101623.39368810371,293.45387410006464,36.25290435453025,2.25434,0.0007,1.0
