,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-11-27 00:00:00,101221.13809740894,296.1807796463195,49.39387495965901,2.4367261788226586,0.005685668227289212,2.0
2022-11-27 01:00:00,101340.09235995606,295.8414216698687,51.775707880688024,2.45426,0.00066,1.0
2022-11-27 02:00:00,101361.8019614164,295.42324506662925,49.59861807568906,2.44159,0.00055,1.0
2022-11-27 03:00:00,101385.66458120337,295.35756287763877,50.61041325473661,2.44842,0.00055,1.0
2022-11-27 04:00:00,101387.09992675447,295.45170734852513,47.41572457175558,2.42857,0.00056,1.0
2022-11-27 05:00:00,101346.551414936,295.0269625263867,48.81816878218004,2.43676,0.00056,1.0
2022-11-27 06:00:00,101285.5492290144,294.9010716641549,49.51092797094461,2.43988,0.00056,1.0
2022-11-27 07:00:00,101260.07184548244,294.7598549578254,49.140113484290886,2.43716,0.00051,1.0
2022-11-27 08:00:00,101234.77388014436,294.9733220720444,46.769894664020484,2.42174,0.00042,1.0
2022-11-27 09:00:00,101238.72108040987,294.78284372397206,45.44686855206405,2.41376,0.00047,1.0
2022-11-27 10:00:00,101253.07453592084,293.98371042458785,44.856823469743,2.41101,0.00049,1.0
2022-11-27 11:00:00,101288.41992011659,293.96510047104056,43.113513654396755,2.40092,0.00048,1.0
2022-11-27 12:00:00,101352.47221533426,294.2420603679504,42.91978242853094,2.40086,0.00043,1.0
2022-11-27 13:00:00,101409.70661918423,294.7784649113727,43.338090792869515,2.40427,0.00042,1.0
2022-11-27 14:00:00,101482.01215132071,296.6755854700478,43.226281729699785,2.40371,0.00046,1.0
2022-11-27 15:00:00,101513.23091705707,297.1517813402288,42.151351401160426,2.39739,0.00046,1.0
2022-11-27 16:00:00,101547.14095570172,297.05544746304275,42.4880823275158,2.40025,0.0005,1.0
2022-11-27 17:00:00,101463.71149554424,298.2026963640765,43.89803574086798,2.40635,0.00051,1.0
2022-11-27 18:00:00,101351.03686978317,297.7801409482377,44.112748851321825,2.40561,0.00058,1.0
2022-11-27 19:00:00,101270.29868253399,297.70132232144914,44.17472276510678,2.40435,0.00055,1.0
2022-11-27 20:00:00,101142.19409209864,297.33897557885166,43.6555622614421,2.39872,0.0006,1.0
2022-11-27 21:00:00,101105.95161693345,296.54093698261727,43.907586178143696,2.4001,0.00064,1.0
2022-11-27 22:00:00,101116.5372903728,296.34389041564583,47.310931789969956,2.42151,0.0006,1.0
2022-11-27 23:00:00,101200.68442330582,295.590734648555,45.28452652089474,2.41133,0.00066,1.0
2022-11-28 00:00:00,101258.45708173745,295.5381888973626,44.449051622961555,2.40741,0.00102,1.0
2022-11-28 01:00:00,101335.427486915,295.860031623416,50.80885594885158,2.4481599999999997,0.00076,1.0
2022-11-28 02:00:00,101478.24436924909,295.3291005957429,46.00313032116838,2.42183,0.00092,1.0
2022-11-28 03:00:00,101509.64255317932,295.05542480828257,43.41061229738324,2.40662,0.00076,1.0
2022-11-28 04:00:00,101497.62153418889,295.0203943074876,43.55844029628495,2.40731,0.00077,1.0
2022-11-28 05:00:00,101418.31869249081,294.62739587669455,42.62607171834799,2.40014,0.00085,1.0
2022-11-28 06:00:00,101342.96305105825,294.56280839085395,43.18777720125196,2.40209,0.00054,1.0
2022-11-28 07:00:00,101270.83693711566,294.80911659956826,44.11388049018775,2.40614,0.00047,1.0
2022-11-28 08:00:00,101208.21998744908,294.64272172079234,44.813156804729296,2.40929,0.00041,1.0
2022-11-28 09:00:00,101186.15154960097,294.1501053033637,45.312884246211155,2.41231,0.00047,1.0
2022-11-28 10:00:00,101088.36863393252,293.96181636159105,44.413481441472854,2.4048,0.00053,1.0
2022-11-28 11:00:00,101170.72158492668,293.5622497118989,45.52304175947322,2.41375,0.00051,1.0
2022-11-28 12:00:00,101279.80784681001,293.5731967433973,45.11398412058444,2.41349,0.0005,1.0
2022-11-28 13:00:00,101354.6252336609,293.8665771875548,45.29894191724029,2.41599,0.00047,1.0
2022-11-28 14:00:00,101419.9334562358,295.86988395176456,46.849448940360965,2.42542,0.00047,1.0
2022-11-28 15:00:00,101455.45825862543,296.6952901267449,46.31753711060926,2.42223,0.0005,1.0
2022-11-28 16:00:00,101455.9965132071,296.8507379740224,46.74187271400303,2.42474,0.00057,1.0
2022-11-28 17:00:00,101398.76210935712,297.42326772138944,45.847139793472934,2.41757,0.00057,1.0
2022-11-28 18:00:00,101274.06646460562,297.7746674324885,46.711861064193236,2.42,0.00055,1.0
2022-11-28 19:00:00,101184.17794946821,296.9634923984561,46.482928274978455,2.41733,0.00049,1.0
2022-11-28 20:00:00,101141.83525571087,296.0516046746382,46.897818718144656,2.41972,0.00057,1.0
2022-11-28 21:00:00,101127.30238200602,296.6317973440541,45.836740718886844,2.4124,0.00061,1.0
2022-11-28 22:00:00,101092.13641600416,295.314869454795,48.067412502734335,2.42651,0.00055,1.0
2022-11-28 23:00:00,101121.74041799552,295.34880525244006,47.2228661563326,2.4218699999999997,0.00053,1.0
