,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-11-27 00:00:00,101971.46498424458,290.4292092970529,13.475713783157419,2.2500317793414153,0.004292159100446514,2.0
2022-11-27 01:00:00,101979.5388029695,290.1642911347913,14.125220121825558,2.25435,0.00056,1.0
2022-11-27 02:00:00,102029.95531545176,289.22613053537725,13.257239689016835,2.25018,0.00056,1.0
2022-11-27 03:00:00,102046.64120748326,288.67221074155754,12.775280734002656,2.24762,0.00059,1.0
2022-11-27 04:00:00,102041.7969162483,287.9365702248641,11.994117485385782,2.24274,0.00048,1.0
2022-11-27 05:00:00,102011.83407786918,286.8276359340748,12.30610027791732,2.24432,0.00058,1.0
2022-11-27 06:00:00,101991.91865834771,285.6475459385458,12.444840744119901,2.24504,0.00051,1.0
2022-11-27 07:00:00,101963.92942010133,284.9294206722499,13.385685545097232,2.25061,0.00059,1.0
2022-11-27 08:00:00,101985.81843975555,283.5763675790459,13.327622754915147,2.25103,0.00049,1.0
2022-11-27 09:00:00,101966.9795293974,282.81007537415695,12.728603403355908,2.24697,0.00056,1.0
2022-11-27 10:00:00,101983.30658504114,285.07392148802893,12.061500200879173,2.24254,0.00048,1.0
2022-11-27 11:00:00,102028.69938809455,285.7953308637744,12.465561676024492,2.24592,0.00049,1.0
2022-11-27 12:00:00,101999.99247707262,287.9934947886559,12.6879649284737,2.24623,0.00047,1.0
2022-11-27 13:00:00,101955.49676498864,290.2277839174821,13.405724654931417,2.2493,0.00046,1.0
2022-11-27 14:00:00,101851.25479434026,294.7784649113727,13.557929734936241,2.24698,0.00047,1.0
2022-11-27 15:00:00,101766.92824321335,295.8315693415201,14.228711089440749,2.2491,0.00051,1.0
2022-11-27 16:00:00,101684.75471041308,297.819550261632,14.97912734002286,2.2515,0.00057,1.0
2022-11-27 17:00:00,101623.5731062976,299.9564108101224,14.92712153350071,2.24935,0.00053,1.0
2022-11-27 18:00:00,101497.98037057667,300.7905746103015,15.097767938901331,2.24752,0.00063,1.0
2022-11-27 19:00:00,101395.71200006104,300.9175601756831,15.612513116994638,2.24846,0.00053,1.0
2022-11-27 20:00:00,101323.40646792456,300.9109919567841,15.487024516422686,2.24616,0.00053,1.0
2022-11-27 21:00:00,101287.34341095327,299.703534382509,15.679171161622152,2.24688,0.00065,1.0
2022-11-27 22:00:00,101278.19308306502,298.51140265233175,15.404816007283856,2.24531,0.00056,1.0
2022-11-27 23:00:00,101280.52551958556,296.9875758677526,13.882950905267688,2.23636,0.00063,1.0
2022-11-28 00:00:00,101260.25126367633,295.89944093681027,14.581788053488909,2.24051,0.001,1.0
2022-11-28 01:00:00,101265.45439129905,294.1741887726603,13.905192008900226,2.23684,0.00061,1.0
2022-11-28 02:00:00,101267.96624601347,293.21413411024935,13.048539484332872,2.23178,0.00058,1.0
2022-11-28 03:00:00,101229.39133432775,290.36790592066177,13.487114052238422,2.23436,0.00062,1.0
2022-11-28 04:00:00,101224.90587948058,288.2452765131194,13.247146588682583,2.23325,0.00047,1.0
2022-11-28 05:00:00,101182.56318572324,286.44011101903095,13.06219930373713,2.2316,0.00052,1.0
2022-11-28 06:00:00,101114.02543565838,284.86592788955903,12.366073799329856,2.22607,0.00064,1.0
2022-11-28 07:00:00,101082.98608811591,283.93214610274435,12.336497022077717,2.22543,0.00064,1.0
2022-11-28 08:00:00,101051.58790418568,282.8669999379487,11.289281480460403,2.21828,0.00062,1.0
2022-11-28 09:00:00,101052.48499515512,281.71427752116574,11.347238800792207,2.21891,0.00061,1.0
2022-11-28 10:00:00,101119.2285632811,283.60592456409165,11.12304578757413,2.2185,0.00054,1.0
2022-11-28 11:00:00,101135.19678253705,286.218980982763,9.47855707290368,2.20786,0.00062,1.0
2022-11-28 12:00:00,101176.82180351885,289.24692989522424,9.918594735671205,2.21101,0.0006,1.0
2022-11-28 13:00:00,101100.38965292297,291.39583217836287,10.197018408860522,2.21076,0.00057,1.0
2022-11-28 14:00:00,101014.98659263272,294.37561415223104,10.65971872399845,2.2113,0.00051,1.0
2022-11-28 15:00:00,100955.77858865,295.11125466892446,9.44920916429508,2.2024,0.0006,1.0
2022-11-28 16:00:00,100942.50164230236,295.36741520598736,9.967518702352812,2.20529,0.00061,1.0
2022-11-28 17:00:00,100948.42244270063,295.5162948343658,9.233142934164576,2.20084,0.00054,1.0
