,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-11-27 00:00:00,100995.60942769292,297.2240317481183,50.96019864296479,2.53167,0.0034,1.0
2022-11-27 01:00:00,101088.00979754476,297.02698518114687,53.8612900922743,2.55177,0.00107,1.0
2022-11-27 02:00:00,101140.93816474144,296.79271870708084,53.73752613036538,2.55238,0.00077,1.0
2022-11-27 03:00:00,101095.36594349412,296.3581215565938,51.90439398383928,2.54044,0.00079,1.0
2022-11-27 04:00:00,101071.14448731937,296.1807796463195,46.89029424392546,2.50905,0.00077,1.0
2022-11-27 05:00:00,101021.98390219432,296.1161921604788,49.07383574711812,2.52153,0.00067,1.0
2022-11-27 06:00:00,100976.23226275312,295.95417609430234,48.56166463087431,2.51749,0.00061,1.0
2022-11-27 07:00:00,100959.54637072163,295.7713606682788,47.79395136906631,2.51252,0.00074,1.0
2022-11-27 08:00:00,101003.50382822395,295.618102227301,48.99994911110786,2.52108,0.00065,1.0
2022-11-27 09:00:00,101013.55124708163,295.5852611328058,49.032578367398344,2.52153,0.0006,1.0
2022-11-27 10:00:00,101145.6030377825,296.22456777231315,48.64465908702639,2.5215,0.00062,1.0
2022-11-27 11:00:00,101224.90587948058,297.5590109119698,50.34873311940653,2.53265,0.00064,1.0
2022-11-27 12:00:00,101315.69148558742,299.2317173249274,52.430753120599626,2.54601,0.00058,1.0
2022-11-27 13:00:00,101326.63599541453,300.814658079598,55.04561710254636,2.56085,0.00079,1.0
2022-11-27 14:00:00,101305.28523034198,302.5213002902007,51.17028421463452,2.53528,0.00071,1.0
2022-11-27 15:00:00,101250.20384481865,303.58097293924715,50.47439149791629,2.52897,0.00068,1.0
2022-11-27 16:00:00,101131.6084186593,304.0659264346269,51.34145756613187,2.53122,0.00071,1.0
2022-11-27 17:00:00,100998.48011879512,304.5125653197622,49.91170104482301,2.51928,0.00066,1.0
2022-11-27 18:00:00,100865.35181893093,304.5377434922085,46.06260361828977,2.49306,0.00063,1.0
2022-11-27 19:00:00,100771.15726714022,304.7906199198219,43.647655854829054,2.47621,0.00076,1.0
2022-11-27 20:00:00,100719.12599091299,301.4660064537536,41.158690997960974,2.46225,0.00074,1.0
2022-11-27 21:00:00,100655.43253208308,300.3515986472151,39.44078181421722,2.4511,0.00064,1.0
2022-11-27 22:00:00,100739.5796650161,299.41562745410073,39.2160036814767,2.45218,0.00079,1.0
2022-11-27 23:00:00,100786.94606820229,298.6515246555115,40.78864194924694,2.46338,0.00084,1.0
2022-11-28 00:00:00,100814.21763367312,298.47418274523716,41.315862334193525,2.46734,0.0021,1.0
2022-11-28 01:00:00,100875.21981959471,297.8206449647819,44.518306824073306,2.48885,0.00119,1.0
2022-11-28 02:00:00,100893.69989356508,297.98156632780854,40.85366703811147,2.46658,0.00093,1.0
2022-11-28 03:00:00,100886.34374761571,297.05544746304275,43.042678110429634,2.48056,0.00086,1.0
2022-11-28 04:00:00,100857.09858201213,296.681058985797,41.459507915940165,2.47041,0.00097,1.0
2022-11-28 05:00:00,100822.8297069797,296.17421142742046,39.837626612864796,2.45998,0.00073,1.0
2022-11-28 06:00:00,100806.50265133598,295.4965901776686,42.01966891348916,2.4736,0.00064,1.0
2022-11-28 07:00:00,100814.57647006089,295.40025630048257,41.17012349617101,2.46858,0.00086,1.0
