,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-11-27 00:00:00,101184.89562224376,299.03686016425564,47.6510022000532,2.4362217159521125,0.0018609579527339268,2.0
2022-11-27 01:00:00,101245.3595535837,298.78069962719275,48.80772724324849,2.44481,0.00074,1.0
2022-11-27 02:00:00,101313.71788545467,298.6219676704657,50.333152742897376,2.45576,0.00065,1.0
2022-11-27 03:00:00,101403.60640059208,297.8151714490327,50.657551949519814,2.46034,0.0007,1.0
2022-11-27 04:00:00,101414.73032861308,297.66629182065424,46.66879113084318,2.43613,0.00066,1.0
2022-11-27 05:00:00,101399.83861852044,297.41560479934054,46.06362325359763,2.43228,0.00061,1.0
2022-11-27 06:00:00,101386.20283578504,297.2098006071704,45.390761723951535,2.428,0.0006,1.0
2022-11-27 07:00:00,101354.80465185479,296.91313605356333,45.886305954730545,2.43062,0.00054,1.0
2022-11-27 08:00:00,101306.36173950529,296.5726833739627,45.97748831495496,2.43042,0.00049,1.0
2022-11-27 09:00:00,101260.78951825798,296.5989562495589,45.80363114171868,2.42836,0.00056,1.0
2022-11-27 10:00:00,101154.0356928952,296.6580702196503,46.029842683974096,2.42745,0.00056,1.0
2022-11-27 11:00:00,101213.60253326569,296.55626282671506,46.19152749471844,2.42979,0.00053,1.0
2022-11-27 12:00:00,101272.45170086063,296.956924179557,46.71722068999412,2.43397,0.0006,1.0
2022-11-27 13:00:00,101392.66189076497,297.067489197691,46.582700482985636,2.4356,0.00064,1.0
2022-11-27 14:00:00,101446.48734893108,297.64001894505805,46.572478027209755,2.43623,0.00057,1.0
2022-11-27 15:00:00,101534.22284574184,298.295746131813,46.93049922648373,2.43978,0.00056,1.0
2022-11-27 16:00:00,101570.64473910091,298.99526144456166,47.54553178524172,2.44378,0.00057,1.0
2022-11-27 17:00:00,101495.28909766836,299.88744451168236,48.21673358072234,2.44559,0.00063,1.0
2022-11-27 18:00:00,101346.73083312988,300.5650657614342,48.06571203487474,2.44098,0.0007,1.0
2022-11-27 19:00:00,101269.58100975845,301.3948507490139,49.68420993048111,2.44856,0.00058,1.0
2022-11-27 20:00:00,101172.51576686556,300.45340604015036,47.80443335850138,2.43578,0.00066,1.0
2022-11-27 21:00:00,101102.18383486183,299.6236210525706,46.35273399247578,2.42605,0.00081,1.0
2022-11-27 22:00:00,101042.79641268522,299.5075825186874,46.073610938908224,2.42317,0.00079,1.0
2022-11-27 23:00:00,101079.75656062594,298.54533844997684,46.369765969897806,2.42651,0.00066,1.0
2022-11-28 00:00:00,101171.97751228389,298.57161132557303,49.36178354567652,2.44683,0.00104,1.0
2022-11-28 01:00:00,101248.94791746144,298.5902212791203,49.9565186244687,2.4521,0.00086,1.0
2022-11-28 02:00:00,101327.53308638396,298.52125498068034,50.05863870115038,2.45445,0.00109,1.0
2022-11-28 03:00:00,101361.6225432225,298.20379106722635,47.90342846113555,2.44218,0.00085,1.0
2022-11-28 04:00:00,101393.20014534662,297.98375573410823,49.35182947712104,2.45194,0.00108,1.0
2022-11-28 05:00:00,101412.21847389865,297.40684717414183,45.30136404128896,2.42785,0.00091,1.0
2022-11-28 06:00:00,101396.07083644882,296.7478358779373,50.08956238699614,2.45758,0.00067,1.0
2022-11-28 07:00:00,101370.59345291686,296.6952901267449,49.909118650140144,2.45597,0.00056,1.0
2022-11-28 08:00:00,101312.28253990356,296.54859990466616,48.79925782232358,2.448,0.00056,1.0
2022-11-28 09:00:00,101269.22217337067,296.6504072976014,49.156368172334915,2.44921,0.00057,1.0
2022-11-28 10:00:00,101198.71082317307,296.4500766211805,47.76947039158301,2.43931,0.00061,1.0
2022-11-28 11:00:00,101215.21729701068,296.19501078726745,50.381375566563555,2.45602,0.00057,1.0
2022-11-28 12:00:00,101240.87409873652,296.26726119515695,48.23186994886116,2.44321,0.00062,1.0
2022-11-28 13:00:00,101316.76799475074,296.20814722506555,47.184778042569036,2.43839,0.00055,1.0
2022-11-28 14:00:00,101382.4350537134,296.770824644084,47.1210180656604,2.43894,0.00059,1.0
2022-11-28 15:00:00,101450.79338558437,297.7582468852409,46.92335465819404,2.43839,0.00061,1.0
2022-11-28 16:00:00,101437.51643923673,298.46323571373875,45.547704908961165,2.4291,0.00064,1.0
2022-11-28 17:00:00,101368.97868917187,299.61486342737186,45.190951558105795,2.42459,0.00067,1.0
2022-11-28 18:00:00,101257.02173618636,300.80480575124943,46.45319116525117,2.4290399999999996,0.00075,1.0
2022-11-28 19:00:00,101135.7350371187,301.11460674265453,46.25760634680221,2.42504,0.00055,1.0
2022-11-28 20:00:00,101009.06579223445,301.30289568442726,49.01117113279957,2.43901,0.00064,1.0
2022-11-28 21:00:00,101082.98608811591,300.54864521418654,47.49553606237689,2.43192,0.00081,1.0
