,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-11-27 00:00:00,100696.51929848321,302.34724248937596,48.42192857312278,2.5439838892909727,0.0010913313225971385,2.0
2022-11-27 01:00:00,100820.85610684694,301.4178395151606,47.782747027438994,2.5436,0.00075,1.0
2022-11-27 02:00:00,100956.49626142555,300.73583945280944,44.773309178994346,2.52878,0.00074,1.0
2022-11-27 03:00:00,101032.92841202143,300.12718450149765,45.319629972721756,2.53428,0.00064,1.0
2022-11-27 04:00:00,101074.01517842157,300.18848787788875,44.165406616457545,2.52809,0.00063,1.0
2022-11-27 05:00:00,101075.98877855433,299.9892519046176,44.095247143134756,2.52785,0.00061,1.0
2022-11-27 06:00:00,101052.664413349,299.42657448559913,44.5878599095364,2.53076,0.00064,1.0
2022-11-27 07:00:00,101045.30826739964,298.723775063401,46.244090816308855,2.54129,0.00059,1.0
2022-11-27 08:00:00,101061.81474123725,298.42382640034447,47.70321196258112,2.55086,0.00067,1.0
2022-11-27 09:00:00,101070.06797815605,298.17861289478,49.07850578231664,2.5597,0.00059,1.0
2022-11-27 10:00:00,101106.66928970901,299.4747414241922,47.33480616657849,2.54877,0.00067,1.0
2022-11-27 11:00:00,101175.56587616164,299.66193566281504,46.420463406519744,2.54456,0.00068,1.0
2022-11-27 12:00:00,101315.51206739353,301.0916179765079,48.43386082048243,2.55888,0.00081,1.0
2022-11-27 13:00:00,101385.12632662171,301.63896955142854,48.31734747730113,2.55929,0.00082,1.0
2022-11-27 14:00:00,101396.42967283659,302.8705105950001,46.081591060411284,2.54499,0.00072,1.0
2022-11-27 15:00:00,101375.61716234569,304.41951555202564,46.7431139519211,2.54737,0.00066,1.0
2022-11-27 16:00:00,101321.25344959792,305.0456857537349,49.355381419214716,2.56146,0.00069,1.0
2022-11-27 17:00:00,101222.03518837837,306.1414836067261,46.688932388018074,2.54232,0.00068,1.0
2022-11-27 18:00:00,101095.54536168801,306.4523793012811,43.76828633476223,2.5216899999999995,0.00071,1.0
2022-11-27 19:00:00,100918.81844070926,306.6932139942462,40.26010643319264,2.49648,0.00064,1.0
2022-11-27 20:00:00,100788.02257736561,306.94827982815923,36.71616946337142,2.4721,0.00074,1.0
2022-11-27 21:00:00,100664.94169635909,306.41187528473694,37.45495860639493,2.47411,0.00066,1.0
2022-11-27 22:00:00,100634.62002159219,304.582626321352,37.52410436320407,2.47495,0.00073,1.0
2022-11-27 23:00:00,100669.96540578792,303.6805909258827,38.364418824972475,2.48138,0.00079,1.0
2022-11-28 00:00:00,100772.95144907909,302.8124913280585,36.39719949185962,2.47227,0.00142,1.0
2022-11-28 01:00:00,100883.6524747074,302.15676414130354,36.53486504998598,2.47597,0.00132,1.0
2022-11-28 02:00:00,100975.51458997758,301.1365008056514,38.19268105932186,2.48875,0.00122,1.0
