,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-11-27 00:00:00,102075.1687003113,286.0887113079319,11.213922142528958,2.384403079973562,0.0009106010568030315,2.0
2022-11-27 01:00:00,102139.57983191675,285.2129487880588,10.132000768114766,2.37914,0.00042,1.0
2022-11-27 02:00:00,102216.19140070652,284.21567421855326,10.540480702230832,2.38367,0.00041,1.0
2022-11-27 03:00:00,102226.77707414585,283.40230977822114,10.321237900359497,2.38266,0.00042,1.0
2022-11-27 04:00:00,102227.49474692141,282.7192150127201,9.833106954304517,2.37967,0.00038,1.0
2022-11-27 05:00:00,102156.9833967238,281.41761296755874,8.96171861111278,2.37269,0.00033,1.0
2022-11-27 06:00:00,102151.78026910107,280.8374202981428,9.059657836126984,2.3733,0.00033,1.0
2022-11-27 07:00:00,102125.76463098745,280.09740096885,9.205844242984831,2.37378,0.00036,1.0
2022-11-27 08:00:00,102156.8039785299,279.027875991455,8.198646555529235,2.36813,0.00038,1.0
2022-11-27 09:00:00,102155.00979659104,278.93154211426895,8.382888834855322,2.3693,0.00038,1.0
2022-11-27 10:00:00,102128.81474028353,280.9512694257263,8.25848443102649,2.36759,0.00032,1.0
2022-11-27 11:00:00,102119.66441239529,282.9709967371836,8.204349960158208,2.36673,0.00034,1.0
2022-11-27 12:00:00,102099.74899287382,284.0897833563215,8.197748330588327,2.36607,0.00038,1.0
2022-11-27 13:00:00,102076.42462766852,284.9830611265921,7.748026887953184,2.36254,0.00035,1.0
2022-11-27 14:00:00,102021.70207853295,286.1106053709287,8.374841965026791,2.36513,0.00037,1.0
2022-11-27 15:00:00,101948.49945542704,287.24909664676375,7.513418732853266,2.35784,0.00036,1.0
2022-11-27 16:00:00,101891.08563338319,287.6924514224495,8.285694844976895,2.36137,0.00033,1.0
2022-11-27 17:00:00,101798.50584533747,287.9792636477079,8.883129636366833,2.36301,0.00036,1.0
2022-11-27 18:00:00,101727.81507694598,288.42918664229273,9.370936060109186,2.36442,0.00044,1.0
2022-11-27 19:00:00,101646.35921692125,288.082165743793,9.451317241028734,2.36314,0.00033,1.0
2022-11-27 20:00:00,101571.90066645812,287.6399056712571,9.153402944500675,2.35964,0.00036,1.0
2022-11-27 21:00:00,101511.07789873042,286.5375395993668,9.435014140543059,2.36023,0.00043,1.0
2022-11-27 22:00:00,101445.94909434942,285.64097771964674,9.361947043046703,2.35844,0.00036,1.0
2022-11-27 23:00:00,101359.29010670197,285.32351380619275,10.053856206555336,2.36094,0.00044,1.0
2022-11-28 00:00:00,101337.40108704775,284.3590803311825,9.966472599120769,2.36006,0.00068,1.0
2022-11-28 01:00:00,101279.9872650039,283.98469185393674,11.973780397352801,2.37167,0.0003,1.0
2022-11-28 02:00:00,101255.22755424748,283.8292440066593,11.609379184608686,2.36881,0.00036,1.0
2022-11-28 03:00:00,101157.08580219127,283.5807463916453,12.738315906389488,2.37387,0.00035,1.0
2022-11-28 04:00:00,101068.63263260495,283.5599470317983,14.171257945344193,2.38105,0.0003,1.0
2022-11-28 05:00:00,100907.51509449439,283.7033531444275,15.887166252229228,2.38835,0.00032,1.0
2022-11-28 06:00:00,100779.23108586515,284.11934034136726,17.589262524082525,2.39621,0.00036,1.0
2022-11-28 07:00:00,100648.97347710315,284.16641257681044,19.623100338800615,2.40625,0.00033,1.0
2022-11-28 08:00:00,100552.80532517968,284.9042424998035,21.15562377117753,2.41359,0.00034,1.0
2022-11-28 09:00:00,100478.16735652268,284.9053372029533,21.65105549394318,2.41506,0.00036,1.0
2022-11-28 10:00:00,100378.94909530313,286.21022335756425,21.510269027460268,2.41141,0.0003,1.0
2022-11-28 11:00:00,100344.50080207683,286.97651556245324,20.87421192826837,2.4063,0.00035,1.0
2022-11-28 12:00:00,100259.27715998047,288.0011577107048,19.165622234716842,2.3931799999999996,0.00036,1.0
2022-11-28 13:00:00,100165.26202638366,289.4056618519512,19.55351216158293,2.39302,0.00032,1.0
2022-11-28 14:00:00,100045.76950925488,290.2858031844237,20.094174177728142,2.39341,0.00028,1.0
2022-11-28 15:00:00,99878.01349797049,290.7302526632593,19.241627599870583,2.3841,0.00035,1.0
2022-11-28 16:00:00,99743.6292707491,290.85395411919137,18.0716621394649,2.37367,0.00034,1.0
2022-11-28 17:00:00,99595.07100621062,292.03842292731974,19.12944703184032,2.37655,0.00033,1.0
2022-11-28 18:00:00,99433.05637713062,292.05046466196796,17.70762153400155,2.36398,0.00039,1.0
2022-11-28 19:00:00,99304.4135321136,289.87419480008333,21.84117135324251,2.38775,0.00038,1.0
2022-11-28 20:00:00,99292.75134951095,289.3224644125633,22.626971478824053,2.39265,0.00039,1.0
2022-11-28 21:00:00,99268.70931153008,288.7783969470921,20.157173960441405,2.37673,0.00039,1.0
2022-11-28 22:00:00,99185.81810595425,289.0378415936045,18.917594887314245,2.36694,0.00037,1.0
2022-11-28 23:00:00,99211.47490768011,288.8999089967245,19.974954225679504,2.37424,0.0004,1.0
2022-11-29 00:00:00,99191.73890635253,288.3941561414978,24.323179922905105,2.40145,0.00068,1.0
2022-11-29 01:00:00,99211.47490768011,287.84352045712757,16.75311222805024,2.35422,0.00041,1.0
2022-11-29 02:00:00,99346.57680767705,286.2835684686036,15.157106745729704,2.3476,0.00038,1.0
2022-11-29 03:00:00,99465.88990661195,284.0711734027742,13.084811708645562,2.33765,0.00037,1.0
2022-11-29 04:00:00,99625.21326278364,281.68472053612004,12.389372170511518,2.33735,0.00035,1.0
2022-11-29 05:00:00,99714.5635233394,279.99668827906464,5.446518636325883,2.29483,0.0004,1.0
2022-11-29 06:00:00,99785.074873537,279.3759915931046,5.4957992666371185,2.29681,0.00035,1.0
2022-11-29 07:00:00,99811.80818442618,279.1493880410874,6.396207117142346,2.30328,0.00034,1.0
2022-11-29 08:00:00,99894.5199718081,279.20302849542963,6.70796333340324,2.30717,0.00035,1.0
2022-11-29 09:00:00,99961.62237632186,278.98408786546133,7.842303489287716,2.31608,0.00041,1.0
2022-11-29 10:00:00,100047.38427299987,280.21891301848245,8.441669001691123,2.32172,0.00034,1.0
2022-11-29 11:00:00,100098.1596218699,281.5008104069467,7.811396107021717,2.31861,0.00035,1.0
2022-11-29 12:00:00,100142.83475214778,282.6360175733322,8.979064443000627,2.3269599999999997,0.00037,1.0
2022-11-29 13:00:00,100202.76042890605,283.07937234901794,8.809853027843015,2.32716,0.00036,1.0
2022-11-29 14:00:00,100248.15323195947,283.66175442473354,9.197800100243143,2.3305800000000003,0.00037,1.0
2022-11-29 15:00:00,100229.13490340745,284.9327047816994,10.259031263386957,2.33671,0.00041,1.0
2022-11-29 16:00:00,100234.51744922406,285.27096805500037,9.926557952026668,2.33465,0.00036,1.0
2022-11-29 17:00:00,100278.83374311416,286.060249026036,10.045427415671673,2.33627,0.00035,1.0
2022-11-29 18:00:00,100315.61447286101,286.8681399506189,9.152248057667729,2.33129,0.00052,1.0
2022-11-29 19:00:00,100320.63818228984,286.2616744056068,9.573361113744202,2.33418,0.00036,1.0
2022-11-29 20:00:00,100363.16029424107,286.42697458123286,9.59297999583193,2.33524,0.00036,1.0
2022-11-29 21:00:00,100385.0493138953,286.40617522138587,9.193356411732692,2.3332,0.00044,1.0
2022-11-29 22:00:00,100423.08597099935,285.7778156133769,10.389499203612866,2.34178,0.00035,1.0
2022-11-29 23:00:00,100453.76648215404,285.0925314415762,10.004928426985398,2.34015,0.00047,1.0
2022-11-30 00:00:00,100507.23310393238,284.2528941256479,10.328230451726593,2.34358,0.00065,1.0
2022-11-30 01:00:00,100568.05587166008,283.6289133302383,9.270458376105475,2.3383,0.0004,1.0
2022-11-30 02:00:00,100567.33819888454,283.29393416638686,9.704079152994675,2.34112,0.00042,1.0
2022-11-30 03:00:00,100537.73419689317,282.9326821269392,9.430936962977668,2.33876,0.00044,1.0
2022-11-30 04:00:00,100584.74176369158,282.361247082722,9.004133956192717,2.33718,0.00035,1.0
2022-11-30 05:00:00,100546.16685200586,282.03174143461973,9.465732387193468,2.33933,0.00039,1.0
2022-11-30 06:00:00,100540.42546980148,282.00218444957403,9.186764470926159,2.33741,0.00042,1.0
2022-11-30 07:00:00,100487.4971026048,281.98904801177594,9.885655608698494,2.34071,0.00037,1.0
2022-11-30 08:00:00,100536.29885134207,281.98138508972704,9.537978200997435,2.33958,0.0004,1.0
2022-11-30 09:00:00,100539.16954244427,281.8883353219905,7.991923159427265,2.32971,0.00044,1.0
2022-11-30 10:00:00,100477.8085201349,283.2019791018002,7.5743039809631165,2.32545,0.00037,1.0
2022-11-30 11:00:00,100504.54183102406,284.15984435791137,7.831632749948316,2.32757,0.00043,1.0
2022-11-30 12:00:00,100457.1754278379,285.4329841211769,8.729715004990439,2.33204,0.00044,1.0
2022-11-30 13:00:00,100500.59463075855,286.69408214979416,8.287635679283312,2.33002,0.00039,1.0
2022-11-30 14:00:00,100525.17492332109,287.378271618445,8.77422109808686,2.33356,0.00042,1.0
2022-11-30 15:00:00,100512.07739516733,288.247465919419,8.0374209705648,2.32847,0.00045,1.0
2022-11-30 16:00:00,100485.16466608427,289.0717773912496,8.821626117806128,2.33269,0.00068,1.0
2022-11-30 17:00:00,100476.01433819602,290.35805359231324,6.684227857603793,2.31885,0.00113,1.0
2022-11-30 18:00:00,100437.61884470421,290.7247791475101,8.866611728860656,2.33164,0.00126,1.0
2022-11-30 19:00:00,100410.52669742725,290.89336343258566,8.635557479403762,2.32955,0.00046,1.0
2022-11-30 20:00:00,100427.39200765264,290.8145448057971,9.907767885993147,2.33793,0.00044,1.0
2022-11-30 21:00:00,100501.67113992188,290.5430584246364,9.288529519092611,2.33577,0.00052,1.0
2022-11-30 22:00:00,100429.3656077854,288.8429844329328,9.057526967035814,2.33295,0.00038,1.0
2022-11-30 23:00:00,100493.23848480919,287.89059269257075,8.310186381120381,2.32982,0.00052,1.0
2022-12-01 00:00:00,100524.09841415776,287.33229408615165,10.614931698637301,2.34521,0.00082,1.0
2022-12-01 01:00:00,100521.58655944334,286.4039858150862,11.704094292083433,2.35225,0.00038,1.0
2022-12-01 02:00:00,100493.95615758473,285.84130839606775,12.53652578687906,2.35704,0.00039,1.0
2022-12-01 03:00:00,100480.85862943098,285.13084605182064,12.556447892319156,2.35703,0.0004,1.0
2022-12-01 04:00:00,100453.04880937848,284.6415137438416,12.601794752413944,2.3568,0.00033,1.0
2022-12-01 05:00:00,100395.45556914074,284.9622617667451,11.468371635094812,2.34819,0.00038,1.0
2022-12-01 06:00:00,100335.70931057636,285.03451217463464,11.370994384833333,2.3462,0.00042,1.0
2022-12-01 07:00:00,100291.75185307403,284.78491985647076,11.301293331683556,2.34481,0.00034,1.0
2022-12-01 08:00:00,100226.44363049914,284.82104506041554,10.843423818211713,2.3404,0.00038,1.0
2022-12-01 09:00:00,100224.82886675416,284.590062695799,11.997472014586496,2.34778,0.00041,1.0
2022-12-01 10:00:00,100064.24958322525,284.48606589656407,12.91873898414352,2.35005,0.00039,1.0
2022-12-01 11:00:00,99976.51408641448,284.97430350139336,13.168206252868535,2.34954,0.00041,1.0
2022-12-01 12:00:00,99868.50433369448,286.75319611988556,12.389589178636346,2.34173,0.00037,1.0
2022-12-01 13:00:00,99825.80280354936,288.44560718954034,11.754841263487952,2.33638,0.00036,1.0
2022-12-01 14:00:00,99711.6928322372,289.23707756687566,12.173487248341628,2.33627,0.0004,1.0
2022-12-01 15:00:00,99644.05217314178,289.8599636591354,12.992637948609563,2.33976,0.00043,1.0
2022-12-01 16:00:00,99526.89209253354,289.8862365347316,14.510229522967972,2.34665,0.00042,1.0
2022-12-01 17:00:00,99504.46481829765,289.26006633302234,16.526119260938877,2.35901,0.00039,1.0
2022-12-01 18:00:00,99464.63397925474,287.6968302350488,18.074939350340266,2.36837,0.00044,1.0
2022-12-01 19:00:00,99406.32306624144,287.60487517046215,15.005900573642126,2.34764,0.0004,1.0
2022-12-01 20:00:00,99289.88065840874,288.9524547479169,15.984626186683899,2.35082,0.00041,1.0
2022-12-01 21:00:00,99212.73083503732,290.39855760885735,15.846676338173843,2.3478,0.00042,1.0
2022-12-01 22:00:00,99046.41016930401,291.23819492478566,16.526181194280703,2.34806,0.00036,1.0
2022-12-01 23:00:00,99046.23075111014,291.11011465625427,17.97343072824301,2.35717,0.00044,1.0
2022-12-02 00:00:00,99074.3994075504,290.5167855490402,19.0949907926634,2.36504,0.00069,1.0
2022-12-02 01:00:00,99148.31970343186,289.6475912480662,19.630898346049147,2.37038,0.00044,1.0
2022-12-02 02:00:00,99139.88704831917,288.06246108709587,17.190560161596718,2.3553,0.00047,1.0
2022-12-02 03:00:00,99181.87090568875,286.9392956553586,15.75587344644848,2.34749,0.00047,1.0
2022-12-02 04:00:00,99209.32188935346,285.7964255669242,14.365105223557961,2.33958,0.00042,1.0
2022-12-02 05:00:00,99178.82079639267,285.00604989273876,12.747149744133226,2.32877,0.00045,1.0
2022-12-02 06:00:00,99182.58857846429,284.5999150241476,12.698836400105218,2.32864,0.00044,1.0
2022-12-02 07:00:00,99151.01097634017,284.30762928313993,11.964955175070441,2.3233,0.00041,1.0
2022-12-02 08:00:00,99131.81322959426,283.7613724113691,11.430290889789113,2.31956,0.00045,1.0
2022-12-02 09:00:00,99111.35955549113,283.71539487907575,12.569387073265538,2.3264,0.00047,1.0
2022-12-02 10:00:00,99068.29918895825,285.3804383699845,12.574587071112104,2.32508,0.00042,1.0
2022-12-02 11:00:00,99024.5211496498,286.695176852944,13.739605799348288,2.33119,0.00045,1.0
2022-12-02 12:00:00,98943.60354420674,288.006631226454,13.283330182576654,2.32615,0.00044,1.0
2022-12-02 13:00:00,98879.73066718296,289.48338577558997,12.89014376660258,2.32188,0.0004,1.0
2022-12-02 14:00:00,98753.24084049258,291.3597069744181,13.925294009737755,2.32508,0.00047,1.0
2022-12-02 15:00:00,98639.13086918042,292.6700666447782,13.288181760211558,2.3182,0.00048,1.0
2022-12-02 16:00:00,98546.37166294082,293.26667986144173,14.27108091850925,2.32209,0.00047,1.0
2022-12-02 17:00:00,98533.27413478706,294.1917040230577,13.358201493452887,2.31589,0.00047,1.0
2022-12-02 18:00:00,98585.48482920819,293.22945995434713,12.247921585047552,2.31037,0.00057,1.0
2022-12-02 19:00:00,98763.10884115637,291.9048691430391,11.138270863876551,2.30773,0.00049,1.0
2022-12-02 20:00:00,98879.37183079518,290.2759508560751,9.140416959198062,2.29812,0.00053,1.0
2022-12-02 21:00:00,99018.42093105764,289.48776458818935,6.350613541808943,2.28382,0.00053,1.0
2022-12-02 22:00:00,99100.7738820518,288.2419924036698,4.946806596426332,2.27695,0.00046,1.0
