,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-12-04 00:00:00,101028.09945847893,299.5406594527824,43.22412994714051,2.55807,0.00078,1.0
2022-12-04 01:00:00,101098.63925713,299.1602358868479,43.609771702680824,2.56231,0.0005,1.0
2022-12-04 02:00:00,101165.18924816504,298.7141027958883,42.43699984394251,2.55694,0.00057,1.0
2022-12-04 03:00:00,101170.93457113211,298.39823595629423,42.33553942153308,2.55667,0.00059,1.0
2022-12-04 04:00:00,101148.75124078708,298.0800635193308,43.13650826192457,2.56132,0.00066,1.0
2022-12-04 05:00:00,101116.19441064044,298.06738273379966,44.007519506024416,2.56595,0.00056,1.0
2022-12-04 06:00:00,101080.76491901027,297.85987897056265,41.59427138747744,2.55044,0.00047,1.0
2022-12-04 07:00:00,101011.82104340561,297.83912859423896,42.15302304292643,2.55233,0.00044,1.0
2022-12-04 08:00:00,100980.5409516961,297.54631772833784,41.491472914982864,2.54775,0.00042,1.0
2022-12-04 09:00:00,101000.01121286223,297.29385481639946,41.06050184894548,2.54571,0.00039,1.0
2022-12-04 10:00:00,100993.6275206766,297.33996676378547,40.15009779549765,2.53992,0.00044,1.0
2022-12-04 11:00:00,101026.18435082326,297.3687867309017,39.616534246876085,2.53735,0.00042,1.0
2022-12-04 12:00:00,101102.30988013673,297.57629049413873,40.26892629612319,2.54296,0.00039,1.0
2022-12-04 13:00:00,101150.66634844277,298.016659591675,40.96422313128518,2.54804,0.0004,1.0
2022-12-04 14:00:00,101228.86657771657,299.0507200118061,41.24627152795814,2.55084,0.00044,1.0
2022-12-04 15:00:00,101244.18743896205,299.82309513052166,44.213191267480425,2.56883,0.00048,1.0
2022-12-04 16:00:00,101210.19427807364,300.27845061095843,44.28583140806269,2.56817,0.0005,1.0
2022-12-04 17:00:00,101132.31323340912,300.87560032960715,42.58509537437258,2.55558,0.00048,1.0
2022-12-04 18:00:00,101077.25388830819,301.4704444508866,42.9534330570116,2.55616,0.0005,1.0
2022-12-04 19:00:00,100955.32536756291,300.5458999057972,42.25725186356109,2.54979,0.00046,1.0
2022-12-04 20:00:00,100914.31014527033,299.56486822516007,47.10754569878498,2.57927,0.00048,1.0
2022-12-04 21:00:00,100871.5394076267,300.0305988937587,45.30618106991013,2.56691,0.00049,1.0
2022-12-04 22:00:00,100895.6378456274,299.43575477247924,46.502893325123715,2.57524,0.00048,1.0
2022-12-04 23:00:00,100944.632683152,298.56308616819916,47.02252424662072,2.58022,0.00053,1.0
2022-12-05 00:00:00,100999.5324359483,298.2806504904599,46.3725098648583,2.57769,0.00082,1.0
2022-12-05 01:00:00,101080.92451131491,298.00282600745925,45.03975849795475,2.57155,0.00064,1.0
2022-12-05 02:00:00,101152.58145609846,297.57283209808475,42.363521864900804,2.55701,0.00061,1.0
2022-12-05 03:00:00,101167.26394812537,297.2189229018972,44.35860885201574,2.5699,0.00073,1.0
2022-12-05 04:00:00,101139.65447942258,297.28693802429154,45.77223262570656,2.57794,0.00067,1.0
2022-12-05 05:00:00,101084.75472662628,297.2073949150507,43.81616562001741,2.56469,0.00083,1.0
2022-12-05 06:00:00,101032.40845070423,297.01948872945275,41.90725784986088,2.55186,0.00066,1.0
2022-12-05 07:00:00,100965.85845966918,296.70938588328187,42.08081643254353,2.55164,0.00051,1.0
2022-12-05 08:00:00,100922.1301681977,296.62062038456384,44.829287133222486,2.56769,0.00044,1.0
2022-12-05 09:00:00,100942.23879858239,296.7047746885433,47.45816604489103,2.58432,0.00046,1.0
2022-12-05 10:00:00,100938.88736018495,296.7382058503981,48.76855250941843,2.59231,0.00053,1.0
2022-12-05 11:00:00,100991.55282071629,296.55375806085414,44.142076626461915,2.56507,0.00046,1.0
2022-12-05 12:00:00,101099.91599556712,296.83042974517014,45.4565516159601,2.57544,0.0004,1.0
2022-12-05 13:00:00,101188.96850155646,297.4621634243584,42.83815562456015,2.56084,0.00042,1.0
2022-12-05 14:00:00,101229.50494693514,298.32791523653054,42.81054181706789,2.56097,0.00047,1.0
2022-12-05 15:00:00,101238.12293138572,299.44497716195644,44.175790793921,2.56874,0.00051,1.0
2022-12-05 16:00:00,101184.81910163582,299.4115460001016,40.91793219599857,2.54758,0.00051,1.0
2022-12-05 17:00:00,101114.59848759403,299.940680596356,43.98247098220305,2.56439,0.00061,1.0
2022-12-05 18:00:00,100990.75485919308,301.44508287982427,42.747698164032464,2.55296,0.0006,1.0
2022-12-05 19:00:00,100910.00115304503,301.5672795403972,42.93448756458177,2.55218,0.00056,1.0
2022-12-05 20:00:00,100870.90103840813,301.139591228392,40.55785365727395,2.53709,0.0006,1.0
2022-12-05 21:00:00,100867.39000770604,300.4663567965564,43.4840829267133,2.55535,0.00052,1.0
2022-12-05 22:00:00,100902.34072242229,299.3054885211138,42.47178544142019,2.55077,0.00054,1.0
2022-12-05 23:00:00,100940.642875536,298.8017154959217,37.81726676159067,2.52341,0.0006,1.0
2022-12-06 00:00:00,100988.52056692811,298.3878607681323,36.18305866652183,2.51471,0.00092,1.0
2022-12-06 01:00:00,101065.44405776479,297.94518607322675,32.1422804322951,2.4918500000000003,0.00077,1.0
2022-12-06 02:00:00,101148.59164848244,297.7734190692139,33.358542804258356,2.50132,0.00079,1.0
2022-12-06 03:00:00,101183.70195550333,297.4079818861798,31.637241103071872,2.49171,0.00078,1.0
2022-12-06 04:00:00,101176.36070948988,296.9653071912742,32.58530071485447,2.49763,0.00077,1.0
2022-12-06 05:00:00,101150.18757152885,296.8200545570083,34.34649356391946,2.50799,0.0008,1.0
2022-12-06 06:00:00,101106.9380569713,296.56874444375455,37.13126664788275,2.52436,0.00061,1.0
2022-12-06 07:00:00,101049.00605038683,296.5272436911072,35.53548425854965,2.51321,0.00055,1.0
2022-12-06 08:00:00,101024.74802008149,296.35893508314825,37.434427856549284,2.5245,0.00048,1.0
2022-12-06 09:00:00,101026.3439431279,296.5064933147835,39.53432822471381,2.53742,0.0005,1.0
2022-12-06 10:00:00,101015.01288949842,296.656357143788,40.58285460552236,2.54354,0.00053,1.0
2022-12-06 11:00:00,101107.7360184945,296.8269713491162,41.63266199227789,2.55201,0.00047,1.0
2022-12-06 12:00:00,101184.97869394046,296.85579131623246,39.558917874400784,2.54094,0.00043,1.0
2022-12-06 13:00:00,101253.60338493584,297.5924296757238,37.798242492074046,2.53116,0.00044,1.0
2022-12-06 14:00:00,101317.12112218271,298.7325475748427,38.7730876564468,2.53787,0.0005,1.0
2022-12-06 15:00:00,101337.70852948133,299.9556669792564,35.60748591784226,2.51817,0.00058,1.0
2022-12-06 16:00:00,101293.50146109593,300.32917375308307,34.69727342675686,2.51138,0.00068,1.0
2022-12-06 17:00:00,101220.88696248455,301.0266169572963,37.740387761691295,2.52791,0.00068,1.0
2022-12-06 18:00:00,101104.38458009704,300.9966441914954,37.14019164960327,2.52162,0.00073,1.0
2022-12-06 19:00:00,101031.61048918102,300.5493583018512,39.61685833243597,2.53538,0.00072,1.0
2022-12-06 20:00:00,100993.6275206766,300.68193015058597,41.92752921925901,2.54855,0.00061,1.0
2022-12-06 21:00:00,100970.64622880839,300.1285867819539,39.62318203637526,2.53431,0.00056,1.0
2022-12-06 22:00:00,100990.4356745838,299.6259665554465,40.153784361013486,2.53834,0.00063,1.0
2022-12-06 23:00:00,101029.85497382998,299.2732101579436,37.550111485847474,2.5235,0.00066,1.0
2022-12-07 00:00:00,101104.70376470633,298.8051738919757,35.63340631853232,2.51372,0.00107,1.0
2022-12-07 01:00:00,101161.19944054904,298.4178335339333,34.35776814719732,2.50739,0.00088,1.0
2022-12-07 02:00:00,101260.46585403537,298.2460665299204,34.15427136675158,2.50849,0.00108,1.0
2022-12-07 03:00:00,101291.26716883096,297.8794765482017,34.64181175321857,2.5124,0.00104,1.0
2022-12-07 04:00:00,101284.56429203607,297.4056762888105,33.21549444102537,2.50373,0.00086,1.0
2022-12-07 05:00:00,101254.88012337296,297.4010650940719,35.335813358125755,2.51613,0.00079,1.0
2022-12-07 06:00:00,101238.76130060428,297.22929809005905,35.76450815894441,2.51851,0.00057,1.0
2022-12-07 07:00:00,101187.37257851007,297.02179432682203,33.71815989938752,2.50484,0.00045,1.0
2022-12-07 08:00:00,101174.44560183419,296.9653071912742,33.18695943590454,2.5013,0.00045,1.0
2022-12-07 09:00:00,101168.38109425786,296.8938336728259,27.96406896915556,2.46896,0.00043,1.0
2022-12-07 10:00:00,101208.11957811331,296.70246909117395,30.345356757949357,2.48466,0.00048,1.0
2022-12-07 11:00:00,101230.30290845834,296.7416642464521,30.707495692495197,2.48738,0.00041,1.0
2022-12-07 12:00:00,101299.56596867228,296.9180424452035,29.792031962943703,2.48321,0.00047,1.0
2022-12-07 13:00:00,101381.11763634352,298.0224235850983,29.327403259745353,2.48165,0.00042,1.0
2022-12-07 14:00:00,101415.90875875513,299.1417911078935,29.10693725607812,2.48054,0.00046,1.0
2022-12-07 15:00:00,101430.11247386812,301.1269104428609,30.57380995455634,2.4888600000000003,0.00052,1.0
2022-12-07 16:00:00,101411.75935883448,301.97421747607865,30.83842378088295,2.48963,0.00051,1.0
2022-12-07 17:00:00,101353.98694455465,302.4791432999554,30.66667368644572,2.48702,0.00049,1.0
2022-12-07 18:00:00,101248.17724657807,302.52871364339535,33.009864998908256,2.49884,0.0006,1.0
2022-12-07 19:00:00,101161.8378097676,302.50104647496374,34.109275568153926,2.50358,0.00064,1.0
2022-12-07 20:00:00,101088.90412654693,302.24973636171,35.07822582485061,2.50796,0.00062,1.0
2022-12-07 21:00:00,101046.45257351258,301.94770310633174,30.036772388150982,2.47647,0.00052,1.0
2022-12-07 22:00:00,101065.44405776479,301.12806324154553,31.3796378982964,2.4855,0.00053,1.0
2022-12-07 23:00:00,101119.86503364718,300.2231162740952,28.25546474980806,2.46809,0.00052,1.0
2022-12-08 00:00:00,101189.76646307966,299.3654340527156,25.821053739294104,2.45515,0.00082,1.0
2022-12-08 01:00:00,101269.56261539987,299.0172888499513,27.96182143407389,2.47025,0.00047,1.0
2022-12-08 02:00:00,101341.85792940199,298.7290891787888,27.855184291691543,2.47137,0.00046,1.0
2022-12-08 03:00:00,101351.27387537576,297.99360361798205,27.78280254440315,2.47148,0.00045,1.0
2022-12-08 04:00:00,101327.01584507042,298.0062844035132,29.749867099285495,2.48303,0.00044,1.0
2022-12-08 05:00:00,101277.22304602261,297.85642057450866,30.205543412632874,2.48478,0.00048,1.0
2022-12-08 06:00:00,101238.12293138572,297.0990318386936,34.219281486927095,2.50904,0.00043,1.0
2022-12-08 07:00:00,101170.1366096089,297.0575310860462,38.2399103636332,2.53233,0.00041,1.0
2022-12-08 08:00:00,101129.12138731632,296.83388814122407,36.43356966304489,2.52039,0.00046,1.0
2022-12-08 09:00:00,101131.51527188592,296.863860907025,39.19591182442028,2.53748,0.00046,1.0
2022-12-08 10:00:00,101085.55268814949,297.2246868953205,42.216639066870705,2.55483,0.00043,1.0
2022-12-08 11:00:00,101168.5406865625,297.2707988427065,38.94093732424029,2.53648,0.00037,1.0
2022-12-08 12:00:00,101216.57797025926,297.36071714010916,38.497884471967154,2.5347799999999996,0.00038,1.0
2022-12-08 13:00:00,101291.58635344025,297.9555612613886,38.65400111570893,2.53706,0.00036,1.0
2022-12-08 14:00:00,101314.56764530847,299.44728275932573,37.28031875159368,2.5282,0.00044,1.0
2022-12-08 15:00:00,101305.15169933469,300.38911928468485,38.412687115524164,2.53433,0.00053,1.0
2022-12-08 16:00:00,101286.95817660568,300.55627509395913,38.374867519828285,2.53358,0.00055,1.0
2022-12-08 17:00:00,101222.6424778356,301.1545776112925,37.12579944429629,2.52412,0.00056,1.0
2022-12-08 18:00:00,101114.11971068011,301.4923476258949,38.140920045916154,2.52764,0.00057,1.0
2022-12-08 19:00:00,100992.51037454413,301.95577269712425,37.646572495244556,2.52158,0.00056,1.0
2022-12-08 20:00:00,100921.3322066745,301.9085079510536,34.93338680199362,2.50347,0.00058,1.0
2022-12-08 21:00:00,100900.58520707124,301.12806324154553,36.75940087858703,2.51459,0.00047,1.0
2022-12-08 22:00:00,100892.28640722994,300.4029528689006,36.96374920509063,2.51609,0.00046,1.0
2022-12-08 23:00:00,100937.29143713854,299.7942751634054,38.87182613915245,2.52917,0.00052,1.0
2022-12-09 00:00:00,100970.64622880839,299.20173663949527,35.2124808612252,2.50786,0.00084,1.0
2022-12-09 01:00:00,101064.80568854623,298.9446625328183,39.45299504006114,2.53618,0.00066,1.0
2022-12-09 02:00:00,101133.74956415089,298.5919061353154,38.20698046594159,2.53032,0.00065,1.0
2022-12-09 03:00:00,101165.34884046968,298.08582751275407,37.49031336110671,2.52695,0.00069,1.0
2022-12-09 04:00:00,101144.60184086644,297.88754613899425,35.77940633955923,2.51607,0.00052,1.0
2022-12-09 05:00:00,101132.31323340912,297.7457519007823,37.8583348524921,2.52868,0.0004,1.0
2022-12-09 06:00:00,101070.87019612256,297.28924362166083,35.900205750075045,2.5155,0.00039,1.0
2022-12-09 07:00:00,101012.9381895381,297.22699249268976,37.123917971604385,2.52177,0.00039,1.0
2022-12-09 08:00:00,100982.1368747425,296.9307232307347,37.99135025342292,2.52661,0.00037,1.0
2022-12-09 09:00:00,100984.37116700746,296.933028828104,36.00365454177438,2.51439,0.00037,1.0
2022-12-09 10:00:00,100979.74299017289,296.77624820699157,36.209330418580514,2.51565,0.00039,1.0
2022-12-09 11:00:00,101025.70557390933,296.83388814122407,35.94563176155811,2.51503,0.00035,1.0
2022-12-09 12:00:00,101097.68170330215,296.9572376004816,36.992399501732656,2.52305,0.00036,1.0
2022-12-09 13:00:00,101165.0296558604,297.8725597560938,38.20392312337251,2.53147,0.00036,1.0
2022-12-09 14:00:00,101200.1399628813,299.4588107461723,37.550189016320644,2.52725,0.0004,1.0
2022-12-09 15:00:00,101207.64080119939,300.7591676624575,38.46630913916571,2.53221,0.00042,1.0
2022-12-09 16:00:00,101173.16886339706,301.0635065152051,37.11882018567983,2.52301,0.00049,1.0
2022-12-09 17:00:00,101124.97198739566,301.83127043918205,37.85452090939573,2.52593,0.00046,1.0
2022-12-09 18:00:00,100989.47812075596,302.0180238260954,39.17198675828535,2.53076,0.00046,1.0
2022-12-09 19:00:00,100903.9366454687,301.69062899965473,38.3911316898998,2.52427,0.00047,1.0
2022-12-09 20:00:00,100831.3221468573,301.94655030764704,39.947763640916655,2.53194,0.00045,1.0
2022-12-09 21:00:00,100830.5241853341,301.84279842602854,37.52298236603596,2.51722,0.00039,1.0
2022-12-09 22:00:00,100864.99612313643,301.25256549948773,40.483976110455686,2.53643,0.00041,1.0
2022-12-09 23:00:00,100912.87381452856,300.24617224778825,37.14308491835063,2.51775,0.00045,1.0
2022-12-10 00:00:00,100954.36781373507,299.6167441659693,35.73336426468724,2.51044,0.00062,1.0
2022-12-10 01:00:00,101033.20641222743,299.28819654084407,38.003911448558455,2.52635,0.0006,1.0
2022-12-10 02:00:00,101116.19441064044,298.91814816307135,38.579322745396034,2.532,0.00066,1.0
2022-12-10 03:00:00,101151.62390227061,298.36249919707006,40.36162438503361,2.54412,0.00069,1.0
2022-12-10 04:00:00,101139.01611020401,297.8910045350482,39.394893491746174,2.5382,0.00068,1.0
2022-12-10 05:00:00,101112.68337993835,297.6270136362633,37.590565932504944,2.52666,0.00071,1.0
2022-12-10 06:00:00,101089.70208807013,296.9814463728593,37.87159093812673,2.52828,0.00055,1.0
2022-12-10 07:00:00,101065.28446546015,296.8350409399087,35.57187443159864,2.51362,0.00044,1.0
2022-12-10 08:00:00,101042.62235820122,296.4188806147501,36.25540037606012,2.51758,0.00041,1.0
2022-12-10 09:00:00,101063.05017319518,296.6828715135349,36.64841965398127,2.52031,0.00043,1.0
2022-12-10 10:00:00,101082.68002666596,296.82812414780085,35.84413168451411,2.5157,0.00044,1.0
2022-12-10 11:00:00,101134.70711797873,296.81544336226966,34.78518173363112,2.51035,0.00037,1.0
2022-12-10 12:00:00,101204.44895510659,297.0598366834155,35.04447090156839,2.51339,0.0004,1.0
2022-12-10 13:00:00,101266.68995391634,298.03971556536806,34.71666740313968,2.51221,0.00035,1.0
2022-12-10 14:00:00,101319.51500675232,299.4000180132551,33.82245684643967,2.50714,0.00043,1.0
2022-12-10 15:00:00,101327.49462198434,300.8905867125076,34.97718980600549,2.51354,0.00047,1.0
2022-12-10 16:00:00,101286.95817660568,301.2859966613426,35.22429138465464,2.5139,0.00044,1.0
2022-12-10 17:00:00,101241.15518517388,301.903896756315,37.84103188270592,2.52844,0.0005,1.0
2022-12-10 18:00:00,101137.42018715761,302.2508891603947,44.283527253319605,2.56507,0.00046,1.0
2022-12-10 19:00:00,101070.39141920864,302.26933393934905,43.99996597793862,2.56181,0.00047,1.0
2022-12-10 20:00:00,101009.10797422673,302.1955548235315,40.95627795718931,2.54195,0.00045,1.0
2022-12-10 21:00:00,100994.90425911373,301.8819935813067,41.62164838983958,2.54589,0.0004,1.0
2022-12-10 22:00:00,100987.56301310027,301.4070405232308,40.46931654821652,2.53902,0.00042,1.0
2022-12-10 23:00:00,101043.10113511514,300.45828720576384,39.286414354267976,2.53368,0.00049,1.0
