,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-12-04 00:00:00,101313.92927608991,294.851074403626,45.612860328197804,2.5820399999999997,0.00107,1.0
2022-12-04 01:00:00,101387.18214391985,294.2908142428861,47.5369047567398,2.5961,0.0048,1.0
2022-12-04 02:00:00,101455.64724261059,294.00722576646217,46.89665839892167,2.5939,0.0044,1.0
2022-12-04 03:00:00,101476.71342682313,293.35820010700417,45.8219248760422,2.5882,0.0042,1.0
2022-12-04 04:00:00,101446.07170433216,293.4538823978301,46.37883314935669,2.5909,0.004,1.0
2022-12-04 05:00:00,101408.56751274168,293.4262152293985,44.746808892558875,2.5799,0.0037,1.0
2022-12-04 06:00:00,101365.95636740269,292.54547703432587,43.97678829530944,2.5748,0.0037,1.0
2022-12-04 07:00:00,101289.35206117529,292.0751351709887,44.629236907343135,2.5775,0.0039,1.0
2022-12-04 08:00:00,101283.28755359894,291.7926994932494,44.69627287577319,2.578,0.004,1.0
2022-12-04 09:00:00,101278.3401921551,291.7039339945313,43.920712894655345,2.5731,0.0037,1.0
2022-12-04 10:00:00,101341.85792940199,292.0866631578352,43.17724267119491,2.5696,0.0039,1.0
2022-12-04 11:00:00,101379.68130560176,292.35295965398933,41.95179932865778,2.5626,0.0037,1.0
2022-12-04 12:00:00,101411.28058192055,292.16159507233743,40.919552804656846,2.557,0.0037,1.0
2022-12-04 13:00:00,101495.86450337997,292.0359400157106,39.687455336381696,2.5513,0.0042,1.0
2022-12-04 14:00:00,101489.32121888972,293.80202760059444,40.03339381432344,2.5521,0.0041,1.0
2022-12-04 15:00:00,101474.79831916744,294.68852978909035,39.31450238842514,2.5467,0.0037,1.0
2022-12-04 16:00:00,101413.19568957624,294.8268656312483,39.73175062078561,2.5478000000000005,0.0043,1.0
2022-12-04 17:00:00,101345.84773701799,296.6932467016968,39.04904989279824,2.5408,0.0038,1.0
2022-12-04 18:00:00,101245.9429543131,296.3554766870943,38.943042487099,2.5381,0.0049,1.0
2022-12-04 19:00:00,101149.86838691957,297.3295915756236,39.10817300815881,2.5363,0.0037,1.0
2022-12-04 20:00:00,101054.91096565852,297.348036354578,38.58377402981287,2.5309,0.0038,1.0
2022-12-04 21:00:00,101000.01121286223,297.66505599285676,39.09523116059611,2.5326,0.0043,1.0
2022-12-04 22:00:00,101099.4372186532,295.5416008157314,37.97282626494198,2.5293,0.0047,1.0
2022-12-04 23:00:00,101101.19273400425,295.32141626696324,38.798399353205944,2.5346,0.0051,1.0
2022-12-05 00:00:00,101206.20447045763,294.3876493323967,39.120319287596004,2.5396,0.0077,1.0
2022-12-05 01:00:00,101305.94966085789,294.1928263546908,40.311287611540564,2.5494,0.0052,1.0
2022-12-05 02:00:00,101356.85960603818,293.576079058403,40.31443692980005,2.551,0.0049,1.0
2022-12-05 03:00:00,101392.448689973,292.9120670160446,39.82300606191678,2.5492,0.0046,1.0
2022-12-05 04:00:00,101379.20252868783,293.03887487135614,39.70878040286366,2.5481,0.0045,1.0
2022-12-05 05:00:00,101348.40121389224,292.9097614186753,38.5087775479808,2.54,0.0042,1.0
2022-12-05 06:00:00,101295.41656875162,292.40598839348326,38.487686924396286,2.539,0.0042,1.0
2022-12-05 07:00:00,101233.65434685578,292.1362335012751,39.146790095948376,2.5419,0.0044,1.0
2022-12-05 08:00:00,101208.4387627226,291.7189203774318,38.60214646037387,2.5382,0.0044,1.0
2022-12-05 09:00:00,101199.82077827201,291.33964961018194,37.76327189044374,2.5330000000000004,0.0042,1.0
2022-12-05 10:00:00,101259.98707712145,291.18517458643885,37.33805382113171,2.5318,0.0047,1.0
2022-12-05 11:00:00,101230.1433161537,291.27624568252617,37.503337946314105,2.5321,0.0042,1.0
2022-12-05 12:00:00,101317.44030679199,292.9731653463311,35.134454814669255,2.5182,0.0042,1.0
2022-12-05 13:00:00,101367.87147505837,292.95010937263805,33.82710970275339,2.5112,0.0046,1.0
2022-12-05 14:00:00,101360.5302290449,294.81072644966326,34.02732322888618,2.5112,0.0046,1.0
2022-12-05 15:00:00,101316.00397605024,296.0015674909067,33.42901423473499,2.5058,0.004,1.0
2022-12-05 16:00:00,101238.92089290892,296.1848624817661,33.51835330077107,2.5045,0.0048,1.0
2022-12-05 17:00:00,101132.31323340912,298.1768986088414,34.175106046858495,2.505,0.0044,1.0
2022-12-05 18:00:00,101024.26924316757,298.2230105562274,35.66721034594544,2.5117,0.0045,1.0
2022-12-05 19:00:00,100961.54946744388,299.09452636182283,36.276822948728956,2.5135000000000005,0.0042,1.0
2022-12-05 20:00:00,100885.26434582577,299.0242056420592,37.871666696799025,2.5216,0.0042,1.0
2022-12-05 21:00:00,100871.22022301742,299.48878351197317,39.6678946319585,2.532,0.005,1.0
2022-12-05 22:00:00,100972.56133646407,296.77970660304555,40.59183409854143,2.5418000000000003,0.0058,1.0
2022-12-05 23:00:00,101008.94838192209,296.33126791471665,42.51131520088377,2.5548,0.0066,1.0
2022-12-06 00:00:00,101088.74453424229,295.62575511971085,42.895901572778484,2.5595,0.0094,1.0
2022-12-06 01:00:00,101215.14163951749,295.77100775397673,41.36776059430787,2.5528,0.0056,1.0
2022-12-06 02:00:00,101296.85289949339,294.92831191549755,42.03715139937241,2.5594,0.0054,1.0
2022-12-06 03:00:00,101346.16692162727,293.1011260003272,41.55113173411109,2.5588,0.005,1.0
2022-12-06 04:00:00,101348.08202928296,292.86480226997395,42.22205523841383,2.5632,0.0051,1.0
2022-12-06 05:00:00,101375.37231337647,292.3863908158442,41.90731381137722,2.5622,0.0049,1.0
2022-12-06 06:00:00,101305.31129163933,292.24113818157826,41.537016927853074,2.5584,0.0045,1.0
2022-12-06 07:00:00,101298.12963793051,291.8526450248512,42.74868483990743,2.5661,0.0048,1.0
2022-12-06 08:00:00,101255.99726950545,291.79615788930334,42.846802070374494,2.5658,0.0047,1.0
2022-12-06 09:00:00,101261.42340786321,291.33042722070473,42.16577469817657,2.562,0.0043,1.0
2022-12-06 10:00:00,101302.11944554652,290.9281004797619,42.17882985116851,2.5633,0.0048,1.0
2022-12-06 11:00:00,101307.70517620894,291.2681760917336,41.368929795174125,2.5581,0.0043,1.0
2022-12-06 12:00:00,101364.20085205164,291.4814438483939,40.837637957847576,2.5559,0.0044,1.0
