,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-12-04 00:00:00,101382.55396708529,291.962160899893,40.340136631546464,2.42155,0.0022,1.0
2022-12-04 01:00:00,101485.17181896907,290.0335287004734,41.980944345711656,2.43542,0.0008,1.0
2022-12-04 02:00:00,101559.38224062686,290.57303848488965,41.15270646763873,2.43141,0.00083,1.0
2022-12-04 03:00:00,101564.17000976607,289.08477538300644,38.53295737431393,2.41606,0.00083,1.0
2022-12-04 04:00:00,101477.03261143241,289.0594138119441,40.4824324632634,2.42651,0.00083,1.0
2022-12-04 05:00:00,101383.35192860849,288.9729539105954,38.558784567706084,2.4124300000000005,0.00075,1.0
2022-12-04 06:00:00,101271.6373153602,288.6536286749473,37.799254896512295,2.40546,0.0007,1.0
2022-12-04 07:00:00,101148.91083309172,288.2801219011207,36.30706153703364,2.39365,0.00062,1.0
2022-12-04 08:00:00,101092.57474955366,288.5660159749139,35.500999030016736,2.38717,0.00071,1.0
2022-12-04 09:00:00,101033.04681992279,288.00690861285864,35.36084020491181,2.38536,0.00066,1.0
2022-12-04 10:00:00,101089.38290346085,287.5699979113763,35.52048062508735,2.38785,0.00066,1.0
2022-12-04 11:00:00,101144.76143317108,289.5724092266134,35.14875932666768,2.38544,0.00064,1.0
2022-12-04 12:00:00,101257.4336002472,290.20875410054026,35.751598430165785,2.39125,0.00064,1.0
2022-12-04 13:00:00,101392.60828227764,290.4266330519391,34.806944802018556,2.38807,0.00065,1.0
2022-12-04 14:00:00,101424.68633551036,292.4255859711223,34.70455818106827,2.38691,0.00071,1.0
2022-12-04 15:00:00,101413.67446649016,293.1034315976965,36.51780595118709,2.39758,0.00076,1.0
2022-12-04 16:00:00,101338.50649100453,293.64755257685135,37.62870269567449,2.40255,0.001,1.0
2022-12-04 17:00:00,101260.30626173073,294.70697456804476,38.576135209411774,2.40608,0.00081,1.0
2022-12-04 18:00:00,101182.42521706621,294.84992160494136,41.44672830859608,2.42214,0.00077,1.0
