,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-12-04 00:00:00,101202.37425514626,293.6902061281834,42.06385954335074,2.3239645750190125,0.003575129463315818,2.0
2022-12-04 01:00:00,101344.41140627622,293.1034315976965,42.58298377381397,2.33052,0.00082,1.0
2022-12-04 02:00:00,101404.25852051638,292.3679460368898,41.08410820668196,2.32291,0.00084,1.0
2022-12-04 03:00:00,101410.00384348344,292.3402788684582,40.99665261943484,2.3225,0.001,1.0
2022-12-04 04:00:00,101383.19233630385,292.7091744475462,40.038509182346324,2.31571,0.00078,1.0
2022-12-04 05:00:00,101333.87831416995,292.55354662511843,40.76643591441823,2.31936,0.0008,1.0
2022-12-04 06:00:00,101256.95482333328,292.47515631456224,41.22450614568269,2.32071,0.00078,1.0
2022-12-04 07:00:00,101154.3369714495,292.0878159565198,39.904845762202015,2.31064,0.00072,1.0
2022-12-04 08:00:00,101106.14009544809,291.69932279979275,40.06835939059232,2.31095,0.00067,1.0
2022-12-04 09:00:00,101097.04333408359,290.93847566792374,41.21677315644263,2.3185,0.00067,1.0
2022-12-04 10:00:00,101174.44560183419,292.0255648275487,42.20772081115597,2.3255,0.00071,1.0
2022-12-04 11:00:00,101267.16873083026,292.45094754218457,42.561489550735274,2.32929,0.00064,1.0
2022-12-04 12:00:00,101368.031067363,291.9471745169925,44.50388477120484,2.34387,0.00059,1.0
2022-12-04 13:00:00,101451.81702729923,292.2249989999932,44.26342551449789,2.34386,0.0007,1.0
2022-12-04 14:00:00,101533.36869497047,293.2164058687922,42.36369774799938,2.33292,0.00065,1.0
2022-12-04 15:00:00,101499.85431099599,293.4481184044069,44.24779637207196,2.34381,0.0007,1.0
2022-12-04 16:00:00,101468.41462698183,294.6527930298662,43.565377694996315,2.33802,0.00068,1.0
2022-12-04 17:00:00,101421.3348971129,294.66777941276666,44.36081008047906,2.34199,0.00079,1.0
2022-12-04 18:00:00,101301.32148402331,295.0193830115849,45.46003232461466,2.3461,0.00088,1.0
2022-12-04 19:00:00,101199.34200135809,294.93061751286683,44.78158465187395,2.33988,0.00078,1.0
2022-12-04 20:00:00,101131.67486419056,294.32309260605626,44.64732926807729,2.33813,0.00077,1.0
2022-12-04 21:00:00,101154.97534066805,294.455664454791,44.51476828726371,2.33768,0.00073,1.0
2022-12-04 22:00:00,101120.50340286572,292.77949516730985,41.35685646894525,2.31854,0.00073,1.0
2022-12-04 23:00:00,101220.88696248455,292.42673876980695,42.20868826829786,2.32616,0.00074,1.0
2022-12-05 00:00:00,101293.50146109593,291.9656192959469,40.00237099208103,2.31417,0.00118,1.0
2022-12-05 01:00:00,101403.9393359071,291.9633136985776,40.34888072477596,2.31859,0.00086,1.0
2022-12-05 02:00:00,101443.35863515329,291.94602171830786,39.88141363448917,2.31648,0.00078,1.0
2022-12-05 03:00:00,101428.19736621244,291.6889476116309,40.643385902663596,2.32112,0.00085,1.0
2022-12-05 04:00:00,101389.7356207941,291.243967319356,40.68487558245977,2.32091,0.00077,1.0
2022-12-05 05:00:00,101313.13131456671,290.8912109218531,40.68510765779811,2.3196,0.00105,1.0
2022-12-05 06:00:00,101236.20782373003,290.8001398257657,39.44621714258518,2.31032,0.00092,1.0
2022-12-05 07:00:00,101179.39296327805,290.3851322992917,39.05040202922452,2.30696,0.00076,1.0
2022-12-05 08:00:00,101150.98553305205,289.9632079807098,39.02355596930929,2.3065,0.0007,1.0
2022-12-05 09:00:00,101172.21130956922,290.3551595334908,38.68858849923993,2.30456,0.0007,1.0
2022-12-05 10:00:00,101198.86322444417,290.9430868626623,38.116973998098665,2.30112,0.00075,1.0
2022-12-05 11:00:00,101282.17040746647,291.2958432601652,38.02065140780519,2.30198,0.00066,1.0
2022-12-05 12:00:00,101376.3298672043,291.80538027878055,38.92434634418902,2.30922,0.00062,1.0
2022-12-05 13:00:00,101427.87818160316,292.4405723540227,39.4759055970152,2.31329,0.00066,1.0
2022-12-05 14:00:00,101457.56235026628,294.5582635377249,38.42774573862195,2.30595,0.00067,1.0
2022-12-05 15:00:00,101400.26871290038,295.98773390669095,39.213000635744336,2.30871,0.00069,1.0
2022-12-05 16:00:00,101307.5455839043,297.0517670926229,38.3804115242095,2.30098,0.00074,1.0
2022-12-05 17:00:00,101190.56442460287,298.2264689522813,38.54439367121385,2.29885,0.0008,1.0
2022-12-05 18:00:00,101039.74969671768,298.1411618496172,38.04994118923421,2.29279,0.0009,1.0
2022-12-05 19:00:00,100988.52056692811,298.03971556536806,38.93542520282558,2.29726,0.00083,1.0
2022-12-05 20:00:00,100981.17932091466,297.9129077100565,38.83585626352532,2.29658,0.00078,1.0
2022-12-05 21:00:00,100986.44586696778,298.0258819811522,38.047143551995,2.29176,0.00071,1.0
2022-12-05 22:00:00,101029.85497382998,294.58708350484113,37.00692604813841,2.28839,0.00075,1.0
2022-12-05 23:00:00,101134.70711797873,294.2758278599856,36.81991412449822,2.28956,0.00081,1.0
2022-12-06 00:00:00,101209.55590885508,293.63141339526624,36.23219389916111,2.28783,0.00122,1.0
2022-12-06 01:00:00,101302.11944554652,293.11495958454304,35.34450682830706,2.2845,0.00176,1.0
2022-12-06 02:00:00,101368.8290288862,292.89246943840556,37.58532520953842,2.29998,0.00163,1.0
2022-12-06 03:00:00,101379.8408979064,292.6054225659277,38.94933516397519,2.30891,0.00228,1.0
2022-12-06 04:00:00,101355.58286760106,291.97023049068554,33.55832555203972,2.27511,0.00969,1.0
2022-12-06 05:00:00,101320.31296827552,291.3408024088666,38.810762441951454,2.30768,0.00953,1.0
2022-12-06 06:00:00,101293.34186879129,291.2163001509244,40.14494503022888,2.31558,0.00118,1.0
2022-12-06 07:00:00,101249.29439271054,291.2416617219867,39.87303086269053,2.31296,0.00094,1.0
2022-12-06 08:00:00,101255.67808489616,290.78630624154994,38.847880292301895,2.30697,0.00089,1.0
2022-12-06 09:00:00,101262.85973860498,290.84048777972845,39.12991850079263,2.30885,0.0009,1.0
2022-12-06 10:00:00,101276.10589989013,291.73621235770156,39.682257950198604,2.31197,0.00097,1.0
