,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-11-27 00:00:00,101027.36644801093,300.8901925969371,60.31994315593866,2.6556005229974344,0.00034799043563789637,2.0
2022-11-27 01:00:00,101134.29969156762,300.53550877638844,68.02796526915965,2.70549,0.00205,1.0
2022-11-27 02:00:00,101206.24638731632,300.131563314097,65.94727621372763,2.69484,0.00094,1.0
2022-11-27 03:00:00,101175.92471254941,299.8775921833338,69.53830156346723,2.71642,0.0008,1.0
2022-11-27 04:00:00,101134.29969156762,299.2196755902791,62.18861014086215,2.67115,0.00078,1.0
2022-11-27 05:00:00,101045.12884920575,298.6186835610162,60.93660941311315,2.66206,0.00074,1.0
2022-11-27 06:00:00,101025.75168426595,298.2026963640765,61.052996306388515,2.66276,0.00071,1.0
2022-11-27 07:00:00,101008.16870126502,298.1731393790308,60.26265108047521,2.65753,0.00063,1.0
2022-11-27 08:00:00,101001.35080989731,297.96514578056093,59.324420403854496,2.65181,0.00068,1.0
2022-11-27 09:00:00,101015.70426540828,297.5524426930707,57.71870102532825,2.64265,0.00065,1.0
2022-11-27 10:00:00,101127.30238200602,297.2568728426136,56.294597431883204,2.63668,0.0006,1.0
2022-11-27 11:00:00,101182.38376752935,297.14302371503004,56.57427683746294,2.63976,0.00073,1.0
2022-11-27 12:00:00,101242.30944428762,297.2032323882713,57.40930390854871,2.64621,0.00059,1.0
2022-11-27 13:00:00,101286.26690178995,297.8075085269838,57.34374350129897,2.64622,0.00064,1.0
2022-11-27 14:00:00,101306.54115769918,298.5464331531267,56.826069602329156,2.64279,0.00061,1.0
2022-11-27 15:00:00,101318.92101307739,299.4791202367915,57.385724277075965,2.64562,0.00063,1.0
2022-11-27 16:00:00,101231.00609807273,299.7943947439459,58.497599769019885,2.65014,0.00065,1.0
2022-11-27 17:00:00,101130.71132768987,300.9832423646736,59.39976526930039,2.65223,0.00075,1.0
2022-11-27 18:00:00,100986.2796816108,302.5552360878458,59.78116732251399,2.64975,0.00074,1.0
2022-11-27 19:00:00,100868.58134642089,303.82071292906244,59.68440860881167,2.64527,0.00074,1.0
2022-11-27 20:00:00,100772.41319449744,303.9093838841996,59.20118949951225,2.64008,0.00083,1.0
2022-11-27 21:00:00,100667.09471468574,303.1288605383627,60.66490820537149,2.64733,0.00076,1.0
2022-11-27 22:00:00,100633.36409423497,301.1058491174558,61.908199505914475,2.65616,0.00092,1.0
2022-11-27 23:00:00,100721.4584274335,300.3329886936678,60.77798671853308,2.65203,0.00106,1.0
2022-11-28 00:00:00,100797.35232344773,300.0166194833637,68.40464569957396,2.70075,0.00324,1.0
2022-11-28 01:00:00,100869.47843739032,300.22899189443285,52.172517202335975,2.60284,0.00586,1.0
2022-11-28 02:00:00,100916.48600418873,299.7549854305516,55.644371785016006,2.62558,0.00172,1.0
2022-11-28 03:00:00,100936.04258732243,299.26784252887217,58.05045048096881,2.64123,0.00142,1.0
2022-11-28 04:00:00,100905.54149436162,298.75880556419594,58.8383550264037,2.64587,0.00117,1.0
2022-11-28 05:00:00,100865.17240073704,298.3866064932499,59.07891752997691,2.6468,0.00095,1.0
2022-11-28 06:00:00,100856.56032743046,298.46870922948796,59.187243041105035,2.64719,0.0009,1.0
2022-11-28 07:00:00,100880.60236541132,298.0943207522422,57.40536434097054,2.63714,0.00111,1.0
2022-11-28 08:00:00,100843.4627992767,298.22021161447395,58.345293018409684,2.64196,0.00088,1.0
2022-11-28 09:00:00,100855.66323646103,298.18846522312856,58.04502080948846,2.64042,0.00093,1.0
2022-11-28 10:00:00,100878.98760166635,297.7954667923355,56.70217993052146,2.63306,0.00083,1.0
2022-11-28 11:00:00,100969.95262596708,297.65643949230565,56.11757998119322,2.63165,0.00091,1.0
2022-11-28 12:00:00,101024.8545932965,298.0658584703463,57.35772694299836,2.64014,0.00077,1.0
