,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-11-27 00:00:00,101159.95649329346,299.4736467210423,27.10334737969682,2.198968039922173,0.00019697677448815839,2.0
2022-11-27 01:00:00,101313.53846726078,297.5524426930707,24.206291871532834,2.18507,0.0008,1.0
2022-11-27 02:00:00,101378.66727164178,295.5775982107569,24.37993163100657,2.18826,0.00078,1.0
2022-11-27 03:00:00,101419.21578346024,293.74506513792244,25.469499929864565,2.19662,0.00086,1.0
2022-11-27 04:00:00,101449.89629461493,292.29348876123277,24.429467356351832,2.19137,0.00092,1.0
2022-11-27 05:00:00,101459.76429527871,291.0225384042669,24.23404972046176,2.19088,0.00095,1.0
2022-11-27 06:00:00,101464.24975012589,290.03621086625986,24.51752499503455,2.19317,0.00085,1.0
2022-11-27 07:00:00,101467.47927761586,289.4133247740001,23.101681414739573,2.18458,0.0008,1.0
2022-11-27 08:00:00,101468.01753219753,289.0159475306077,23.801983906823132,2.18917,0.00075,1.0
2022-11-27 09:00:00,101486.318187974,288.43466015804194,21.812511654039824,2.17721,0.00074,1.0
2022-11-27 10:00:00,101626.80263378756,288.68534717935563,22.39582039184537,2.18362,0.00068,1.0
2022-11-27 11:00:00,101621.42008797095,291.72095901386575,22.366306096864207,2.18214,0.00075,1.0
2022-11-27 12:00:00,101640.0795801352,295.4823590367207,22.890125835965073,2.18432,0.00073,1.0
2022-11-27 13:00:00,101538.70830058902,297.4112259867412,23.46623730876636,2.18509,0.00072,1.0
2022-11-27 14:00:00,101439.49003936948,298.82339305003654,23.783348366396332,2.18449,0.00068,1.0
2022-11-27 15:00:00,101372.7464712435,300.6340320598742,24.10313604313951,2.18439,0.00077,1.0
2022-11-27 16:00:00,101340.09235995606,302.063714373567,24.806490243634247,2.18745,0.0007,1.0
2022-11-27 17:00:00,101283.21679249387,303.1825009927049,25.026483150841777,2.18719,0.00073,1.0
2022-11-27 18:00:00,101180.58958559047,302.66689580912964,27.1641968022167,2.19833,0.00078,1.0
2022-11-27 19:00:00,101243.20653525705,301.4419229844571,28.667668367339044,2.2093,0.00079,1.0
2022-11-27 20:00:00,101199.42849594861,301.52402572069525,28.288478933698226,2.20607,0.00075,1.0
2022-11-27 21:00:00,101112.4106719134,301.26020226158346,27.11093935451579,2.19726,0.00089,1.0
2022-11-27 22:00:00,101056.61161361451,300.70518776461387,28.057589131076217,2.20217,0.001,1.0
2022-11-27 23:00:00,101109.18114442343,299.7779741966982,24.664043704696976,2.18287,0.00086,1.0
2022-11-28 00:00:00,101154.75336567074,297.8742854191241,25.437649531320297,2.18933,0.00136,1.0
2022-11-28 01:00:00,101152.4209291502,297.05325805674306,23.667429753301324,2.17871,0.00058,1.0
2022-11-28 02:00:00,101138.24689183313,295.89177801476137,21.98595690169661,2.16848,0.00053,1.0
2022-11-28 03:00:00,101128.55830936323,294.3854664805796,21.350834713104863,2.1649,0.00053,1.0
2022-11-28 04:00:00,101090.1628158714,294.06909727027545,19.747632495996875,2.15427,0.00047,1.0
2022-11-28 05:00:00,101025.57226607206,293.8107473269129,18.392046672767034,2.14462,0.00053,1.0
2022-11-28 06:00:00,100950.75487922116,293.13093667086144,21.308277297205187,2.16152,0.00049,1.0
2022-11-28 07:00:00,100953.26673393558,290.7696619766536,21.607675459664723,2.16432,0.00051,1.0
2022-11-28 08:00:00,101017.49844734714,288.599960333668,23.28884175644021,2.17705,0.00055,1.0
2022-11-28 09:00:00,101079.93597881983,287.9814530540076,22.999772319614546,2.17673,0.00054,1.0
2022-11-28 10:00:00,101191.17525902981,289.9190776292268,21.9443359612897,2.17154,0.00058,1.0
2022-11-28 11:00:00,101213.24369687791,291.9705513320296,20.45793179500424,2.1619,0.00054,1.0
2022-11-28 12:00:00,101127.84063658767,295.5797876170566,20.641903970575,2.16006,0.00055,1.0
2022-11-28 13:00:00,101005.47742835671,296.77191934723385,18.233021889535397,2.14231,0.00043,1.0
2022-11-28 14:00:00,100912.17996753544,298.6537140618112,16.7842872616921,2.13096,0.00045,1.0
2022-11-28 15:00:00,100832.5182894496,301.26567577733266,16.03120790072325,2.12404,0.00045,1.0
2022-11-28 16:00:00,100763.44228480308,302.5278685090998,17.43239456951082,2.13084,0.00046,1.0
2022-11-28 17:00:00,100698.49289861596,303.9586455259424,19.852890332110697,2.14379,0.00044,1.0
2022-11-28 18:00:00,100615.96052942793,304.40418970792786,19.244813449744615,2.13831,0.0005,1.0
2022-11-28 19:00:00,100581.15339981383,305.31936154119524,21.296750458367253,2.14971,0.00044,1.0
2022-11-28 20:00:00,100510.82146781012,304.8946167190568,18.802035051392448,2.13337,0.00056,1.0
2022-11-28 21:00:00,100449.9987000824,304.2881511740447,25.50270669851086,2.17288,0.00057,1.0
2022-11-28 22:00:00,100334.45338321915,303.6981061762802,27.61764240686886,2.18362,0.0005,1.0
2022-11-28 23:00:00,100384.86989570141,302.0111686223746,23.732969590131635,2.16174,0.00055,1.0
2022-11-29 00:00:00,100450.71637285796,301.35325202931995,22.58216332183482,2.1563,0.00071,1.0
2022-11-29 01:00:00,100551.90823421025,297.4736240662821,17.83542821732281,2.13053,0.00041,1.0
2022-11-29 02:00:00,100634.79943978607,295.37836223748576,17.732853746264485,2.13219,0.00044,1.0
2022-11-29 03:00:00,100719.66424549464,293.35097200397956,19.521823610638442,2.14566,0.00047,1.0
2022-11-29 04:00:00,100806.68206952987,292.781726366062,20.848135000728835,2.15588,0.00043,1.0
2022-11-29 05:00:00,100810.62926979538,292.1741661179001,21.219490419413578,2.1585,0.00047,1.0
2022-11-29 06:00:00,100771.6955217219,292.35479213762386,21.225653928364828,2.15769,0.00042,1.0
2022-11-29 07:00:00,100734.1971191995,291.21849026808854,21.229826634302995,2.15738,0.00041,1.0
2022-11-29 08:00:00,100715.896463423,290.15005999384334,22.623215542179594,2.16617,0.0004,1.0
2022-11-29 09:00:00,100789.81675930448,288.97434881091374,22.611878905453047,2.16805,0.0004,1.0
2022-11-29 10:00:00,100904.28556700442,290.2781402623748,21.855692251620873,2.16508,0.00044,1.0
2022-11-29 11:00:00,100897.46767563671,293.3225097220837,24.101204840285046,2.17779,0.00041,1.0
2022-11-29 12:00:00,100921.50971361758,296.1052451289804,27.40977186496993,2.1976,0.00041,1.0
2022-11-29 13:00:00,100861.5840368593,296.73032062753987,25.1482982035723,2.18214,0.00037,1.0
2022-11-29 14:00:00,100764.69821216029,297.2240317481183,23.341410933596187,2.16884,0.00039,1.0
2022-11-29 15:00:00,100695.44278931989,299.32367238951406,22.945118540784915,2.1642,0.00042,1.0
2022-11-29 16:00:00,100608.42496528468,300.22023426923414,23.409198630649236,2.16495,0.00039,1.0
2022-11-29 17:00:00,100506.8742675446,301.7013676309695,23.860645081759078,2.16509,0.00043,1.0
2022-11-29 18:00:00,100371.77236754766,302.3647577397734,25.68612186337035,2.17322,0.0005,1.0
2022-11-29 19:00:00,100316.69098202433,302.42387170986484,25.88535091855223,2.1733,0.00043,1.0
2022-11-29 20:00:00,100266.63330592985,302.2903179255842,25.891842484438786,2.17239,0.00048,1.0
2022-11-29 21:00:00,100201.14566516106,302.4490498823112,27.457813758072078,2.18053,0.00057,1.0
2022-11-29 22:00:00,100126.32827831017,302.07794551451497,27.73824657895977,2.1809,0.00046,1.0
2022-11-29 23:00:00,100208.32239291655,300.0264718117122,27.031986445573402,2.17916,0.0005,1.0
