,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-11-29 01:00:00,97221.00946469718,272.78478392790964,15.862641349772984,2.30639,0.00042,1.0
2022-11-29 02:00:00,97098.10800188455,272.70706000427094,14.75651108901858,2.29632,0.00036,1.0
2022-11-29 03:00:00,96963.36493827538,272.5286233908468,14.800420028708148,2.29361,0.0004,1.0
2022-11-29 04:00:00,96821.26572871684,272.63371489323157,14.14510473554186,2.28603,0.00036,1.0
2022-11-29 05:00:00,96675.57815528056,271.86523328204294,13.233257549866325,2.2769,0.00036,1.0
2022-11-29 06:00:00,96548.55007400853,271.89807437653815,12.744950001331098,2.27078,0.00038,1.0
2022-11-29 07:00:00,96409.85981013383,271.6769443402702,11.477214976605387,2.25929,0.00036,1.0
2022-11-29 08:00:00,96396.58286378619,271.30036645672476,10.102487309620063,2.24995,0.00038,1.0
2022-11-29 09:00:00,96358.90504306991,271.04967943541106,8.732881311998666,2.24005,0.00039,1.0
2022-11-29 10:00:00,96302.20889380161,271.66052379302255,7.949689822139768,2.23347,0.00034,1.0
2022-11-29 11:00:00,96185.22823138724,271.5685687284359,8.404321189136724,2.23385,0.00042,1.0
2022-11-29 12:00:00,96085.11287919828,271.62877740167716,7.596944590331499,2.22622,0.00037,1.0
2022-11-29 13:00:00,96028.0578935422,271.6189250733286,7.578929987339644,2.22481,0.00035,1.0
2022-11-29 14:00:00,96002.75992820412,272.16408724194963,7.512930197852023,2.22372,0.00038,1.0
2022-11-29 15:00:00,95986.61229075429,272.34252385537377,6.814903920013545,2.21871,0.00038,1.0
2022-11-29 16:00:00,95972.25883524332,272.48045645225375,6.612780849574744,2.21703,0.00037,1.0
2022-11-29 17:00:00,95975.3089445394,272.52752868769693,6.772616648468726,2.21815,0.00038,1.0
2022-11-29 18:00:00,96011.73083789847,272.45418357665756,8.445636644805289,2.23005,0.00041,1.0
2022-11-29 19:00:00,96028.59614812385,272.10935208445756,7.997304898839325,2.22752,0.00036,1.0
2022-11-29 20:00:00,96025.18720243999,271.05953176375965,7.281157759483142,2.22285,0.0004,1.0
2022-11-29 21:00:00,96046.89680390034,270.8613904936384,6.486623024041673,2.21809,0.00039,1.0
2022-11-29 22:00:00,95985.89461797873,271.0901834519552,7.546814636611217,2.22372,0.00038,1.0
2022-11-29 23:00:00,95990.20065463202,270.6282187227222,7.225653393904527,2.22175,0.00044,1.0
2022-11-30 00:00:00,95957.72596153847,270.1082347265475,6.808494158548369,2.21831,0.00058,1.0
2022-11-30 01:00:00,95899.95330310684,269.8597371115335,9.052394303461366,2.23199,0.00036,1.0
2022-11-30 02:00:00,95794.99365968292,269.7524562028491,9.046052877576454,2.22959,0.00034,1.0
2022-11-30 03:00:00,95591.533427815,269.7524562028491,10.592112535462192,2.23529,0.00039,1.0
2022-11-30 04:00:00,95321.68846420888,270.4278880463012,10.81921656876079,2.23055,0.00033,1.0
2022-11-30 05:00:00,95242.74445889858,271.1799491102422,10.939221671757345,2.2294,0.00033,1.0
2022-11-30 06:00:00,95149.08816168953,271.4733295543997,10.125642618820539,2.22182,0.00037,1.0
2022-11-30 07:00:00,95065.47928333817,271.29817705042507,9.983821105876517,2.21902,0.00033,1.0
2022-11-30 08:00:00,94984.38225970122,271.1613391566949,8.943016138091945,2.2103,0.00039,1.0
2022-11-30 09:00:00,95030.67215372408,270.3884787329069,7.148207488048407,2.19954,0.00037,1.0
2022-11-30 10:00:00,95089.88015770681,270.22317855728085,6.944842233223312,2.19955,0.00033,1.0
2022-11-30 11:00:00,95055.4318644805,270.3753422951088,6.692506346751501,2.19707,0.00041,1.0
2022-11-30 12:00:00,94980.43505943571,270.72564730305805,6.975938055269381,2.19721,0.00037,1.0
2022-11-30 13:00:00,94860.58370591915,270.8526328684396,7.405016258664376,2.19733,0.00035,1.0
2022-11-30 14:00:00,94738.57933407597,270.80227652354694,7.721811129562236,2.19668,0.00036,1.0
2022-11-30 15:00:00,94707.18115014574,270.98180784012095,7.099795438839228,2.19181,0.00038,1.0
2022-11-30 16:00:00,94742.70595253537,271.09127815510504,8.7774519024031,2.20374,0.00037,1.0
2022-11-30 17:00:00,94859.68661494972,271.00041779366825,8.07219662248078,2.20172,0.00037,1.0
2022-11-30 18:00:00,95001.60640631439,270.8909474786841,6.979415872144362,2.19769,0.00036,1.0
2022-11-30 19:00:00,95146.39688878124,270.99275487161935,7.118682789019343,2.20188,0.00036,1.0
2022-11-30 20:00:00,95277.19275212489,270.6818591770644,7.453319995947142,2.20711,0.00038,1.0
2022-11-30 21:00:00,95387.53494136542,270.4333615620504,8.002662380200228,2.2133,0.00038,1.0
2022-11-30 22:00:00,95431.67181706164,270.18267454073674,7.11073737369028,2.2084,0.00037,1.0
2022-11-30 23:00:00,95510.07756779029,269.89257820602876,6.938771497477282,2.20907,0.00041,1.0
2022-12-01 00:00:00,95601.2220102849,269.7426038745005,6.771617249541467,2.21004,0.00051,1.0
2022-12-01 01:00:00,95631.54368505182,269.8071913603411,5.583754761420288,2.2028,0.00044,1.0
2022-12-01 02:00:00,95692.7252891673,269.4689280870401,5.860620447822784,2.20607,0.00039,1.0
2022-12-01 03:00:00,95707.07874467826,269.2204304720262,5.5845007433360525,2.20458,0.00042,1.0
2022-12-01 04:00:00,95740.80936512903,269.12519129798994,5.773994846977499,2.20662,0.00042,1.0
2022-12-01 05:00:00,95736.68274666963,269.10439193814295,5.278619625664661,2.20322,0.0004,1.0
2022-12-01 06:00:00,95758.39234812996,269.2182410657265,5.638078660678987,2.2061,0.00046,1.0
2022-12-01 07:00:00,95766.28674866099,269.08906609404517,5.766351913365664,2.20715,0.00043,1.0
2022-12-01 08:00:00,95835.18333511362,269.2051046279284,4.872779248089092,2.20273,0.00044,1.0
2022-12-01 09:00:00,95839.30995357301,269.35179485000714,5.427204476398866,2.20651,0.00044,1.0
2022-12-01 10:00:00,95859.76362767613,269.87834706508085,6.488528317709165,2.21399,0.00042,1.0
2022-12-01 11:00:00,95935.29868730258,270.02503728715953,6.171513086038864,2.21357,0.00047,1.0
