,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-11-27 00:00:00,101087.65096115698,297.8666224970752,44.85389405237474,2.558369838423551,0.0022388259010224527,2.0
2022-11-27 01:00:00,101148.11489249692,297.5447797710218,45.28610067962633,2.56264,0.00104,1.0
2022-11-27 02:00:00,101132.68492782263,298.4227316971946,47.71678781915462,2.57657,0.00059,1.0
2022-11-27 03:00:00,101129.99365491432,297.56120031826947,49.09677578995618,2.5856999999999997,0.00054,1.0
2022-11-27 04:00:00,101072.40041467658,297.10033029218624,48.09846254374166,2.57862,0.00045,1.0
2022-11-27 05:00:00,101010.32171959167,296.9602082890065,46.69186041750529,2.56865,0.00039,1.0
2022-11-27 06:00:00,100925.99516846475,296.78833989448145,46.84551489771115,2.5678300000000003,0.00039,1.0
2022-11-27 07:00:00,100901.41487590222,296.1380862234757,46.77299651464683,2.56734,0.00042,1.0
2022-11-27 08:00:00,100921.1508772298,295.63671218084835,47.3699511129936,2.57188,0.00036,1.0
2022-11-27 09:00:00,100985.74142702913,295.659700946995,47.44747868669723,2.5738,0.00037,1.0
2022-11-27 10:00:00,101101.2867438924,297.5097492702269,47.702267892915714,2.5765,0.00039,1.0
2022-11-27 11:00:00,101227.417734195,298.83652948783464,48.794858467576354,2.585,0.0004,1.0
2022-11-27 12:00:00,101278.01366487113,300.2870111613745,50.451080644030704,2.5951,0.0004,1.0
2022-11-27 13:00:00,101282.49911971831,301.59080261283555,51.192738684304324,2.59864,0.00043,1.0
2022-11-27 14:00:00,101236.02980750157,302.7785555304134,50.95777582725626,2.59517,0.00039,1.0
2022-11-27 15:00:00,101174.6687851922,304.8365974521152,50.88055901683239,2.59162,0.00045,1.0
2022-11-27 16:00:00,101070.24739634994,305.02817050333744,52.01713922684533,2.59597,0.00039,1.0
2022-11-27 17:00:00,100997.58302782568,305.8448190531191,52.72607089309192,2.59792,0.00038,1.0
2022-11-27 18:00:00,100871.09320113531,305.7408222538842,51.109930508716396,2.58541,0.00042,1.0
2022-11-27 19:00:00,100764.15995757862,305.18580775691464,50.957366453751106,2.58253,0.00048,1.0
2022-11-27 20:00:00,100791.96977763112,304.09657812282245,51.71341697571915,2.58863,0.00046,1.0
2022-11-27 21:00:00,100783.17828613066,301.6740000522235,50.27423364846529,2.5817,0.0004,1.0
2022-11-27 22:00:00,100818.16483393863,299.4145327509509,51.392742272506624,2.59122,0.00043,1.0
2022-11-27 23:00:00,100887.42025677903,299.8272358384411,50.52698648711473,2.58713,0.00064,1.0
2022-11-28 00:00:00,100952.36964296615,298.99197733511215,49.221008033925465,2.58128,0.00148,1.0
2022-11-28 01:00:00,101000.45371892788,298.6602822807102,51.61741210666617,2.59736,0.00082,1.0
2022-11-28 02:00:00,101011.93648333664,299.07736418079975,52.6747960413531,2.60375,0.00058,1.0
2022-11-28 03:00:00,101014.80717443884,298.68546045315657,52.2306997805367,2.60143,0.00047,1.0
2022-11-28 04:00:00,100963.13473459937,298.6121153421172,50.367694527314995,2.58888,0.0005,1.0
2022-11-28 05:00:00,100912.53880392322,298.23225334912223,48.47416213301083,2.57641,0.00042,1.0
2022-11-28 06:00:00,100823.72679794913,297.7582468852409,48.01643613599535,2.57197,0.00037,1.0
2022-11-28 07:00:00,100816.37065199976,297.2032323882713,49.03609723665441,2.57854,0.00043,1.0
2022-11-28 08:00:00,100821.93261601026,296.9689659142053,52.10503156773467,2.5978,0.00038,1.0
2022-11-28 09:00:00,100850.4601088383,296.8003816291297,49.96379049149361,2.5853699999999997,0.00039,1.0
2022-11-28 10:00:00,100899.62069396336,299.12443641624293,48.55106264008286,2.5758700000000005,0.00038,1.0
2022-11-28 11:00:00,101015.52484721439,300.3099999275211,49.431717086371776,2.58292,0.00036,1.0
2022-11-28 12:00:00,101057.32928639007,301.739682241214,50.20114917738479,2.58739,0.00037,1.0
2022-11-28 13:00:00,101027.54586620482,302.5749407445429,49.881612842346485,2.58409,0.00044,1.0
2022-11-28 14:00:00,100983.94724509027,303.55579476680083,51.360973255253754,2.59128,0.00042,1.0
2022-11-28 15:00:00,100896.2117482795,306.2049763894169,50.63365572921004,2.58273,0.00044,1.0
2022-11-28 16:00:00,100767.92773965026,306.694308697396,50.682165785815364,2.57973,0.00041,1.0
2022-11-28 17:00:00,100596.9422008759,305.9269217893572,50.09113301975117,2.57293,0.00046,1.0
2022-11-28 18:00:00,100498.08277604413,306.3045943760525,50.78799372904094,2.57459,0.00058,1.0
2022-11-28 19:00:00,100375.36073142539,306.10207429333184,50.68441834515474,2.5713599999999994,0.00055,1.0
2022-11-28 20:00:00,100415.01215227443,305.4200742309807,51.430462803205074,2.57731,0.00051,1.0
2022-11-28 21:00:00,100433.67164443868,303.0106325981798,51.49579340481754,2.58013,0.0004,1.0
2022-11-28 22:00:00,100514.05099530009,301.4200289214603,52.257917375370894,2.58793,0.00045,1.0
2022-11-28 23:00:00,100641.07907657212,301.1791942284952,50.8707650949597,2.58254,0.00049,1.0
2022-11-29 00:00:00,100713.02577232082,300.9328860197809,50.06496817755409,2.57945,0.00064,1.0
2022-11-29 01:00:00,100742.98861069996,301.443017687607,46.61662289383657,2.55868,0.00045,1.0
2022-11-29 02:00:00,100744.78279263883,301.1715313064463,48.69322711066676,2.5716,0.00041,1.0
2022-11-29 03:00:00,100713.3846087086,299.33133531156295,47.14240209670204,2.56286,0.00043,1.0
2022-11-29 04:00:00,100686.83071601331,299.1966868241325,48.077095114659755,2.5681,0.00043,1.0
2022-11-29 05:00:00,100631.5699122961,299.00073496031087,50.39723426623174,2.58125,0.00041,1.0
2022-11-29 06:00:00,100619.72831149955,298.8562341445318,48.39350348460626,2.5688,0.00038,1.0
