,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-11-27 00:00:00,101459.9437134726,303.0828830060693,32.15252587743965,2.4773379680635936,0.0039830486695368325,2.0
2022-11-27 01:00:00,101502.10698903607,302.3910306153696,33.86594892919837,2.4890699999999994,0.00051,1.0
2022-11-27 02:00:00,101529.01971811912,301.9487705428337,32.04967607847075,2.47886,0.0005,1.0
2022-11-27 03:00:00,101581.9480853158,300.2541700668792,31.27759679524586,2.47622,0.00055,1.0
2022-11-27 04:00:00,101616.39637854212,298.9558521311674,30.217505216899344,2.47116,0.00054,1.0
2022-11-27 05:00:00,101626.80263378756,298.0384908916003,30.01501107142862,2.47061,0.00052,1.0
2022-11-27 06:00:00,101613.16685105214,295.63780688399817,31.63169215621034,2.48153,0.00057,1.0
2022-11-27 07:00:00,101654.43303564617,294.7653284735746,34.254105923829684,2.49921,0.00056,1.0
2022-11-27 08:00:00,101747.37166007966,293.99465745608626,32.26280223239932,2.48936,0.0005,1.0
2022-11-27 09:00:00,101856.2785037691,293.3006156590868,33.57600513647127,2.50038,0.00055,1.0
2022-11-27 10:00:00,102011.83407786918,294.32963661993773,33.01979397722497,2.49983,0.00049,1.0
2022-11-27 11:00:00,102003.58084095037,295.569935288708,31.99195350109092,2.49258,0.00047,1.0
2022-11-27 12:00:00,101940.24621850824,297.5699579434682,32.32182612388818,2.49211,0.00047,1.0
2022-11-27 13:00:00,101851.61363072804,299.4539420643452,30.74750587879456,2.47945,0.00046,1.0
2022-11-27 14:00:00,101746.47456911023,302.10093428066165,31.66500156003304,2.48133,0.00052,1.0
2022-11-27 15:00:00,101715.43522156776,304.64611910404284,32.71803194188517,2.48569,0.00057,1.0
2022-11-27 16:00:00,101683.49878305587,305.78789448932736,33.467725864672786,2.4888900000000005,0.00053,1.0
2022-11-27 17:00:00,101621.9583425526,307.14751580143036,35.74069351114317,2.50043,0.00055,1.0
2022-11-27 18:00:00,101521.30473578197,308.053930009499,36.31284920282452,2.50108,0.00063,1.0
2022-11-27 19:00:00,101445.41083976776,308.212661966226,35.57950853423138,2.49489,0.00056,1.0
2022-11-27 20:00:00,101376.8730897029,307.8076218007847,33.9254098241382,2.48366,0.00054,1.0
2022-11-27 21:00:00,101340.09235995606,306.79502138718146,34.750787952223206,2.48834,0.00064,1.0
2022-11-27 22:00:00,101352.83105172204,303.8677851645056,34.113621228345,2.4864,0.00056,1.0
2022-11-27 23:00:00,101370.95228930464,302.46984924215815,33.01634047451488,2.48091,0.0006,1.0
2022-11-28 00:00:00,101355.70174282423,301.1463531339999,30.80870236355422,2.46781,0.00108,1.0
2022-11-28 01:00:00,101358.39301573254,300.78181698510275,29.262474678443304,2.45861,0.00051,1.0
2022-11-28 02:00:00,101403.2475642043,300.3001475991726,28.546175512745616,2.45547,0.00053,1.0
2022-11-28 03:00:00,101420.11287442969,298.43367872869305,31.899868063897475,2.47735,0.00058,1.0
2022-11-28 04:00:00,101394.63549089772,297.1769595126751,29.877045206658774,2.46497,0.00054,1.0
2022-11-28 05:00:00,101363.95497974304,296.3854891353398,30.72504040310516,2.46992,0.00055,1.0
2022-11-28 06:00:00,101325.20064986343,294.5803236412514,32.01947284086219,2.47803,0.00056,1.0
2022-11-28 07:00:00,101297.57024800483,294.1194536151682,31.56286446849952,2.4748200000000002,0.00054,1.0
2022-11-28 08:00:00,101270.83693711566,293.73411810642403,31.463835166154773,2.47381,0.00055,1.0
2022-11-28 09:00:00,101287.52282914716,293.3739607701262,31.215243880119008,2.47283,0.0006,1.0
2022-11-28 10:00:00,101361.98137961028,295.9268085155563,31.27538630051038,2.47352,0.00054,1.0
2022-11-28 11:00:00,101380.10261719287,297.8688119033749,32.72966889952153,2.48186,0.00047,1.0
2022-11-28 12:00:00,101367.00508903911,299.5053931123877,32.49092537912222,2.47921,0.00049,1.0
2022-11-28 13:00:00,101280.52551958556,300.9383595355301,32.45227071876641,2.47626,0.00045,1.0
2022-11-28 14:00:00,101175.02762157997,303.7856824282675,32.2791509325376,2.47133,0.00051,1.0
2022-11-28 15:00:00,101074.19459661545,305.9105012421096,30.847247366658586,2.45933,0.00054,1.0
2022-11-28 16:00:00,100978.38528107977,306.7501385580379,30.832064439468756,2.45667,0.00053,1.0
2022-11-28 17:00:00,100889.2144387179,308.4326972993441,31.650529032030047,2.45874,0.00065,1.0
2022-11-28 18:00:00,100807.75857869319,308.7435929938991,31.80059733275224,2.45765,0.00056,1.0
2022-11-28 19:00:00,100695.98104390156,309.0774774546007,32.57573214361051,2.4596,0.00058,1.0
2022-11-28 20:00:00,100621.8813298262,309.13768612784196,32.52176399323443,2.45758,0.00051,1.0
2022-11-28 21:00:00,100564.28808958846,308.7468771033486,34.273410932993485,2.46696,0.00067,1.0
2022-11-28 22:00:00,100573.79725386447,305.9531946649534,32.99618439360341,2.461,0.00056,1.0
2022-11-28 23:00:00,100575.77085399722,304.07030524722626,31.42658184106846,2.45254,0.00063,1.0
2022-11-29 00:00:00,100548.4992885264,302.71068393512326,27.072443526925674,2.42616,0.00088,1.0
2022-11-29 01:00:00,100569.67063540507,302.42715581931435,26.720343002764206,2.42462,0.00047,1.0
2022-11-29 02:00:00,100625.64911189783,301.84805785304826,25.37542735033248,2.41794,0.00045,1.0
2022-11-29 03:00:00,100676.42446076787,300.5103306039421,26.56474288647027,2.42691,0.00058,1.0
2022-11-29 04:00:00,100665.47995094076,299.61595813052173,28.045453454862717,2.43613,0.00051,1.0
2022-11-29 05:00:00,100634.08176701052,297.97718751520915,28.87750580237485,2.44131,0.00053,1.0
2022-11-29 06:00:00,100599.45405559032,296.4227090424344,30.192009404867257,2.44941,0.00051,1.0
2022-11-29 07:00:00,100573.4384174767,295.71772021393656,34.063342780454796,2.47316,0.00054,1.0
2022-11-29 08:00:00,100576.129690385,295.37617283118607,37.449810121487985,2.49441,0.00049,1.0
2022-11-29 09:00:00,100617.57529317291,295.1123493720743,37.011348925336094,2.49279,0.00054,1.0
2022-11-29 10:00:00,100722.71435479072,297.232789373317,34.871168957504324,2.48063,0.00059,1.0
2022-11-29 11:00:00,100737.24722849557,298.9755567878645,34.73080454234942,2.4790799999999997,0.00053,1.0
2022-11-29 12:00:00,100705.84904456534,300.6219903252259,34.94887095332201,2.47876,0.00051,1.0
2022-11-29 13:00:00,100625.29027551005,301.946581136534,33.79802363586857,2.46918,0.00046,1.0
2022-11-29 14:00:00,100548.4992885264,303.28102427619064,34.269751446017644,2.46958,0.00058,1.0
2022-11-29 15:00:00,100497.1856850747,306.6986875099954,36.26194927512901,2.47852,0.00058,1.0
2022-11-29 16:00:00,100442.46313593915,306.89026056121764,36.220607886495245,2.47693,0.00051,1.0
2022-11-29 17:00:00,100398.14684204906,307.2865431014602,38.818340321893636,2.4913,0.00056,1.0
2022-11-29 18:00:00,100305.38763580944,307.8601675519771,37.63382514443942,2.48176,0.00058,1.0
2022-11-29 19:00:00,100236.6704675507,307.9105238968698,40.940039657950265,2.5,0.00069,1.0
2022-11-29 20:00:00,100180.51257286406,307.5700712172691,42.622397854476944,2.50905,0.00064,1.0
2022-11-29 21:00:00,100153.06158919934,306.7534226674875,38.625954337885915,2.48496,0.00082,1.0
2022-11-29 22:00:00,100114.8455139014,303.52952189120464,32.92277525060352,2.45152,0.00059,1.0
2022-11-29 23:00:00,100213.70493873316,300.69643013941516,35.7512764008254,2.47255,0.00066,1.0
2022-11-30 00:00:00,100395.99382372241,300.6263691378253,37.71793789619969,2.48871,0.00111,1.0
2022-11-30 01:00:00,100552.26707059803,298.8934540516264,35.33234545508352,2.47866,0.00068,1.0
2022-11-30 02:00:00,100608.78380167244,297.60279903796345,31.384762799476547,2.45637,0.00063,1.0
2022-11-30 03:00:00,100610.21914722354,295.77245537142863,35.927671727461785,2.4855,0.00059,1.0
2022-11-30 04:00:00,100591.73907325318,295.0017843539403,39.76734171229138,2.50938,0.00055,1.0
2022-11-30 05:00:00,100568.23528985397,293.9694792836399,38.762805774992444,2.5033,0.00071,1.0
2022-11-30 06:00:00,100531.81339649491,293.230554657497,33.34039845521962,2.46916,0.00056,1.0
2022-11-30 07:00:00,100564.46750778235,293.0477392314735,32.712189437361616,2.46608,0.00058,1.0
2022-11-30 08:00:00,100594.43034616148,292.6908660046252,33.18862798594179,2.46993,0.00056,1.0
2022-11-30 09:00:00,100651.66475001145,292.4358001707121,35.356399732274326,2.48491,0.00058,1.0
2022-11-30 10:00:00,100885.0878202585,293.14735721810905,36.68758637060711,2.49803,0.0005,1.0
2022-11-30 11:00:00,100941.9633877207,293.389286614224,37.02339477544698,2.5012499999999998,0.00054,1.0
2022-11-30 12:00:00,100990.76513645798,293.48124167881065,38.03133470668208,2.50857,0.00064,1.0
2022-11-30 13:00:00,101011.03939236721,293.2699639708913,37.28009534875632,2.50448,0.00054,1.0
2022-11-30 14:00:00,100985.02375425359,294.00888859703423,37.62514255768549,2.50557,0.00055,1.0
2022-11-30 15:00:00,100989.50920910077,294.11069598996943,38.56954016547184,2.51148,0.0006,1.0
2022-11-30 16:00:00,100993.45640936628,294.7609496609752,38.8962778758039,2.51317,0.00054,1.0
2022-11-30 17:00:00,100949.85778825173,296.6701119542986,37.36605563007493,2.50148,0.00066,1.0
2022-11-30 18:00:00,100853.51021813438,296.31214402430044,36.192151412838506,2.49228,0.00061,1.0
2022-11-30 19:00:00,100802.73486926434,295.7505613084318,36.99127725173732,2.49643,0.00055,1.0
2022-11-30 20:00:00,100798.60825080494,295.8720733580642,33.72640876534347,2.47605,0.00056,1.0
2022-11-30 21:00:00,100838.79792623564,295.13862224767047,29.29571408663757,2.44989,0.00071,1.0
2022-11-30 22:00:00,100890.11152968733,293.46263172526335,27.61362393356533,2.4414,0.00058,1.0
2022-11-30 23:00:00,101019.11321109213,293.3006156590868,30.913376890697144,2.46495,0.00057,1.0
2022-12-01 00:00:00,101044.77001281797,292.67991897312675,34.106845860973536,2.4858,0.00106,1.0
2022-12-01 01:00:00,101123.89343632216,292.209196618695,32.026826122756496,2.47485,0.00049,1.0
2022-12-01 02:00:00,101147.93547430303,292.01215005172355,29.432750786172168,2.45927,0.00048,1.0
2022-12-01 03:00:00,101188.4839861215,289.58957198112455,26.288765444735372,2.44162,0.00056,1.0
2022-12-01 04:00:00,101255.22755424748,288.99076935816134,26.44765559770683,2.4444,0.00046,1.0
2022-12-01 05:00:00,101245.89780816536,288.30548518636067,22.045119758847484,2.41668,0.00053,1.0
2022-12-01 06:00:00,101228.49424335832,287.78659589333586,21.111414122656672,2.41058,0.00055,1.0
2022-12-01 07:00:00,101223.29111573558,287.3727981026958,21.66716919351295,2.41414,0.00049,1.0
2022-12-01 08:00:00,101272.9899554423,286.9491479837072,21.383344598093064,2.41362,0.00045,1.0
2022-12-01 09:00:00,101328.96843193506,286.46747859777696,20.8950465573381,2.41196,0.00047,1.0
2022-12-01 10:00:00,101500.49222529108,288.5134787848305,21.790950462907283,2.42072,0.00047,1.0
2022-12-01 11:00:00,101492.05957017839,289.21299409757916,20.98810196722527,2.4152,0.00049,1.0
2022-12-01 12:00:00,101570.64473910091,289.9683392709697,19.805671601886413,2.40925,0.00046,1.0
2022-12-01 13:00:00,101549.83222861002,291.0061178570193,19.85132586852616,2.40871,0.00044,1.0
2022-12-01 14:00:00,101544.6291009873,292.554028110895,20.83558538980343,2.41421,0.00054,1.0
2022-12-01 15:00:00,101492.41840656617,296.390962651089,20.401593524177567,2.40899,0.00056,1.0
2022-12-01 16:00:00,101489.72713365786,296.5967668432592,19.13121976886729,2.40101,0.00049,1.0
2022-12-01 17:00:00,101489.1888790762,297.4944234261291,19.50451621668927,2.4030099999999996,0.00053,1.0
2022-12-01 18:00:00,101386.5616721728,298.14796120658445,18.207700055524946,2.39251,0.00045,1.0
2022-12-01 19:00:00,101339.5541053744,298.6953127815051,17.62713780771265,2.38772,0.00048,1.0
2022-12-01 20:00:00,101290.21410205546,298.9470945059686,18.4992228626997,2.39189,0.00047,1.0
2022-12-01 21:00:00,101274.4253009934,298.71501743820227,17.17469246127165,2.38347,0.00061,1.0
2022-12-01 22:00:00,101294.34072051485,297.0280798842967,16.919855079508803,2.38283,0.0005,1.0
2022-12-01 23:00:00,101345.29548757878,295.0280572295365,16.38349487644637,2.38122,0.00049,1.0
2022-12-02 00:00:00,101399.1209457449,293.3148468000348,17.092509252497543,2.38733,0.00085,1.0
2022-12-02 01:00:00,101495.82735225002,292.83755622670395,18.36843112383145,2.39761,0.00043,1.0
2022-12-02 02:00:00,101545.52619195673,292.2518900415388,17.10598448058012,2.39102,0.00042,1.0
2022-12-02 03:00:00,101563.46801134544,288.78168105654163,17.882467258827713,2.39736,0.00048,1.0
2022-12-02 04:00:00,101589.30423126517,288.2737387950152,18.413767184346607,2.40146,0.00044,1.0
2022-12-02 05:00:00,101565.44161147819,288.11719624458794,16.961620908964004,2.39179,0.00052,1.0
2022-12-02 06:00:00,101542.83491904843,286.9655685309548,16.473399080376307,2.38853,0.00043,1.0
2022-12-02 07:00:00,101535.83760948683,286.5999376789078,14.236145997838477,2.37427,0.00044,1.0
2022-12-02 08:00:00,101527.04611798636,285.84678191181695,13.142064170150565,2.3673,0.00043,1.0
2022-12-02 09:00:00,101538.34946420125,285.36401782273686,11.673819861719908,2.35831,0.00052,1.0
2022-12-02 10:00:00,101576.02728491752,289.9026570819792,12.484415772712067,2.36332,0.00038,1.0
2022-12-02 11:00:00,101594.86619527567,291.6092992925819,12.924605401955814,2.36613,0.00041,1.0
2022-12-02 12:00:00,101600.60757748006,293.3761501764259,14.274592263005443,2.37428,0.00043,1.0
2022-12-02 13:00:00,101534.04342754796,294.9963108381911,12.597341625315966,2.36198,0.0004,1.0
