,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-11-27 00:00:00,101583.74226725467,290.91963630818185,31.312903647544626,2.35394,0.00155,1.0
2022-11-27 01:00:00,101644.56503498238,290.5058385175418,30.881979174424334,2.35275,0.00124,1.0
2022-11-27 02:00:00,101641.69434388018,290.00665388121416,31.090502342381708,2.35427,0.00097,1.0
2022-11-27 03:00:00,101663.94219992218,290.07124136705477,30.669624930063474,2.35206,0.00086,1.0
2022-11-27 04:00:00,101628.05856114478,289.6683906079132,30.325978359325813,2.34935,0.00099,1.0
2022-11-27 05:00:00,101565.2621932843,288.69410480455434,29.232409778483852,2.34163,0.00102,1.0
2022-11-27 06:00:00,101475.91193272856,288.2277612627219,29.10702512380432,2.33918,0.00081,1.0
2022-11-27 07:00:00,101445.23142157387,287.9934947886559,28.28371160651845,2.33344,0.00082,1.0
2022-11-27 08:00:00,101357.85476115087,288.10405980678985,28.339204304679225,2.33188,0.00094,1.0
2022-11-27 09:00:00,101414.19207403141,288.17521551152953,27.96743789823298,2.3306899999999997,0.00072,1.0
2022-11-27 10:00:00,101404.32407336762,288.76307110299433,26.747677216422804,2.32249,0.00079,1.0
2022-11-27 11:00:00,101515.38393538371,289.59176138742424,27.27328102442952,2.32777,0.0009,1.0
2022-11-27 12:00:00,101569.74764813148,291.5567535413895,28.0585448526262,2.33291,0.00097,1.0
2022-11-27 13:00:00,101516.46044454703,292.97548882358393,28.332384559149883,2.3328,0.00089,1.0
2022-11-27 14:00:00,101503.72175278104,293.76695920091925,28.864828415103805,2.33546,0.00091,1.0
2022-11-27 15:00:00,101453.66407668656,295.13533813822096,27.5552156505162,2.3256,0.00094,1.0
2022-11-27 16:00:00,101389.07352688722,296.0362788305404,30.012076352117617,2.33901,0.00093,1.0
2022-11-27 17:00:00,101312.82079448523,297.2065164977208,29.091361736197044,2.33112,0.0009,1.0
2022-11-27 18:00:00,101335.06865052722,297.2864298276593,26.34863211937039,2.31464,0.00092,1.0
2022-11-27 19:00:00,101296.85257522928,297.06858390084085,29.903595329856376,2.33586,0.00125,1.0
2022-11-27 20:00:00,101271.01635530955,295.6202916336007,30.369812422240674,2.33893,0.00265,1.0
2022-11-27 21:00:00,101328.4301773534,295.0466671830838,31.701930915265635,2.34871,0.00161,1.0
2022-11-27 22:00:00,101410.42429195979,293.3597296291783,30.25255046798535,2.34233,0.00124,1.0
2022-11-27 23:00:00,101490.26538823952,291.86983864224413,32.67436058220898,2.35996,0.00104,1.0
2022-11-28 00:00:00,101651.3829263501,290.5540054561348,31.923263313819014,2.35941,0.00201,1.0
2022-11-28 01:00:00,101716.15289434331,290.09204072690176,33.23443973806234,2.36929,0.00148,1.0
