,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-12-04 00:00:00,101298.60841484444,295.3433194419716,24.64046199795409,2.2856,0.00143,1.0
2022-12-04 01:00:00,101359.25349060778,295.16002445111224,20.681845268519144,2.2624,0.00074,1.0
2022-12-04 02:00:00,101443.19904284865,294.69429378251357,25.52185406360418,2.29439,0.0007,1.0
2022-12-04 03:00:00,101472.24484229319,294.5213739798161,26.61517602168147,2.30187,0.0008,1.0
2022-12-04 04:00:00,101453.253358041,294.3911077284506,24.1231977322721,2.28604,0.00078,1.0
2022-12-04 05:00:00,101430.91043539133,294.06486570069467,34.043470934779776,2.34742,0.00078,1.0
2022-12-04 06:00:00,101376.48945950894,293.86427872956557,29.47759883636476,2.31797,0.00066,1.0
2022-12-04 07:00:00,101338.18730639525,294.17322877705175,28.630580365094502,2.31174,0.00059,1.0
2022-12-04 08:00:00,101278.81896906902,293.6325661939509,26.8990994126357,2.29997,0.00057,1.0
2022-12-04 09:00:00,101290.62879961242,293.02043009240174,26.514245583445316,2.2981,0.00053,1.0
2022-12-04 10:00:00,101242.75110822028,292.6815072791146,32.92960176193394,2.33731,0.00055,1.0
2022-12-04 11:00:00,101306.7476223811,292.67113209095277,38.75602365943173,2.37505,0.00062,1.0
2022-12-04 12:00:00,101372.02087497902,292.7944815502103,33.06611619726788,2.34082,0.00056,1.0
2022-12-04 13:00:00,101428.67614312636,293.3409081267344,30.542302748594253,2.32597,0.00053,1.0
2022-12-04 14:00:00,101474.6387268628,296.1986960659819,31.937245809499753,2.33408,0.00056,1.0
2022-12-04 15:00:00,101520.4417182946,296.6748019227424,31.8711933371561,2.33438,0.0006,1.0
2022-12-04 16:00:00,101431.22962000061,298.1630650246256,38.7460148037724,2.374,0.00057,1.0
2022-12-04 17:00:00,101354.9444983825,299.05302560917545,40.04476739405862,2.37979,0.00064,1.0
2022-12-04 18:00:00,101269.56261539987,299.05878960259867,33.30726727152246,2.33664,0.00063,1.0
2022-12-04 19:00:00,101140.45244094578,299.1417911078935,32.364315350336796,2.32809,0.0007,1.0
2022-12-04 20:00:00,101082.68002666596,298.9596489157188,36.933424583764264,2.35502,0.00074,1.0
2022-12-04 21:00:00,101049.00605038683,298.4662510786886,37.2954911302656,2.35684,0.00061,1.0
2022-12-04 22:00:00,101089.38290346085,296.97337678206674,30.493347493382704,2.31664,0.00056,1.0
2022-12-04 23:00:00,101151.62390227061,295.93009397245845,34.01271652419129,2.34027,0.00059,1.0
2022-12-05 00:00:00,101199.98037057665,295.54275361441603,32.18072299195965,2.33016,0.00095,1.0
2022-12-05 01:00:00,101299.88515328155,294.90525594180457,30.388883269831215,2.32149,0.00072,1.0
2022-12-05 02:00:00,101346.6456985412,294.08215768096443,32.22127099687117,2.3343,0.00068,1.0
2022-12-05 03:00:00,101414.95120492729,293.8515979440344,30.292685135555356,2.32386,0.00073,1.0
2022-12-05 04:00:00,101418.46223562938,294.17092317968246,36.40604157001544,2.36179,0.00072,1.0
2022-12-05 05:00:00,101359.25349060778,294.01183696120074,33.5304443040841,2.3427500000000006,0.00073,1.0
2022-12-05 06:00:00,101318.39786061984,293.78127722427075,32.79771896295074,2.33746,0.00071,1.0
2022-12-05 07:00:00,101251.36909267087,293.7524572571545,33.535706119346465,2.34066,0.00058,1.0
2022-12-05 08:00:00,101174.44560183419,293.79280521111724,29.55276770094407,2.31422,0.00058,1.0
2022-12-05 09:00:00,101150.18757152885,292.9120670160446,25.693475462976775,2.29007,0.00054,1.0
2022-12-05 10:00:00,101102.9482493553,293.2475314332778,23.203212533005644,2.2734,0.00056,1.0
2022-12-05 11:00:00,101157.68840984695,292.9754709437004,23.847298086788367,2.27868,0.00051,1.0
2022-12-05 12:00:00,101257.59319255184,292.8025511410029,25.403571578529142,2.29057,0.00046,1.0
2022-12-05 13:00:00,101341.21956018342,293.0480972608333,27.35215660941575,2.30438,0.00049,1.0
2022-12-05 14:00:00,101391.17195153587,294.5490411482477,27.522883326741166,2.30579,0.00053,1.0
2022-12-05 15:00:00,101424.36715090107,296.12837534621826,30.126839285975787,2.32186,0.00062,1.0
2022-12-05 16:00:00,101372.3400595883,297.2742572387604,30.856002557137703,2.32468,0.00057,1.0
2022-12-05 17:00:00,101303.87496089756,298.40169435234816,29.81071348891382,2.31623,0.00065,1.0
2022-12-05 18:00:00,101211.31142420613,298.95849611703414,26.382534735819473,2.29296,0.00066,1.0
2022-12-05 19:00:00,101121.62054899821,298.80978508671427,26.62404765479219,2.29262,0.00064,1.0
2022-12-05 20:00:00,101052.51708108891,298.17574581015674,27.889304253278592,2.29923,0.00067,1.0
2022-12-05 21:00:00,101015.49166641234,297.73422391393575,29.28782228493421,2.30727,0.0006,1.0
2022-12-05 22:00:00,101018.5239202005,297.59819366914707,28.664499156411804,2.30356,0.00055,1.0
2022-12-05 23:00:00,101065.44405776479,296.0592074251393,25.577526212944466,2.28619,0.00055,1.0
2022-12-06 00:00:00,101175.72234027131,295.3721394090878,27.33114327944625,2.29968,0.00083,1.0
2022-12-06 01:00:00,101252.64583110799,294.712738561468,22.558985627059723,2.27197,0.00071,1.0
2022-12-06 02:00:00,101369.78658271405,293.7501516597852,24.59106727943819,2.28746,0.00069,1.0
2022-12-06 03:00:00,101389.09725157554,293.31208815961816,24.20429344435278,2.28564,0.00066,1.0
2022-12-06 04:00:00,101391.6507284498,293.41584004123666,22.5579252337106,2.27539,0.00065,1.0
2022-12-06 05:00:00,101370.58454423725,293.21179467405364,23.961843098516972,2.28378,0.0006,1.0
2022-12-06 06:00:00,101326.05829124257,293.0434860660947,28.23487979751026,2.30957,0.00056,1.0
2022-12-06 07:00:00,101274.0311999298,292.87402465945115,26.242317040630592,2.29612,0.0005,1.0
2022-12-06 08:00:00,101251.68827728015,292.8117735304801,26.606315087385642,2.29795,0.00051,1.0
2022-12-06 09:00:00,101230.30290845834,292.8636494712893,28.012001198476632,2.30625,0.00051,1.0
2022-12-06 10:00:00,101208.11957811331,292.80485673837217,30.09099013004013,2.31879,0.00055,1.0
2022-12-06 11:00:00,101292.70349957273,293.18182190825274,33.013228502562576,2.3386,0.00048,1.0
2022-12-06 12:00:00,101343.29426014374,293.0769172279496,30.787455968250995,2.32584,0.00049,1.0
2022-12-06 13:00:00,101434.58105839806,293.7489988611005,27.24986006903211,2.30538,0.00046,1.0
2022-12-06 14:00:00,101475.436688386,296.0142482764379,26.861957801915626,2.30279,0.0005,1.0
2022-12-06 15:00:00,101532.73032575191,296.43847819238914,29.024426056297322,2.31717,0.00053,1.0
2022-12-06 16:00:00,101482.77793439946,297.18088054530375,28.68630354053828,2.31367,0.00057,1.0
2022-12-06 17:00:00,101434.10228148414,298.33483202863846,30.844164973623435,2.32536,0.00061,1.0
2022-12-06 18:00:00,101331.644021905,298.76943713275153,28.773241522224676,2.31026,0.00057,1.0
2022-12-06 19:00:00,101253.76297724048,299.2005838408106,30.275518600256177,2.31763,0.00055,1.0
2022-12-06 20:00:00,101190.56442460287,298.1561482325177,31.142549370798964,2.32216,0.00062,1.0
2022-12-06 21:00:00,101199.98037057665,297.57398489676945,34.39944589032158,2.34273,0.00058,1.0
2022-12-06 22:00:00,101226.15350853768,295.92087158298125,34.28502131513312,2.34353,0.00053,1.0
2022-12-06 23:00:00,101258.86993098896,295.246484352461,35.562128532717715,2.35253,0.00056,1.0
2022-12-07 00:00:00,101358.29593677995,294.77037849570047,28.420898998238094,2.31057,0.00092,1.0
2022-12-07 01:00:00,101392.12950536371,294.5859307061565,30.820707457497736,2.32628,0.0008,1.0
2022-12-07 02:00:00,101491.71510345933,294.08215768096443,31.664369310841575,2.33389,0.00088,1.0
2022-12-07 03:00:00,101541.02912559321,294.22279912049174,31.03363023014441,2.33093,0.00083,1.0
2022-12-07 04:00:00,101548.05118699739,294.16746478362853,31.17718500463139,2.332,0.00075,1.0
2022-12-07 05:00:00,101527.9425566127,293.99339218224634,30.78355624678383,2.32922,0.0007,1.0
2022-12-07 06:00:00,101488.52325736651,293.8930986966818,29.427095097445726,2.32,0.00061,1.0
2022-12-07 07:00:00,101462.66930401477,293.8262363729721,27.2281128001262,2.3058,0.00051,1.0
2022-12-07 08:00:00,101439.04964292799,293.9438218388064,26.837975553910777,2.30282,0.00049,1.0
2022-12-07 09:00:00,101415.42998184121,292.6284785396207,26.95350035363579,2.30365,0.00053,1.0
2022-12-07 10:00:00,101400.42830520502,292.52126826194825,26.696777844071487,2.30178,0.00057,1.0
2022-12-07 11:00:00,101450.69988116674,292.327598082927,28.058533023068673,2.31144,0.00052,1.0
2022-12-07 12:00:00,101551.56221769948,292.37486282899766,35.34615168254824,2.35909,0.00057,1.0
2022-12-07 13:00:00,101627.36856240367,293.12648757138953,39.18614901484838,2.38418,0.00054,1.0
2022-12-07 14:00:00,101670.1393000473,295.7214374105368,35.75218409413367,2.36208,0.00058,1.0
2022-12-07 15:00:00,101707.96267624709,296.81890175832365,37.759760840777986,2.37461,0.00062,1.0
2022-12-07 16:00:00,101680.51279984893,297.4840665993667,40.45468928715735,2.39022,0.00063,1.0
2022-12-07 17:00:00,101619.5485394763,298.3106232562608,38.18017991323014,2.37439,0.00066,1.0
2022-12-07 18:00:00,101481.82038057162,298.968871305196,35.755909888734415,2.35619,0.0006,1.0
