,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-12-04 04:00:00,101661.20213098744,288.6259615065157,19.14797022411266,2.15829,0.00187,1.0
2022-12-04 05:00:00,101629.60285466864,288.5959887407148,15.14124797267707,2.13236,0.00546,1.0
2022-12-04 06:00:00,101565.76593281247,288.37810978931594,18.07026042926055,2.14965,0.00297,1.0
2022-12-04 09:00:00,101477.03261143241,287.5988178784925,19.156400361484668,2.155,0.00076,1.0
2022-12-04 10:00:00,101436.17698144447,287.4005365047327,21.54883843803902,2.16941,0.00064,1.0
2022-12-04 11:00:00,101504.64208013519,287.1907271441264,26.453093978463876,2.20196,0.00073,1.0
2022-12-04 12:00:00,101559.06305601758,287.54463634031396,23.8839765723446,2.18661,0.00106,1.0
2022-12-04 13:00:00,101616.67587799276,288.8334652697527,29.463746012993973,2.22244,0.00063,1.0
2022-12-04 14:00:00,101662.15968481528,292.2492077723708,32.59572312690571,2.24118,0.00062,1.0
2022-12-04 15:00:00,101677.79973067004,292.9950685213394,29.3335130219138,2.22072,0.00062,1.0
2022-12-04 16:00:00,101594.49254764775,293.84122275587254,28.66124915727134,2.21444,0.00065,1.0
2022-12-04 17:00:00,101512.62169536723,294.1605479915206,29.207455586258277,2.21604,0.00078,1.0
2022-12-04 18:00:00,101447.02925816001,294.1017552586035,33.3911803786956,2.24078,0.0007,1.0
2022-12-04 19:00:00,101335.633829521,294.09138007044163,32.14800708229472,2.23082,0.00077,1.0
2022-12-04 20:00:00,101274.19079223444,293.4850079623157,31.23449599602874,2.22423,0.00102,1.0
2022-12-04 21:00:00,101259.82748481681,292.9754709437004,29.709572787636475,2.2147,0.0007,1.0
2022-12-04 22:00:00,101274.19079223444,292.7114800449155,28.53688256371345,2.2078,0.0008,1.0
2022-12-04 23:00:00,101360.37063674026,291.2843152733187,27.643445059853,2.20463,0.00078,1.0
2022-12-05 00:00:00,101428.51655082172,290.5107873559185,24.93314391717114,2.18934,0.00543,1.0
2022-12-05 01:00:00,101536.72013336793,289.5124636950116,23.443689839039806,2.18256,0.0008,1.0
2022-12-05 02:00:00,101584.91700936932,288.73432458287283,23.898836158152136,2.18672,0.00069,1.0
2022-12-05 03:00:00,101635.50776994033,288.5256680209512,30.081551365708847,2.22688,0.00076,1.0
2022-12-05 04:00:00,101624.65549322478,289.0559554158902,31.95825351870857,2.23822,0.00077,1.0
2022-12-05 05:00:00,101563.21245593824,288.90493878820104,28.089640269305388,2.21266,0.00157,1.0
2022-12-05 06:00:00,101519.16497985748,288.61904471440783,31.64133155437712,2.23435,0.00195,1.0
2022-12-05 07:00:00,101448.14640429249,288.2109539800417,24.07445816109681,2.18531,0.00085,1.0
2022-12-05 08:00:00,101356.22123681962,288.2570659274277,25.526805060220692,2.19263,0.00081,1.0
2022-12-05 09:00:00,101334.0379064746,287.4846908087122,24.509677209431707,2.18609,0.00057,1.0
2022-12-05 10:00:00,101310.25865308318,287.91583751677126,26.152143029606535,2.19582,0.00076,1.0
2022-12-05 11:00:00,101333.39953725605,287.7613624930282,26.966372602893404,2.20151,0.00082,1.0
2022-12-05 12:00:00,101419.89856637114,287.84551679700763,24.89928174725206,2.19012,0.00051,1.0
2022-12-05 13:00:00,101511.18536462546,289.08477538300644,22.282495619926816,2.1749,0.00051,1.0
2022-12-05 14:00:00,101564.01041746142,291.2070777614472,23.682289441917895,2.18391,0.00057,1.0
2022-12-05 15:00:00,101562.57408671967,292.8428990949656,21.580176291538265,2.17009,0.00064,1.0
2022-12-05 16:00:00,101527.62337200342,293.6244966031583,23.17599701066828,2.17904,0.0006,1.0
2022-12-05 17:00:00,101449.42314272962,294.64241784170434,24.558962816353226,2.18566,0.00065,1.0
2022-12-05 18:00:00,101350.47591385257,295.1404268734732,23.653089599926915,2.17785,0.00067,1.0
2022-12-05 19:00:00,101256.79523102865,295.25340114456884,23.079436124477677,2.17237,0.00065,1.0
2022-12-05 20:00:00,101209.39631655044,295.3536946301334,21.992078981980256,2.16464,0.00071,1.0
2022-12-05 21:00:00,101192.6391245632,294.63319545222714,23.041179828292197,2.17109,0.00238,1.0
2022-12-05 22:00:00,101221.0465547892,292.723008031762,20.294174732891467,2.15526,0.00156,1.0
2022-12-06 05:00:00,101562.41449441503,287.66337460483294,15.151834005772711,2.13133,0.00071,1.0
2022-12-06 06:00:00,101505.91881857232,287.68412498115663,17.558228571550245,2.14543,0.00068,1.0
2022-12-06 07:00:00,101448.30599659713,287.333674181023,18.294297315029954,2.14905,0.00218,1.0
2022-12-06 09:00:00,101406.81199739063,287.20110233228826,19.42483998008083,2.15543,0.00173,1.0
2022-12-06 10:00:00,101381.27722864816,287.0800584704,21.05499781920197,2.1653,0.00062,1.0
2022-12-06 11:00:00,101457.72194257092,287.30485421390676,23.393257189811155,2.18157,0.00056,1.0
2022-12-06 12:00:00,101511.50454923474,287.4454956534341,25.44339058366714,2.19558,0.00124,1.0
2022-12-06 13:00:00,101601.99338596585,289.2634591791272,23.251677406024136,2.18276,0.00062,1.0
2022-12-06 14:00:00,101653.38210806006,292.37140443294373,21.512160135065063,2.17166,0.00078,1.0
2022-12-06 15:00:00,101685.46016129278,292.9812349371236,22.533513574256336,2.17845,0.00065,1.0
2022-12-06 16:00:00,101632.47551615216,293.57377346103374,23.60757366604138,2.18385,0.00063,1.0
2022-12-06 17:00:00,101571.51125577954,294.58131951141786,24.088566798874844,2.18521,0.0006,1.0
2022-12-06 18:00:00,101474.95791147208,294.8003512615014,24.569317922390653,2.18617,0.00061,1.0
2022-12-06 19:00:00,101414.63202031801,294.83839361809487,26.989553377169713,2.19997,0.00056,1.0
2022-12-06 20:00:00,101338.98526791846,294.1836039652136,27.22669485715384,2.20023,0.00065,1.0
2022-12-06 21:00:00,101330.68646807715,293.58991264261886,28.005248194453074,2.20519,0.00077,1.0
2022-12-06 22:00:00,101377.1278287275,291.84457543405864,27.885085258568772,2.20621,0.00057,1.0
2022-12-06 23:00:00,101454.37050417346,291.14252103510677,27.107394105262873,2.20322,0.00065,1.0
2022-12-07 00:00:00,101570.71329425633,290.2467964571337,22.69611431377989,2.17824,0.0058,1.0
2022-12-07 01:00:00,101599.59950139624,289.8283305346057,22.442735745980546,2.17739,0.0008,1.0
2022-12-07 02:00:00,101698.70632257794,289.231180815957,23.043686276381987,2.1834,0.00098,1.0
2022-12-07 03:00:00,101747.86075240718,289.38911423575405,21.93117374114936,2.17731,0.00102,1.0
2022-12-07 04:00:00,101755.52118302992,289.2911263475588,26.651887751595527,2.20726,0.00097,1.0
2022-12-07 05:00:00,101723.76231440649,289.1378041225003,28.19864490838012,2.21645,0.00142,1.0
2022-12-07 06:00:00,101670.1393000473,288.85997963949967,28.000104228795816,2.21426,0.00101,1.0
2022-12-07 07:00:00,101644.76412360948,288.927994761894,25.206560006653504,2.19609,0.00058,1.0
2022-12-07 08:00:00,101628.96448545008,288.7873533223667,21.47667594518584,2.17229,0.00053,1.0
2022-12-07 09:00:00,101605.50441666794,287.6184154561316,21.27249247674712,2.17097,0.00058,1.0
2022-12-07 10:00:00,101594.33295534311,287.69680576668776,22.849159432509154,2.1807,0.00103,1.0
2022-12-07 11:00:00,101633.91184689393,287.3544245573467,23.273285518152996,2.18432,0.00079,1.0
2022-12-07 13:00:00,101813.61278191903,288.6570870710013,29.513114610292995,2.22679,0.00225,1.0
2022-12-07 14:00:00,101839.46673527078,291.056061133758,31.85017338272966,2.24073,0.00099,1.0
2022-12-07 15:00:00,101856.22392725802,292.22269340262386,31.47077970393918,2.23805,0.00078,1.0
2022-12-07 16:00:00,101831.96589695268,293.33975532804976,31.110011420631146,2.23471,0.00085,1.0
2022-12-07 17:00:00,101761.26650599697,293.96572501381473,28.76550241993204,2.21837,0.00072,1.0
2022-12-07 18:00:00,101638.69961603315,294.4429836692599,30.4631873409751,2.22623,0.00067,1.0
2022-12-07 19:00:00,101578.852501793,293.8838763072046,28.832247830249358,2.21517,0.00086,1.0
2022-12-07 20:00:00,101502.88656478416,293.5357311044403,28.85160021892881,2.21394,0.00164,1.0
2022-12-07 21:00:00,101480.86282674377,293.2648234135475,27.096535717183578,2.20269,0.00068,1.0
2022-12-07 22:00:00,101496.18368798925,292.0486208012417,21.8671059533449,2.17085,0.00078,1.0
2022-12-07 23:00:00,101574.38391726305,291.3269688246508,18.481777271677355,2.15147,0.00098,1.0
2022-12-08 00:00:00,101660.72335407352,290.5857192704208,23.28999140944029,2.18364,0.00135,1.0
2022-12-08 01:00:00,101749.77586006287,289.9482215978093,25.98789576399556,2.20266,0.00087,1.0
2022-12-08 02:00:00,101819.3581048861,289.1112897527534,27.198342157698814,2.21207,0.0015,1.0
2022-12-08 09:00:00,101534.32624879832,288.7642973486737,26.985495097669126,2.20518,0.00168,1.0
2022-12-08 10:00:00,101473.68117303496,287.97924144442703,22.770471091262795,2.17767,0.00369,1.0
2022-12-08 19:00:00,101354.30612916393,294.3034950284172,34.50475406813517,2.24573,0.00078,1.0
2022-12-08 20:00:00,101284.88347664535,293.3420609254191,30.932767393058068,2.22264,0.00083,1.0
2022-12-08 21:00:00,101278.3401921551,293.4723271767845,30.321379790533868,2.21863,0.00996,1.0
2022-12-08 22:00:00,101277.06345371797,291.95178571173113,29.781531251206243,2.21602,0.0011,1.0
