,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-12-04 01:00:00,102251.21488124304,273.34907333753324,9.80715361848902,1.541,0.0091,1.0
2022-12-04 02:00:00,102341.70371797415,272.9790249597606,9.856152472127043,1.5427,0.0085,1.0
2022-12-04 03:00:00,102426.76641634748,271.60143053160374,9.435210336524129,1.5414,0.008,1.0
2022-12-04 04:00:00,102467.94123094472,270.9397240866146,8.228611493601074,1.5341,0.0094,1.0
2022-12-04 05:00:00,102414.79699349946,269.986359574409,7.720326990318866,1.5301,0.0067,1.0
2022-12-04 06:00:00,102354.94987925931,269.27277718861063,6.8149839404334775,1.5232999999999999,0.0068,1.0
2022-12-04 07:00:00,102255.68346577296,268.4266229540775,6.145510433706779,1.5175,0.0079,1.0
2022-12-04 08:00:00,102128.00962206064,268.4058725777538,5.01617165334315,1.5081,0.0076,1.0
2022-12-04 09:00:00,102120.03000682862,268.77130976078786,4.724752905750817,1.506,0.0072,1.0
2022-12-04 10:00:00,102089.22869203302,267.29918584048977,4.070517349877659,1.5013,0.0087,1.0
2022-12-04 11:00:00,102064.49188481376,268.65833548969215,4.3347217622331735,1.5026,0.0082,1.0
2022-12-04 12:00:00,102154.98072154487,273.07124885453254,3.981391179112219,1.5012,0.0077,1.0
2022-12-04 13:00:00,101986.4512478446,276.85473413755403,4.1989126136557084,1.4998999999999998,0.009,1.0
2022-12-04 14:00:00,101866.43783475501,280.04452809798073,4.520826024504317,1.5,0.0074,1.0
2022-12-04 15:00:00,101748.17993701647,281.1581316273527,5.621648968069454,1.5053,0.0072,1.0
2022-12-04 16:00:00,101609.65381658859,282.197956040907,6.586862525487624,1.5094,0.0097,1.0
2022-12-04 17:00:00,101504.80167243983,283.19512690312934,7.97995856089342,1.5167,0.0078,1.0
2022-12-04 18:00:00,101517.72864911571,282.570310016049,8.35706761076522,1.5194,0.0076,1.0
2022-12-04 19:00:00,101488.20407275723,282.1795112619526,9.689102593352889,1.5276,0.0081,1.0
2022-12-04 20:00:00,101392.12950536371,282.31899990279527,11.713123517020652,1.5392,0.0074,1.0
2022-12-04 21:00:00,101434.26187378878,280.72006812718564,12.014770123953504,1.5421,0.0075,1.0
2022-12-04 22:00:00,101428.99532773564,279.40703042536927,14.789096942281452,1.5603,0.0093,1.0
2022-12-04 23:00:00,101626.73019318511,277.65477642470114,14.000348843552219,1.5585,0.0099,1.0
2022-12-05 01:00:00,101961.87403292998,275.40912458700285,12.744875807878095,1.5557,0.0096,1.0
2022-12-05 02:00:00,102030.17953931607,274.92033794471126,12.652772091945574,1.5562,0.0087,1.0
2022-12-05 03:00:00,102083.64296137061,274.3635361800253,12.195680662742927,1.5541000000000003,0.0085,1.0
2022-12-05 04:00:00,102084.91969980772,273.7421776889989,11.457563987793923,1.5494,0.01,1.0
2022-12-05 05:00:00,102009.11335510353,273.1761535348357,11.68024472111465,1.5499,0.0072,1.0
2022-12-05 06:00:00,101951.97931004227,272.6170461727804,11.150651951530687,1.5457,0.0075,1.0
2022-12-05 07:00:00,101913.3579723193,271.9046165856667,11.438012756282145,1.5472,0.0084,1.0
2022-12-05 08:00:00,101930.91312582974,271.6187225118735,10.711506126446075,1.5427,0.0078,1.0
2022-12-05 09:00:00,102030.49872392535,271.24867413410084,10.588721839168905,1.5434,0.0074,1.0
2022-12-05 10:00:00,102181.9518210291,271.93689494883694,10.219629473359747,1.543,0.0091,1.0
2022-12-05 11:00:00,102227.11644324234,271.8527406448575,10.662022583422306,1.5466,0.0086,1.0
2022-12-05 12:00:00,102314.57302618529,273.30296139014723,10.63721094937675,1.5474,0.0082,1.0
2022-12-05 13:00:00,102209.40169742725,275.3468734580318,11.099890089693645,1.5485,0.0094,1.0
2022-12-05 14:00:00,102068.80087703904,277.3008672285136,11.995395693872076,1.5519,0.0078,1.0
2022-12-05 15:00:00,101953.57523308868,278.26691252625034,12.330738836524656,1.5522,0.0078,1.0
2022-12-05 16:00:00,101816.6450357072,279.7263556610173,12.378926560760709,1.5502,0.01,1.0
2022-12-05 17:00:00,101691.36507656449,280.97022544175474,11.58760310893988,1.543,0.0084,1.0
2022-12-05 18:00:00,101582.04434788579,282.4458077581068,12.31768244708801,1.5458,0.008,1.0
2022-12-05 19:00:00,101479.74568061129,281.98007708950814,12.934964943341022,1.5484,0.0088,1.0
2022-12-05 20:00:00,101525.86785665237,281.9362707394915,12.705575172004098,1.5476,0.0081,1.0
2022-12-05 21:00:00,101518.36701833428,280.4330212547078,13.766507493293863,1.5547,0.0084,1.0
2022-12-05 22:00:00,101622.10201635055,278.23463416308016,14.479872855697968,1.5614,0.0096,1.0
2022-12-05 23:00:00,101804.99479746845,276.6195632058854,13.97791410353198,1.5612,0.01,1.0
2022-12-06 01:00:00,102009.91131662673,274.65519424724175,14.42223154695433,1.5676,0.0085,1.0
2022-12-06 02:00:00,102120.3491914379,274.36584177739456,14.076458317423814,1.567,0.0079,1.0
2022-12-06 03:00:00,102220.57315875209,273.64418980080364,13.67565014583504,1.566,0.0077,1.0
2022-12-06 04:00:00,102251.0552889384,273.5369795231312,13.270952181849273,1.5638,0.0094,1.0
2022-12-06 05:00:00,102235.89401999756,272.2343170094766,13.05718745899944,1.5625,0.0065,1.0
2022-12-06 06:00:00,102219.13682801032,272.71618685966035,12.476726400238686,1.5583,0.0068,1.0
2022-12-06 07:00:00,102242.11811987853,272.4095424095434,12.052571538098515,1.5559,0.0076,1.0
2022-12-06 08:00:00,102252.97039659409,271.722474393492,12.427129111675267,1.5587,0.0069,1.0
2022-12-06 09:00:00,102315.69017231776,271.67751524479064,12.575501202943828,1.5606,0.0066,1.0
2022-12-06 10:00:00,102418.78680111546,271.8262262751105,12.114888975156985,1.559,0.0083,1.0
2022-12-06 11:00:00,102468.89878477255,271.91038057909,11.555811381937431,1.556,0.0078,1.0
2022-12-06 12:00:00,102437.29950845375,273.40671327176574,11.569522554937265,1.5553,0.0074,1.0
2022-12-06 13:00:00,102306.7530032579,275.87600805428616,12.597307205089502,1.5596,0.0088,1.0
2022-12-06 14:00:00,102173.01465196924,278.60814093690675,13.178846807233565,1.5608,0.0071,1.0
2022-12-06 15:00:00,102029.22198548823,279.8070515689428,13.65297167070433,1.5615,0.0074,1.0
2022-12-06 16:00:00,101892.29178810676,281.0474629536263,14.829305993915687,1.5668,0.009,1.0
2022-12-06 17:00:00,101743.87094479117,283.6919831362135,14.885360464441069,1.5643,0.0082,1.0
2022-12-06 18:00:00,101626.41100857583,283.1363341702122,15.235507400113843,1.565,0.0072,1.0
2022-12-06 19:00:00,101618.75057795309,282.55071243840996,15.383089448444014,1.566,0.008,1.0
2022-12-06 20:00:00,101788.55679009049,279.9695961834785,13.887189127638337,1.5595,0.0072,1.0
2022-12-06 21:00:00,101815.68748187936,280.2162951019936,15.150718761366607,1.568,0.0078,1.0
2022-12-06 22:00:00,101884.9505420933,278.2657597275657,16.388571542781516,1.5776,0.0084,1.0
2022-12-06 23:00:00,102005.60232440145,277.08990506922265,17.537333103579883,1.5872,0.0088,1.0
2022-12-07 01:00:00,102302.60360333725,275.2523439658905,16.333427891390322,1.5842,0.0096,1.0
2022-12-07 02:00:00,102376.6544326904,275.21545440798167,15.52859789197229,1.58,0.0083,1.0
2022-12-07 03:00:00,102515.02096081364,274.41771771820385,14.337346151722693,1.5744,0.0081,1.0
2022-12-07 04:00:00,102529.54386053591,274.09378128781714,13.562786526756001,1.5696,0.0091,1.0
2022-12-07 05:00:00,102440.65094685121,272.9225378242127,14.482976471285163,1.5747,0.0066,1.0
2022-12-07 06:00:00,102390.8581478034,272.09482836863396,13.710751144161579,1.5691,0.0073,1.0
2022-12-07 07:00:00,102301.6460495094,272.3392216897798,13.159540250490696,1.5641,0.0079,1.0
2022-12-07 08:00:00,102268.29125783956,271.98877088964616,13.15835933025025,1.5637,0.007,1.0
2022-12-07 09:00:00,102245.62915058063,271.77896152903986,13.591961599147721,1.5663,0.007,1.0
2022-12-07 10:00:00,102293.66643427739,270.48782700223177,14.052568599973782,1.5704000000000002,0.0086,1.0
2022-12-07 11:00:00,102344.57637945768,269.98520677572435,14.416777065668184,1.5737,0.0082,1.0
2022-12-07 12:00:00,102451.3436312621,271.5656937723796,13.784008362318126,1.5705999999999998,0.0079,1.0
2022-12-07 13:00:00,102498.58295343567,273.8920415180034,14.214814099447507,1.5735,0.0085,1.0
2022-12-07 14:00:00,102471.4522616468,274.99642265789817,15.066551832292742,1.5784,0.0073,1.0
2022-12-07 15:00:00,102370.7495174187,276.05123345435294,15.625113872112259,1.5803,0.0075,1.0
2022-12-07 16:00:00,102210.99762047366,276.6991063151263,15.150281641052747,1.5746999999999998,0.0088,1.0
2022-12-07 17:00:00,102090.34583816551,277.94182329717904,15.810221730444642,1.5769,0.0078,1.0
2022-12-07 18:00:00,101986.61084014924,279.1637899029081,16.112122713713983,1.577,0.0072,1.0
2022-12-07 19:00:00,102015.49704728916,278.7533935711727,16.937404639020443,1.5829,0.008,1.0
2022-12-07 20:00:00,101935.86048727359,278.9689669252022,17.34073873121214,1.5843,0.0074,1.0
2022-12-07 21:00:00,101961.39525601605,278.18621661832486,17.521823583790376,1.5861,0.0082,1.0
2022-12-07 22:00:00,102005.44273209681,277.59713649046864,17.333154563519805,1.5857,0.0085,1.0
2022-12-07 23:00:00,102143.96885252469,276.14345734912496,16.633979569442236,1.5836,0.0091,1.0
2022-12-08 01:00:00,102268.61044244884,274.97797787894376,16.7454841384635,1.5864999999999998,0.009,1.0
2022-12-08 02:00:00,102342.34208719271,274.94800511314287,16.581904215314765,1.5865,0.0076,1.0
2022-12-08 03:00:00,102365.80215597486,274.41656491951915,16.27672076133246,1.585,0.0078,1.0
2022-12-08 04:00:00,102343.29964102055,274.1410460338878,15.644517534881798,1.5806,0.0086,1.0
2022-12-08 05:00:00,102304.67830329758,273.48279798495264,15.456466781964082,1.579,0.0064,1.0
2022-12-08 06:00:00,102261.10960413075,273.0816240426944,14.973228204647405,1.5753,0.0073,1.0
2022-12-08 07:00:00,102198.70901301634,272.717339658345,15.169272043325117,1.5758,0.0078,1.0
2022-12-08 08:00:00,102191.0485823936,272.8141747478556,14.796795496462098,1.5732,0.0066,1.0
2022-12-08 09:00:00,102173.01465196924,272.6066709846186,15.250729058635498,1.5760000000000003,0.0069,1.0
2022-12-08 10:00:00,102192.16572852609,273.21534869011384,15.038991066015909,1.5747,0.0082,1.0
2022-12-08 11:00:00,102212.27435891078,273.4286164467741,14.883035595606973,1.5739,0.0082,1.0
2022-12-08 12:00:00,102284.41008060824,275.2996087119611,14.485340517318678,1.5718,0.0083,1.0
2022-12-08 13:00:00,102238.28790456716,276.2967795741834,15.240611614924772,1.5758,0.0085,1.0
2022-12-08 14:00:00,102135.67005268339,278.3164828696903,16.17260642500614,1.5798,0.0072,1.0
2022-12-08 15:00:00,102072.9502769597,280.1863223361927,17.07982401487958,1.5842,0.0077,1.0
2022-12-08 16:00:00,101984.37654788427,280.96446144833146,17.703363183926317,1.5866999999999998,0.0088,1.0
2022-12-08 17:00:00,101756.63832916241,281.14083964708294,18.2685369245584,1.587,0.0082,1.0
2022-12-08 18:00:00,101703.81327632643,283.0660134504485,19.422979794348972,1.593,0.0075,1.0
2022-12-08 19:00:00,101682.10872289534,281.2699530997637,19.434714789468412,1.5934,0.0088,1.0
2022-12-08 20:00:00,101677.32095375612,279.842788328167,18.717618566061834,1.5892,0.008,1.0
2022-12-08 21:00:00,101760.30895216914,278.70267042904806,18.579845675407057,1.5899,0.0084,1.0
2022-12-08 22:00:00,101785.20535169305,279.16840109764667,18.59552754493278,1.5902,0.008,1.0
2022-12-08 23:00:00,101880.80114217264,277.760833903689,18.062890806134984,1.5886,0.0088,1.0
2022-12-09 01:00:00,102034.00975462743,276.79133020989826,18.17903989791385,1.5919,0.0091,1.0
