,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-12-04 00:00:00,101546.9340408649,290.0750294531208,21.952863029398795,2.1382,0.00142,1.0
2022-12-04 01:00:00,101603.7489013169,289.38219744364613,13.880328384322546,2.08871,0.00072,1.0
2022-12-04 02:00:00,101682.90668441854,288.9349115540019,20.680795964427144,2.13329,0.00071,1.0
2022-12-04 03:00:00,101710.19696851204,288.80464530263646,18.489098927398643,2.12004,0.00079,1.0
2022-12-04 04:00:00,101661.20213098744,288.6259615065157,17.472065029906787,2.11271,0.00072,1.0
2022-12-04 05:00:00,101629.60285466864,288.5959887407148,19.980444947100718,2.12794,0.0007,1.0
2022-12-04 06:00:00,101565.76593281247,288.37810978931594,17.956786976155282,2.11397,0.00065,1.0
2022-12-04 07:00:00,101527.9425566127,288.4530417038182,17.01650465414545,2.10726,0.00056,1.0
2022-12-04 08:00:00,101466.02074241222,288.10374370236923,18.021238815358384,2.1125,0.00057,1.0
2022-12-04 09:00:00,101477.03261143241,287.5988178784925,18.739948010446923,2.11743,0.00051,1.0
2022-12-04 10:00:00,101436.17698144447,287.4005365047327,19.724420854170123,2.12293,0.00056,1.0
2022-12-04 11:00:00,101504.64208013519,287.1907271441264,23.12107416069077,2.14589,0.00062,1.0
2022-12-04 12:00:00,101559.06305601758,287.54463634031396,20.635277643005324,2.13107,0.00056,1.0
2022-12-04 13:00:00,101616.67587799276,288.8334652697527,27.589572863379733,2.17563,0.00054,1.0
2022-12-04 14:00:00,101662.15968481528,292.2492077723708,30.293568701789713,2.19179,0.00058,1.0
2022-12-04 15:00:00,101677.79973067004,292.9950685213394,27.226214134741564,2.17257,0.0006,1.0
2022-12-04 16:00:00,101594.49254764775,293.84122275587254,27.40065228935131,2.17162,0.00059,1.0
2022-12-04 17:00:00,101512.62169536723,294.1605479915206,29.134228818990632,2.18064,0.00063,1.0
2022-12-04 18:00:00,101447.02925816001,294.1017552586035,32.227620026895316,2.19862,0.00064,1.0
2022-12-04 19:00:00,101335.633829521,294.09138007044163,30.560359948048024,2.18606,0.00072,1.0
2022-12-04 20:00:00,101274.19079223444,293.4850079623157,30.206189026738848,2.18296,0.00075,1.0
2022-12-04 21:00:00,101259.82748481681,292.9754709437004,27.770038020251345,2.16774,0.00061,1.0
2022-12-04 22:00:00,101274.19079223444,292.7114800449155,27.938345513389088,2.1692,0.00058,1.0
2022-12-04 23:00:00,101360.37063674026,291.2843152733187,26.60216904404801,2.16321,0.00059,1.0
2022-12-05 00:00:00,101428.51655082172,290.5107873559185,23.74343536431267,2.14695,0.00105,1.0
2022-12-05 01:00:00,101536.72013336793,289.5124636950116,21.61239414168132,2.13607,0.00069,1.0
2022-12-05 02:00:00,101584.91700936932,288.73432458287283,22.975353833672816,2.14592,0.00066,1.0
2022-12-05 03:00:00,101635.50776994033,288.5256680209512,27.657564372900627,2.17658,0.00071,1.0
2022-12-05 04:00:00,101624.65549322478,289.0559554158902,30.048477072815825,2.19119,0.00071,1.0
2022-12-05 05:00:00,101563.21245593824,288.90493878820104,27.885537255290636,2.17641,0.00073,1.0
2022-12-05 06:00:00,101519.16497985748,288.61904471440783,27.471844139306814,2.17307,0.00069,1.0
2022-12-05 07:00:00,101448.14640429249,288.2109539800417,24.7596460782548,2.15472,0.0006,1.0
2022-12-05 08:00:00,101356.22123681962,288.2570659274277,23.878725601601293,2.14732,0.00059,1.0
2022-12-05 09:00:00,101334.0379064746,287.4846908087122,24.049286513734575,2.14829,0.00054,1.0
2022-12-05 10:00:00,101310.25865308318,287.91583751677126,24.616911822927854,2.15123,0.00055,1.0
2022-12-05 11:00:00,101333.39953725605,287.7613624930282,25.551530321094372,2.15767,0.00051,1.0
2022-12-05 12:00:00,101419.89856637114,287.84551679700763,22.419190325684752,2.13951,0.00047,1.0
2022-12-05 13:00:00,101511.18536462546,289.08477538300644,21.197130742950325,2.13311,0.00049,1.0
2022-12-05 14:00:00,101564.01041746142,291.2070777614472,20.663715569624518,2.13002,0.00055,1.0
2022-12-05 15:00:00,101562.57408671967,292.8428990949656,21.324136023674885,2.13353,0.00062,1.0
2022-12-05 16:00:00,101527.62337200342,293.6244966031583,22.538584963745638,2.14012,0.00057,1.0
2022-12-05 17:00:00,101449.42314272962,294.64241784170434,22.627469547571966,2.13874,0.00064,1.0
2022-12-05 18:00:00,101350.47591385257,295.1404268734732,23.136998342973936,2.13976,0.00065,1.0
2022-12-05 19:00:00,101256.79523102865,295.25340114456884,22.06612612786586,2.13123,0.00063,1.0
2022-12-05 20:00:00,101209.39631655044,295.3536946301334,21.12748961998143,2.12444,0.00066,1.0
2022-12-05 21:00:00,101192.6391245632,294.63319545222714,20.92807358368003,2.12313,0.00064,1.0
2022-12-05 22:00:00,101221.0465547892,292.723008031762,21.263741496285128,2.12647,0.00057,1.0
2022-12-05 23:00:00,101286.6389919964,290.8427933770978,20.646574457761716,2.12458,0.00056,1.0
2022-12-06 00:00:00,101389.7356207941,290.32057557295127,19.819561106832097,2.1216,0.00086,1.0
2022-12-06 01:00:00,101477.83057295562,289.48133813052607,14.968216093351927,2.09306,0.0007,1.0
2022-12-06 02:00:00,101595.29050917095,288.7147270052338,13.605349001040459,2.08697,0.00071,1.0
2022-12-06 03:00:00,101598.80153987303,288.3008722774444,14.836359561090953,2.09492,0.00067,1.0
2022-12-06 04:00:00,101598.16317065447,288.06800694314506,12.48893279523013,2.08012,0.00067,1.0
2022-12-06 05:00:00,101562.41449441503,287.66337460483294,13.481375301520124,2.08579,0.00058,1.0
2022-12-06 06:00:00,101505.91881857232,287.68412498115663,14.872315810940393,2.09348,0.00056,1.0
2022-12-06 07:00:00,101448.30599659713,287.333674181023,16.982048587649167,2.10581,0.0005,1.0
2022-12-06 08:00:00,101419.7389740665,287.0777528730307,16.997102372337284,2.10542,0.0005,1.0
2022-12-06 09:00:00,101406.81199739063,287.20110233228826,18.524024642901253,2.11481,0.0005,1.0
2022-12-06 10:00:00,101381.27722864816,287.0800584704,20.11999430572995,2.12447,0.00054,1.0
2022-12-06 11:00:00,101457.72194257092,287.30485421390676,21.311779455090864,2.13345,0.0005,1.0
2022-12-06 12:00:00,101511.50454923474,287.4454956534341,21.730603888490247,2.13711,0.00051,1.0
2022-12-06 13:00:00,101601.99338596585,289.2634591791272,20.11818203453841,2.12803,0.00047,1.0
2022-12-06 14:00:00,101653.38210806006,292.37140443294373,19.957512210964293,2.12695,0.00052,1.0
2022-12-06 15:00:00,101685.46016129278,292.9812349371236,21.78894529251349,2.1388,0.00054,1.0
2022-12-06 16:00:00,101632.47551615216,293.57377346103374,23.00975445867864,2.14514,0.00058,1.0
2022-12-06 17:00:00,101571.51125577954,294.58131951141786,23.521126123643647,2.14672,0.00057,1.0
2022-12-06 18:00:00,101474.95791147208,294.8003512615014,23.0909970512576,2.14206,0.00057,1.0
2022-12-06 19:00:00,101414.63202031801,294.83839361809487,26.18910977164735,2.16009,0.00054,1.0
2022-12-06 20:00:00,101338.98526791846,294.1836039652136,25.471606560606233,2.15443,0.0006,1.0
2022-12-06 21:00:00,101330.68646807715,293.58991264261886,26.974950562508695,2.16389,0.00058,1.0
2022-12-06 22:00:00,101377.1278287275,291.84457543405864,26.84631116629578,2.16481,0.00052,1.0
2022-12-06 23:00:00,101454.37050417346,291.14252103510677,26.19605754565998,2.16258,0.00056,1.0
2022-12-07 00:00:00,101570.71329425633,290.2467964571337,25.515288819598144,2.161,0.00091,1.0
2022-12-07 01:00:00,101599.59950139624,289.8283305346057,21.247160472358733,2.13489,0.00077,1.0
2022-12-07 02:00:00,101698.70632257794,289.231180815957,20.71036993685541,2.13368,0.00091,1.0
2022-12-07 03:00:00,101747.86075240718,289.38911423575405,21.313216455077317,2.13839,0.00084,1.0
2022-12-07 04:00:00,101755.52118302992,289.2911263475588,25.617313387206277,2.16571,0.00079,1.0
2022-12-07 05:00:00,101723.76231440649,289.1378041225003,27.70824208602821,2.17834,0.00071,1.0
2022-12-07 06:00:00,101670.1393000473,288.85997963949967,25.750031554753914,2.16506,0.00064,1.0
2022-12-07 07:00:00,101644.76412360948,288.927994761894,23.560040638300418,2.15071,0.00053,1.0
2022-12-07 08:00:00,101628.96448545008,288.7873533223667,19.90280906611982,2.12737,0.0005,1.0
2022-12-07 09:00:00,101605.50441666794,287.6184154561316,20.356160787213508,2.13019,0.00053,1.0
2022-12-07 10:00:00,101594.33295534311,287.69680576668776,21.543515333721338,2.13746,0.00061,1.0
2022-12-07 11:00:00,101633.91184689393,287.3544245573467,23.364214674756656,2.14991,0.00057,1.0
2022-12-07 12:00:00,101737.48725260556,287.4881492047661,29.598016409299483,2.19139,0.00059,1.0
2022-12-07 13:00:00,101813.61278191903,288.6570870710013,30.219078171872287,2.1962,0.00056,1.0
2022-12-07 14:00:00,101839.46673527078,291.056061133758,31.510159126296475,2.20354,0.00059,1.0
2022-12-07 15:00:00,101856.22392725802,292.22269340262386,31.146581999084027,2.20096,0.00064,1.0
2022-12-07 16:00:00,101831.96589695268,293.33975532804976,29.180874985069305,2.18763,0.00063,1.0
2022-12-07 17:00:00,101761.26650599697,293.96572501381473,27.026788868956807,2.17252,0.00068,1.0
2022-12-07 18:00:00,101638.69961603315,294.4429836692599,29.78704836338494,2.18704,0.00062,1.0
2022-12-07 19:00:00,101578.852501793,293.8838763072046,26.627560702139434,2.16648,0.00063,1.0
2022-12-07 20:00:00,101502.88656478416,293.5357311044403,25.98835167956172,2.16116,0.0007,1.0
2022-12-07 21:00:00,101480.86282674377,293.2648234135475,24.00645473711737,2.14849,0.0006,1.0
2022-12-07 22:00:00,101496.18368798925,292.0486208012417,20.25084362327524,2.1258,0.00055,1.0
2022-12-07 23:00:00,101574.38391726305,291.3269688246508,18.587996917342664,2.11717,0.00064,1.0
2022-12-08 00:00:00,101660.72335407352,290.5857192704208,22.359528254126477,2.1428,0.00105,1.0
2022-12-08 01:00:00,101749.77586006287,289.9482215978093,23.202963042779338,2.15011,0.00071,1.0
2022-12-08 02:00:00,101819.3581048861,289.1112897527534,24.44271066036489,2.15964,0.00073,1.0
2022-12-08 03:00:00,101808.3462358659,289.18506886857097,26.845059189981995,2.17454,0.00066,1.0
2022-12-08 04:00:00,101834.99815074085,289.53897806475857,28.748651101176513,2.18689,0.00058,1.0
2022-12-08 05:00:00,101774.99144419606,289.14472091460823,26.813020168780866,2.1737,0.00063,1.0
2022-12-08 06:00:00,101704.45164554499,288.73432458287283,29.506525823198757,2.18951,0.00057,1.0
2022-12-08 07:00:00,101622.42120095983,288.6178919157232,29.32368069794242,2.1868,0.00052,1.0
2022-12-08 08:00:00,101559.38224062686,288.47263928145725,29.3896123981328,2.18605,0.00059,1.0
2022-12-08 09:00:00,101534.32624879832,288.7642973486737,25.704361010752283,2.16214,0.00058,1.0
2022-12-08 10:00:00,101473.68117303496,287.97924144442703,21.134802560999066,2.13239,0.00056,1.0
2022-12-08 11:00:00,101550.76425617628,288.21210677872637,21.53315029178783,2.13634,0.00049,1.0
2022-12-08 12:00:00,101590.66233233637,288.14409165633197,23.8098942625655,2.15155,0.00054,1.0
2022-12-08 13:00:00,101658.01028489464,289.3649054633764,25.172063946458447,2.16095,0.00054,1.0
2022-12-08 14:00:00,101686.89649203455,291.7857827011415,23.80518623007031,2.1519,0.00062,1.0
2022-12-08 15:00:00,101681.62994598142,292.4071411921679,24.225889134096406,2.15417,0.00071,1.0
2022-12-08 16:00:00,101638.85920833779,292.9650957555385,29.72506366485616,2.18741,0.00065,1.0
2022-12-08 17:00:00,101570.07492503777,293.8170139834949,30.876642682595016,2.19279,0.0007,1.0
2022-12-08 18:00:00,101460.59460405445,294.459122850845,31.51949101449795,2.19429,0.00066,1.0
2022-12-08 19:00:00,101354.30612916393,294.3034950284172,32.318869658087245,2.19725,0.00059,1.0
2022-12-08 20:00:00,101284.88347664535,293.3420609254191,28.155258036722866,2.17046,0.00067,1.0
2022-12-08 21:00:00,101278.3401921551,293.4723271767845,26.627783630536683,2.16075,0.00064,1.0
2022-12-08 22:00:00,101277.06345371797,291.95178571173113,26.836832587812513,2.16273,0.00057,1.0
2022-12-08 23:00:00,101363.08370591915,291.2082305601318,25.01238890886574,2.15333,0.00057,1.0
2022-12-09 00:00:00,101454.21091186882,290.6963879441472,23.163861982404498,2.14374,0.00083,1.0
2022-12-09 01:00:00,101527.46377969878,289.9505271951786,21.025657007509608,2.13203,0.0007,1.0
2022-12-09 02:00:00,101611.88810885356,289.0040794750809,19.852438376493264,2.12664,0.00066,1.0
2022-12-09 03:00:00,101639.49757755635,288.3838737827392,21.183069714686948,2.13581,0.00071,1.0
2022-12-09 04:00:00,101612.36688576748,288.51183443673534,20.93806724089585,2.13368,0.0006,1.0
2022-12-09 05:00:00,101580.60801714404,288.0299645865516,20.91395088612412,2.13308,0.00053,1.0
2022-12-09 06:00:00,101521.55886442708,287.93428229572567,21.89655149263249,2.13817,0.00053,1.0
2022-12-09 07:00:00,101455.80683491523,287.87087836806995,21.481079931209162,2.13427,0.00053,1.0
2022-12-09 08:00:00,101417.02590488762,287.93428229572567,21.008234283430834,2.13049,0.00058,1.0
2022-12-09 09:00:00,101413.99365109944,287.38093892709367,22.34215192876662,2.13909,0.00055,1.0
2022-12-09 10:00:00,101371.70169036974,287.5227331653056,23.639563345335315,2.14642,0.00053,1.0
2022-12-09 11:00:00,101414.95120492729,287.5699979113763,23.197195583125644,2.14445,0.00048,1.0
2022-12-09 12:00:00,101450.5402888621,287.5492475350526,25.355264694301813,2.15883,0.00052,1.0
2022-12-09 13:00:00,101523.31437977812,289.18852726462495,22.794063031464162,2.14338,0.00052,1.0
2022-12-09 14:00:00,101550.60466387164,292.3587236474126,22.475708998731918,2.14067,0.00055,1.0
2022-12-09 15:00:00,101583.79986323684,293.325921743834,24.634905558483776,2.15441,0.00051,1.0
2022-12-09 16:00:00,101519.6437567714,293.971489007238,26.16411862316588,2.16239,0.00054,1.0
2022-12-09 17:00:00,101518.20742602964,294.74386412595356,26.620344362483376,2.16485,0.0006,1.0
2022-12-09 18:00:00,101428.19736621244,294.29542543762466,29.391565927466903,2.18051,0.00053,1.0
2022-12-09 19:00:00,101348.87999080616,293.2775041990787,30.426150227283713,2.18591,0.00055,1.0
2022-12-09 20:00:00,101304.67292242077,293.12648757138953,30.331852468499502,2.18453,0.00058,1.0
2022-12-09 21:00:00,101297.49126871195,292.9063030226214,31.718903065998994,2.19316,0.0005,1.0
2022-12-09 22:00:00,101315.68479144096,291.3419552075512,32.1137002741798,2.19685,0.00052,1.0
2022-12-09 23:00:00,101336.4317910442,291.15174342458397,31.832316307359793,2.1956,0.00052,1.0
2022-12-10 00:00:00,101434.42146609342,290.68255435993143,32.319649243487895,2.20085,0.00079,1.0
2022-12-10 01:00:00,101482.9375267041,290.11653020576824,31.02944334147181,2.19401,0.0006,1.0
2022-12-10 02:00:00,101543.7421947721,289.0190658579814,30.43274663813115,2.19204,0.00062,1.0
2022-12-10 03:00:00,101586.83211702501,289.01445466324276,28.877571002823515,2.18308,0.0006,1.0
2022-12-10 04:00:00,101589.5451862039,288.7020462197026,29.219313942146993,2.18545,0.00059,1.0
2022-12-10 05:00:00,101556.19039453405,287.99768622338144,27.920655907792977,2.17694,0.00058,1.0
2022-12-10 06:00:00,101542.1462717257,287.8777951601778,28.775073677598876,2.18213,0.00052,1.0
