,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-11-27 00:00:00,101835.10715689043,297.226221154418,31.441388312802236,2.4713072262836877,0.0011554494940759432,2.0
2022-11-27 01:00:00,101897.54468836312,296.6580702196503,29.812193375741487,2.46294,0.00054,1.0
2022-11-27 02:00:00,101903.46548876139,296.25084064790934,28.048458902470006,2.45237,0.00064,1.0
2022-11-27 03:00:00,101919.25428982345,293.53707153945254,26.20782646010954,2.44255,0.00066,1.0
2022-11-27 04:00:00,101897.36527016923,292.1818290399489,26.25717018149641,2.44298,0.00063,1.0
2022-11-27 05:00:00,101881.39705091329,291.3859798500143,28.688109945914434,2.45822,0.00062,1.0
2022-11-27 06:00:00,101889.29145144431,289.80632320479316,31.362357275534794,2.47602,0.00061,1.0
2022-11-27 07:00:00,102116.97313948699,289.6924740772097,32.84020168271041,2.49048,0.00065,1.0
2022-11-27 08:00:00,102078.39822780127,289.78771325124586,37.649829949397535,2.51984,0.00078,1.0
2022-11-27 09:00:00,102034.44077029894,289.9562975363214,36.63811544714888,2.51238,0.0008,1.0
2022-11-27 10:00:00,102145.14179592725,291.75380010836096,34.30779565855925,2.49912,0.00061,1.0
2022-11-27 11:00:00,102177.07823443915,292.39091734156864,33.713139461201,2.49574,0.00056,1.0
2022-11-27 12:00:00,102188.20216246015,293.8413990151085,32.24023889367366,2.48598,0.00064,1.0
2022-11-27 13:00:00,102122.17626710971,295.0510459956832,31.987428800419604,2.48227,0.00059,1.0
2022-11-27 14:00:00,102026.00811518625,297.28861923395897,33.74029575525395,2.48972,0.00059,1.0
2022-11-27 15:00:00,101984.02425781668,299.57764352027726,34.48384759811271,2.49205,0.00061,1.0
2022-11-27 16:00:00,101943.83458238599,300.221328972384,33.21639088209259,2.48303,0.00056,1.0
2022-11-27 17:00:00,101919.79254440512,301.23611879228696,35.826203058874,2.49786,0.00058,1.0
2022-11-27 18:00:00,101855.74024918744,301.67290534907363,36.50869894035183,2.50033,0.00065,1.0
2022-11-27 19:00:00,101813.3975554301,301.4320706561085,37.72269521648276,2.50693,0.00063,1.0
2022-11-27 20:00:00,101731.40344082372,301.22298235448886,38.96410468421015,2.5128,0.00067,1.0
2022-11-27 21:00:00,101723.3296220988,300.4358907897529,34.96294189325593,2.48866,0.00077,1.0
2022-11-27 22:00:00,101642.41201665574,298.24429508377045,37.64692723699231,2.50463,0.00073,1.0
2022-11-27 23:00:00,101630.92925224696,297.7801409482377,36.52889473254583,2.49778,0.00069,1.0
2022-11-28 00:00:00,101676.1426371065,297.7845197608371,33.96188405040488,2.48298,0.00126,1.0
2022-11-28 01:00:00,101703.952457159,296.9394089291595,29.694012575508637,2.45774,0.00097,1.0
2022-11-28 02:00:00,101699.82583869959,295.77245537142863,28.58741600321241,2.45138,0.00138,1.0
2022-11-28 03:00:00,101703.05536618955,293.6137007599415,26.994376987999747,2.44258,0.00118,1.0
2022-11-28 04:00:00,101692.828529138,292.2234277596429,27.812146966625324,2.4481099999999993,0.00106,1.0
2022-11-28 05:00:00,101679.73100098425,291.3498546460695,33.634221209838834,2.48473,0.00102,1.0
2022-11-28 06:00:00,101651.92118093175,290.34382245136527,34.532052174890865,2.49034,0.00106,1.0
2022-11-28 07:00:00,101630.39099766531,290.1194083056478,36.391730971459694,2.50169,0.00091,1.0
2022-11-28 08:00:00,101587.68946752019,290.2496779804789,35.314561873708854,2.49388,0.00127,1.0
2022-11-28 09:00:00,101581.40983073413,290.8123553994974,36.59325629865338,2.50142,0.0012,1.0
2022-11-28 10:00:00,101588.40714029573,293.9114600166983,38.167799385674186,2.50942,0.00105,1.0
2022-11-28 11:00:00,101594.86619527567,295.14081165397016,36.967576255759454,2.50132,0.001,1.0
2022-11-28 12:00:00,101591.27783139792,296.25303005420903,36.73413097292547,2.4991,0.0011,1.0
2022-11-28 13:00:00,101488.29178810676,297.1550654496783,37.91765452572557,2.50354,0.00098,1.0
2022-11-28 14:00:00,101365.92857987579,299.91700149672806,39.37643709490475,2.50799,0.00104,1.0
2022-11-28 15:00:00,101301.69686646423,302.13924889090606,39.32467667409178,2.5048,0.00104,1.0
2022-11-28 16:00:00,101221.67635199061,302.5650884161944,38.59151334772974,2.49828,0.00101,1.0
