,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-11-27 00:00:00,102177.6164890208,280.47616825869517,13.462299046737629,1.62165,0.00173,1.0
2022-11-27 01:00:00,102244.53947534067,279.8456192443865,13.769343365727128,1.6248,0.00196,1.0
2022-11-27 02:00:00,102278.44951398532,278.02622260935016,13.269051805396002,1.62252,0.00083,1.0
2022-11-27 03:00:00,102380.89730269484,277.1329448390796,13.115601177391243,1.62328,0.00077,1.0
2022-11-27 04:00:00,102411.57781384952,276.7289993767881,14.257489078786424,1.6313,0.00077,1.0
2022-11-27 05:00:00,102426.11068755436,275.78864937107437,13.222118712762969,1.62499,0.00082,1.0
2022-11-27 06:00:00,102404.22166790014,275.47775367651946,13.217649005271301,1.6247100000000003,0.00059,1.0
2022-11-27 07:00:00,102436.51694279982,275.1581003567658,13.698361922447758,1.62843,0.00079,1.0
2022-11-27 08:00:00,102418.57512341111,275.25990774970103,14.392845292654277,1.63269,0.00075,1.0
2022-11-27 09:00:00,102488.54821902706,275.1591950599156,14.74812823926425,1.6361,0.00062,1.0
2022-11-27 10:00:00,102519.04931198785,275.81601694982044,16.109404313707984,1.64529,0.00076,1.0
2022-11-27 11:00:00,102603.91411769643,277.53907970767074,15.002995197285053,1.6388300000000002,0.00073,1.0
2022-11-27 12:00:00,102587.58706205271,279.5270606277827,14.625236237403996,1.63558,0.00076,1.0
2022-11-27 13:00:00,102444.41134333085,280.7586016713542,15.144578199079879,1.63645,0.00077,1.0
2022-11-27 14:00:00,102322.76580787543,282.9250192048903,14.938575414417649,1.6327,0.00082,1.0
2022-11-27 15:00:00,102246.51307547343,284.16750727996026,14.096039385408691,1.62583,0.00077,1.0
2022-11-27 16:00:00,102122.89393988525,285.1374142707197,14.458722600431418,1.62604,0.00078,1.0
2022-11-27 17:00:00,101973.25916618346,286.0109873842931,13.506792582611174,1.61751,0.00079,1.0
2022-11-27 18:00:00,101987.61262169442,287.0553341892418,12.836152919442002,1.61322,0.0007,1.0
2022-11-27 19:00:00,101889.65028783209,286.0077032748436,14.590559361083097,1.62315,0.00076,1.0
2022-11-27 20:00:00,101865.42883165734,284.8954848746048,12.527361285078758,1.60991,0.00091,1.0
2022-11-27 21:00:00,101832.595302176,284.5528427887044,11.864544728687566,1.60526,0.00073,1.0
2022-11-27 22:00:00,101828.28926552272,283.34210110497986,13.405052985589743,1.61533,0.00099,1.0
2022-11-27 23:00:00,101970.20905688738,281.5325567982921,11.094937889090362,1.60302,0.00082,1.0
2022-11-28 00:00:00,102073.19510017853,280.52871400988755,12.648472518688767,1.61481,0.00198,1.0
2022-11-28 01:00:00,102168.1073247448,280.2659852539256,12.373683477823182,1.61452,0.00153,1.0
2022-11-28 02:00:00,102277.55242301589,279.13406219698965,12.639810136369146,1.61815,0.001,1.0
2022-11-28 03:00:00,102294.0588968535,278.87352284732737,13.551783304311387,1.62438,0.0009,1.0
2022-11-28 04:00:00,102285.80565993469,278.06344251644475,14.621170320161458,1.63142,0.0008,1.0
2022-11-28 05:00:00,102224.8034740131,276.65018074999955,13.627554700655528,1.6244,0.00081,1.0
2022-11-28 06:00:00,102178.33416179636,275.83572160651755,14.305164769560522,1.6283500000000002,0.0006,1.0
2022-11-28 07:00:00,102135.63263165124,276.05904104908524,14.213785204904738,1.6270499999999999,0.00082,1.0
2022-11-28 08:00:00,102082.16600987289,275.3026011725448,15.326509179571985,1.63375,0.00075,1.0
2022-11-28 09:00:00,102129.71183125296,275.6386750395461,14.251263941070016,1.62732,0.00065,1.0
2022-11-28 10:00:00,102217.44732806373,276.57902504525987,16.28117003643131,1.64165,0.00074,1.0
2022-11-28 11:00:00,102273.4258045565,278.36558058580096,14.484063942855396,1.63026,0.00071,1.0
2022-11-28 12:00:00,102246.33365727954,280.118200328697,14.984732794818242,1.63262,0.00072,1.0
2022-11-28 13:00:00,102086.2926283323,281.59823898728257,15.07511463020252,1.63039,0.00078,1.0
2022-11-28 14:00:00,102013.44884161415,284.0438058240282,14.9008990400468,1.62751,0.00082,1.0
2022-11-28 15:00:00,101912.79523484352,284.355796221733,13.842615590389052,1.61915,0.00082,1.0
2022-11-28 16:00:00,101749.5246784063,285.4833404660696,15.338837111190458,1.62595,0.00078,1.0
2022-11-28 17:00:00,101565.44161147819,286.50141439542205,12.992638435853426,1.608,0.00076,1.0
2022-11-28 18:00:00,101405.04174614316,286.0022297590944,12.17582203939233,1.60051,0.00071,1.0
2022-11-28 19:00:00,101410.42429195979,285.1472665990683,15.666640191912025,1.62304,0.00097,1.0
2022-11-28 20:00:00,101436.97818465506,284.96116706359527,13.691773363572038,1.61089,0.00083,1.0
2022-11-28 21:00:00,101434.28691174676,283.3191123388332,11.140340270060644,1.5949,0.00072,1.0
2022-11-28 22:00:00,101508.20720762822,282.82321181195505,16.793316737050603,1.6324,0.00101,1.0
2022-11-28 23:00:00,101612.80801466438,280.0930221562507,17.372542425787373,1.6385600000000002,0.00081,1.0
2022-11-29 00:00:00,101695.5198020463,279.8083993372919,17.688556937883543,1.64194,0.00111,1.0
2022-11-29 01:00:00,101795.63515423528,279.74928536720046,19.264679646138244,1.65367,0.00128,1.0
2022-11-29 02:00:00,101937.01669101827,278.97095142766324,17.537205984910887,1.64486,0.00087,1.0
2022-11-29 03:00:00,101962.67349274411,277.6058565998111,17.44773991896099,1.64511,0.00083,1.0
2022-11-29 04:00:00,101968.05603856072,277.4153782517387,18.341473353413612,1.65108,0.0009,1.0
2022-11-29 05:00:00,101945.62876432485,277.3617377973965,17.359708988788,1.64436,0.00093,1.0
