,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-11-27 00:00:00,100805.42614217266,307.5755447330183,29.0046284813569,2.304649153846154,0.0020417467881070606,2.0
2022-11-27 01:00:00,100889.03502052401,305.873281335015,26.21944383801382,2.29042,0.00058,1.0
2022-11-27 02:00:00,100938.19560564907,303.4266197951195,25.729274016629606,2.28952,0.00061,1.0
2022-11-27 03:00:00,101009.96288320389,301.8305426026508,26.463739611038974,2.29618,0.00067,1.0
2022-11-27 04:00:00,101079.39772423818,302.7960707808109,26.73523761473707,2.29888,0.00065,1.0
2022-11-27 05:00:00,101117.61379953612,301.6575795049759,27.041290893659276,2.30205,0.00068,1.0
2022-11-27 06:00:00,101142.9117648742,299.4889725651401,27.538661406774178,2.3066,0.00064,1.0
2022-11-27 07:00:00,101157.08580219127,299.27878956037057,27.513291472468087,2.30684,0.00059,1.0
2022-11-27 08:00:00,101199.24907775472,298.8518553319324,28.017098182695957,2.31102,0.00058,1.0
2022-11-27 09:00:00,101198.1725685914,297.69913291514945,26.46568975975634,2.30198,0.00051,1.0
2022-11-27 10:00:00,101249.12733565533,297.95857756166185,27.362120156313864,2.30846,0.00052,1.0
2022-11-27 11:00:00,101307.6176668625,299.4845937525407,28.19065596784149,2.31408,0.00051,1.0
2022-11-27 12:00:00,101364.49323432469,301.4353547655581,27.947083956421185,2.31289,0.00052,1.0
2022-11-27 13:00:00,101321.97112237346,303.29416071398873,28.07012335463771,2.31189,0.00052,1.0
2022-11-27 14:00:00,101253.07453592084,304.91760548520347,27.44986903713161,2.30595,0.00053,1.0
2022-11-27 15:00:00,101182.922022111,306.9986361730519,27.602498231227923,2.30447,0.0006,1.0
2022-11-27 16:00:00,101100.56907111684,308.5246523639308,27.532012948297115,2.30164,0.00055,1.0
2022-11-27 17:00:00,100998.83895518289,309.97622874062046,25.45827013448792,2.2865,0.00057,1.0
2022-11-27 18:00:00,100894.7764027284,310.02658508551315,26.684679939564212,2.29159,0.00063,1.0
2022-11-27 19:00:00,100774.92504921186,309.67956418701345,27.30793726503993,2.29292,0.00056,1.0
2022-11-27 20:00:00,100714.99937245357,310.4250570320554,28.96824494384866,2.30122,0.00062,1.0
2022-11-27 21:00:00,100673.37435147178,309.1989895042331,30.421930040151544,2.30958,0.00072,1.0
2022-11-27 22:00:00,100690.06024350328,308.6560167419118,31.39108196906335,2.31599,0.00066,1.0
2022-11-27 23:00:00,100728.27631880122,306.5027356461738,29.03395447999746,2.30369,0.00064,1.0
2022-11-28 00:00:00,100774.74563101797,304.76872585682503,28.354012451383145,2.30137,0.00096,1.0
2022-11-28 01:00:00,100796.99348705995,304.35383336303516,28.139158561980235,2.30073,0.00082,1.0
2022-11-28 02:00:00,100824.08563433691,303.6280451746903,26.810737370059087,2.29358,0.00109,1.0
2022-11-28 03:00:00,100769.18366700747,302.36804184922295,28.732792724968657,2.30466,0.00096,1.0
2022-11-28 04:00:00,100735.63246475058,301.7145040687676,27.83871431895151,2.29881,0.00081,1.0
2022-11-28 05:00:00,100737.78548307724,300.9120866599339,25.39666743298269,2.28431,0.00082,1.0
2022-11-28 06:00:00,100762.18635744587,299.4528473611953,26.436086592514894,2.29181,0.00087,1.0
2022-11-28 07:00:00,100785.86955903897,298.03739618845043,25.972411846229992,2.29008,0.00075,1.0
2022-11-28 08:00:00,100776.71923115072,298.2990302412625,26.35241104097218,2.2921099999999996,0.00102,1.0
2022-11-28 09:00:00,100775.6427219874,296.9547347732573,27.01009387325741,2.29674,0.00118,1.0
2022-11-28 10:00:00,100794.12279595777,297.2295052638675,29.2320356948465,2.31071,0.00192,1.0
2022-11-28 11:00:00,100852.61312716495,299.92356971562714,27.892104049936428,2.30243,0.00085,1.0
2022-11-28 12:00:00,100843.82163566448,302.222446330294,27.533788500018442,2.29901,0.00083,1.0
2022-11-28 13:00:00,100800.22301454993,303.4419456392173,26.824498109174232,2.29324,0.00069,1.0
2022-11-28 14:00:00,100715.53762703524,304.92307900095267,26.533484337960882,2.28905,0.00057,1.0
2022-11-28 15:00:00,100612.73100193797,307.66859450075486,26.00603094762981,2.28255,0.00063,1.0
2022-11-28 16:00:00,100514.23041349398,308.7698658694953,25.985083781831435,2.27989,0.00061,1.0
2022-11-28 17:00:00,100410.16786103949,310.159044166644,23.18827355796499,2.26046,0.00075,1.0
2022-11-28 18:00:00,100248.51206834725,311.2165274093907,24.972213191997668,2.26726,0.00088,1.0
2022-11-28 19:00:00,100239.72057684678,312.1492144930556,25.580824511653343,2.27032,0.00065,1.0
2022-11-28 20:00:00,100193.25126463005,310.57065255098433,23.66612461461582,2.25857,0.00064,1.0
2022-11-28 21:00:00,100174.23293607801,310.23786279343256,25.23724564619675,2.26765,0.00081,1.0
2022-11-28 22:00:00,99993.91765122153,309.5197375271366,21.614177428911145,2.2425,0.00073,1.0
2022-11-28 23:00:00,100084.52383913449,307.78244362833834,24.648560410733374,2.2632,0.00092,1.0
2022-11-29 00:00:00,100153.42042558712,305.5908479223559,30.842587191408203,2.30287,0.00111,1.0
2022-11-29 01:00:00,100246.00021363283,304.04841118422945,28.83394500749864,2.29343,0.00068,1.0
2022-11-29 02:00:00,100318.12632757543,302.50378503980323,27.120603134476916,2.28526,0.00081,1.0
2022-11-29 03:00:00,100357.95716661835,302.38008358387117,28.270384959808794,2.29315,0.00068,1.0
2022-11-29 04:00:00,100352.03636622008,300.0341347337611,28.343238477262382,2.29456,0.00075,1.0
2022-11-29 05:00:00,100351.13927525064,299.2054444493312,25.232997516007824,2.27585,0.00073,1.0
