,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-11-27 00:00:00,101174.8482033861,298.1359194719362,44.01858013843417,2.56625,0.00186,1.0
2022-11-27 01:00:00,101322.32995876124,296.73032062753987,46.882321526221226,2.58832,0.0014,1.0
2022-11-27 02:00:00,101431.77505703234,295.70677318243816,43.578236315965746,2.57115,0.00122,1.0
2022-11-27 03:00:00,101485.42109700457,294.9886479161422,45.03534342155572,2.58194,0.00117,1.0
2022-11-27 04:00:00,101478.24436924909,294.6044071105479,42.78299150026402,2.56808,0.0011,1.0
2022-11-27 05:00:00,101415.8068377764,294.1610523348622,41.8847083223074,2.5614,0.00104,1.0
2022-11-27 06:00:00,101359.46952489586,293.8074632174634,40.444692120608714,2.55141,0.00109,1.0
2022-11-27 07:00:00,101320.53577682238,293.75929627887035,40.9024152127284,2.55341,0.00104,1.0
2022-11-27 08:00:00,101324.303558894,293.63668952608816,39.00287662973432,2.5417500000000004,0.00152,1.0
2022-11-27 09:00:00,101314.43555823021,293.45277939691476,42.38253638555638,2.56271,0.00106,1.0
2022-11-27 10:00:00,101365.21090710025,293.6695306205834,43.25206797958141,2.56912,0.00104,1.0
2022-11-27 11:00:00,101366.82567084522,293.5513026804005,44.395852931187484,2.57637,0.00116,1.0
2022-11-27 12:00:00,101426.03367482795,294.1851358041587,46.82994623825809,2.59237,0.00111,1.0
2022-11-27 13:00:00,101515.74277177147,294.89669285155554,43.691973377175074,2.57436,0.00106,1.0
2022-11-27 14:00:00,101563.28859315155,296.3548374471443,47.05322058381289,2.59514,0.00109,1.0
2022-11-27 15:00:00,101583.20401267301,297.84910724667776,47.64428234429829,2.59805,0.00111,1.0
2022-11-27 16:00:00,101496.36560683168,298.8277718626359,44.83331523404487,2.57804,0.00104,1.0
2022-11-27 17:00:00,101415.8068377764,301.19889888519236,47.38916988302816,2.59005,0.00109,1.0
2022-11-27 18:00:00,101325.55948625121,303.22957322814807,46.683773841235386,2.58215,0.0012,1.0
2022-11-27 19:00:00,101202.65802343858,304.45345134967073,47.67791874965043,2.58445,0.00105,1.0
2022-11-27 20:00:00,101145.24420139473,304.66691846388983,46.276282099431015,2.57451,0.00128,1.0
2022-11-27 21:00:00,101028.44295717425,304.2772041425463,45.540770026764896,2.5677,0.00116,1.0
2022-11-27 22:00:00,101055.35568625732,301.6367801451289,47.19033956735264,2.58032,0.00112,1.0
2022-11-27 23:00:00,101159.23882051792,300.0571234999078,44.41221401563157,2.5669,0.00128,1.0
2022-11-28 00:00:00,101265.9926458807,297.92135765456726,46.62810435328917,2.58454,0.00224,1.0
2022-11-28 01:00:00,101398.94152755101,296.71937359604146,49.36171692423425,2.60538,0.00264,1.0
2022-11-28 02:00:00,101497.08327960722,295.65532213439565,40.85314188567044,2.55579,0.003,1.0
2022-11-28 03:00:00,101532.60808199686,295.0138260885886,42.87237640872138,2.56957,0.00196,1.0
2022-11-28 04:00:00,101557.36779275327,294.85290472556187,44.33199058313085,2.57931,0.00189,1.0
2022-11-28 05:00:00,101527.9432089558,294.79926427121967,44.59245162134763,2.5803,0.00139,1.0
2022-11-28 06:00:00,101459.04662250317,294.00013097183546,45.15741953504294,2.58286,0.00122,1.0
2022-11-28 07:00:00,101408.27127363313,293.8753348127536,45.28684887271193,2.58261,0.00129,1.0
2022-11-28 08:00:00,101403.42698239819,293.9103653135485,45.3072600952937,2.5826,0.00153,1.0
2022-11-28 09:00:00,101375.97599873347,293.71441344972686,44.462724106172764,2.57687,0.0015,1.0
2022-11-28 10:00:00,101437.8752756245,293.72317107492563,44.875810566299656,2.5808400000000002,0.00149,1.0
2022-11-28 11:00:00,101461.3790590237,293.8140314363624,47.226872706256536,2.59594,0.00145,1.0
2022-11-28 12:00:00,101482.72982409626,293.7888532639161,44.132595785591434,2.57718,0.00131,1.0
2022-11-28 13:00:00,101495.82735225002,294.06581316082594,43.89338745472636,2.57578,0.00124,1.0
2022-11-28 14:00:00,101507.66895304657,296.01110065809405,44.763159906293374,2.57998,0.00124,1.0
2022-11-28 15:00:00,101455.27884043155,297.1911906536231,44.00743234733126,2.57324,0.0012,1.0
2022-11-28 16:00:00,101393.73839992829,297.77028861988913,41.39373750539997,2.55532,0.00129,1.0
2022-11-28 17:00:00,101302.77337562756,299.9684525447706,44.719046753913496,2.5721,0.00152,1.0
2022-11-28 18:00:00,101191.71351361147,301.05877688201264,42.40638852106591,2.55466,0.00135,1.0
2022-11-28 19:00:00,101099.13372556576,302.2738973783366,45.64344460513534,2.57141,0.00118,1.0
2022-11-28 20:00:00,100992.55931839684,302.3910306153696,46.060267933466854,2.57144,0.00136,1.0
2022-11-28 21:00:00,100929.94236873026,302.96465506588646,46.167480573044976,2.57024,0.00132,1.0
2022-11-28 22:00:00,100962.5964800177,301.32697915372376,43.476122568573594,2.5558,0.00142,1.0
2022-11-28 23:00:00,101033.82550299086,300.21804486293445,46.15848063877979,2.57462,0.00142,1.0
2022-11-29 00:00:00,101139.8616555781,298.3143560853603,45.66342375711986,2.57544,0.00257,1.0
2022-11-29 01:00:00,101301.15861188257,296.8956208031659,46.92293635026523,2.58796,0.00137,1.0
2022-11-29 02:00:00,101438.05469381838,295.92352440610676,47.10791212306133,2.59298,0.00187,1.0
2022-11-29 03:00:00,101496.18618863779,295.1999256240616,48.40648357020782,2.60293,0.00145,1.0
2022-11-29 04:00:00,101529.73739089468,294.75328673892636,47.578923061527306,2.59892,0.00166,1.0
2022-11-29 05:00:00,101473.57949620803,294.2442497742501,48.78528001745383,2.60556,0.00135,1.0
2022-11-29 06:00:00,101418.31869249081,293.8348307962094,46.44355679477223,2.59007,0.00115,1.0
2022-11-29 07:00:00,101345.65432396656,293.77133801351863,43.488016969670184,2.57007,0.00118,1.0
2022-11-29 08:00:00,101271.37519169731,293.5567761961497,45.262595140167875,2.5796,0.00115,1.0
2022-11-29 09:00:00,101240.87409873652,293.0017616991801,44.576779942859545,2.57506,0.00103,1.0
2022-11-29 10:00:00,101315.87090378131,293.3378355661814,44.17023387648158,2.57397,0.00109,1.0
2022-11-29 11:00:00,101313.71788545467,293.2447857984449,44.73930819655358,2.57754,0.00135,1.0
2022-11-29 12:00:00,101375.07890776404,294.27052264984627,43.7941445534906,2.57227,0.00113,1.0
2022-11-29 13:00:00,101438.05469381838,294.9514280090476,40.2217147378874,2.55102,0.00115,1.0
2022-11-29 14:00:00,101400.01803671433,298.01112331285424,41.55691329330533,2.5563,0.00117,1.0
2022-11-29 15:00:00,101340.63061453772,299.34228234306136,41.299036854084214,2.55245,0.00118,1.0
2022-11-29 16:00:00,101231.18551626662,300.8540673929923,41.50447926809708,2.55019,0.0013,1.0
2022-11-29 17:00:00,101122.0992543833,303.30072893288775,40.62844311763325,2.54074,0.0011,1.0
2022-11-29 18:00:00,100993.81524575406,304.8683438434606,41.88632611782035,2.5444,0.00123,1.0
2022-11-29 19:00:00,100897.28825744282,305.53282865541433,44.313183157287376,2.5564,0.00111,1.0
2022-11-29 20:00:00,100800.40243274381,305.0303599096371,42.99856705905119,2.54662,0.00132,1.0
2022-11-29 21:00:00,100767.38948506859,304.8376921552651,44.46577806635851,2.55487,0.00122,1.0
2022-11-29 22:00:00,100796.81406886608,302.0604302641175,43.3962113299231,2.55103,0.00127,1.0
