,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-11-27 00:00:00,101232.44144362383,294.4051711372768,45.14895575227995,2.583501030927835,0.0023419027049189607,2.0
2022-11-27 01:00:00,101353.54872449758,294.61316473574664,45.787091830388675,2.59006,0.00076,1.0
2022-11-27 02:00:00,101398.04443658158,294.7237297538806,46.73137825332891,2.59685,0.00069,1.0
2022-11-27 03:00:00,101456.89360417653,294.6668051900889,45.51674483085776,2.59069,0.00065,1.0
2022-11-27 04:00:00,101461.5584772176,294.58798656330026,46.125664035966345,2.59464,0.00062,1.0
2022-11-27 05:00:00,101414.55091041919,294.4774215451663,45.53225312105488,2.58997,0.00063,1.0
2022-11-27 06:00:00,101360.00777947753,294.3996976215276,45.1831955294472,2.58662,0.00064,1.0
2022-11-27 07:00:00,101310.4883579647,294.3318260262374,44.24767324482641,2.57973,0.00053,1.0
2022-11-27 08:00:00,101290.57293844323,294.30336374434154,45.03606807620024,2.5842,0.00062,1.0
2022-11-27 09:00:00,101297.74966619871,294.2946061191428,44.82054168922354,2.58303,0.00054,1.0
2022-11-27 10:00:00,101331.12145026171,294.1807569915593,42.584532484918846,2.56997,0.00052,1.0
2022-11-27 11:00:00,101380.82028996843,294.3318260262374,41.91362834896346,2.5668200000000003,0.00055,1.0
2022-11-27 12:00:00,101445.23142157387,294.47851624831617,40.37513818659683,2.55862,0.00054,1.0
2022-11-27 13:00:00,101518.43404467979,294.57703953180186,40.96790403983027,2.5639000000000003,0.00054,1.0
2022-11-27 14:00:00,101558.80313830437,294.7116880192324,42.06539392106016,2.57154,0.00054,1.0
2022-11-27 15:00:00,101611.37266911328,294.7631390672749,40.61772125430418,2.56371,0.00059,1.0
2022-11-27 16:00:00,101574.05368478477,294.7193509412813,39.875162775822254,2.55828,0.00053,1.0
2022-11-27 17:00:00,101551.26757416112,294.7116880192324,39.16876549829366,2.55338,0.00053,1.0
2022-11-27 18:00:00,101443.07840324723,294.7237297538806,39.29262532679219,2.55168,0.00062,1.0
2022-11-27 19:00:00,101337.40108704775,294.6897939562355,39.949780578825795,2.55338,0.00059,1.0
2022-11-27 20:00:00,101243.74478983872,294.7062145034832,39.903358268333136,2.55095,0.0006,1.0
2022-11-27 21:00:00,101167.13322104895,294.59236537589965,40.19881363475786,2.55112,0.00059,1.0
