,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-11-27 00:00:00,102114.10244838479,294.89340874210603,26.579572362968012,2.4558580565937,0.0016919968133038263,2.0
2022-11-27 01:00:00,102142.9887776006,294.56609250030345,25.62278444898082,2.45071,0.0009,1.0
2022-11-27 02:00:00,102172.41336139808,294.051582019878,25.01118033376004,2.44779,0.00096,1.0
2022-11-27 03:00:00,102144.96237773336,293.66405710483417,25.163725192073816,2.44829,0.00107,1.0
2022-11-27 04:00:00,102096.87830177163,293.3126573937351,23.262432854868162,2.43551,0.00096,1.0
2022-11-27 05:00:00,102072.2980092091,292.8474085550525,22.60488193285885,2.43104,0.00096,1.0
2022-11-27 06:00:00,102029.4170608701,293.2020923756011,22.338651854108555,2.42828,0.00098,1.0
2022-11-27 07:00:00,102020.98440575741,292.9875305582322,23.136265520013314,2.43315,0.00087,1.0
2022-11-27 08:00:00,102030.49357003343,292.7992416164595,22.140215303540362,2.4272200000000006,0.00105,1.0
2022-11-27 09:00:00,102086.2926283323,293.0543074503725,21.020603819712196,2.42139,0.00092,1.0
2022-11-27 10:00:00,102100.28724745549,294.57813423495173,21.51542779134759,2.42423,0.00096,1.0
2022-11-27 11:00:00,102132.0442677735,295.8950621242109,22.68479392960354,2.4317,0.00088,1.0
2022-11-27 12:00:00,102154.83037839715,297.4856658009304,22.80588780450708,2.43235,0.0009,1.0
2022-11-27 13:00:00,102141.19459566173,298.8190142374372,24.278564413810876,2.44058,0.00093,1.0
2022-11-27 14:00:00,102129.1735766713,300.21257134718525,25.71867618561567,2.44856,0.00103,1.0
2022-11-27 15:00:00,102098.49306551661,300.6187062157764,25.790771495258355,2.44814,0.00097,1.0
2022-11-27 16:00:00,102045.38528012605,300.9679165205758,26.02493667102716,2.44823,0.00088,1.0
2022-11-27 17:00:00,101996.224695001,300.9109919567841,27.38882959747391,2.45548,0.00091,1.0
2022-11-27 18:00:00,101948.85829181482,300.0812069692043,26.28230406596514,2.44802,0.00103,1.0
2022-11-27 19:00:00,101892.87981532206,300.0779228597548,26.266687091478648,2.44667,0.00105,1.0
2022-11-27 20:00:00,101866.86417720844,299.9826836857186,25.541778969777404,2.44169,0.00108,1.0
2022-11-27 21:00:00,101846.94875768697,299.23828554382646,23.201050079312225,2.4272,0.00107,1.0
2022-11-27 22:00:00,101857.35501293243,297.3345967662523,24.71737197747246,2.43752,0.00104,1.0
2022-11-27 23:00:00,101915.48650775182,295.42433976977907,23.505619608299064,2.43211,0.00097,1.0
2022-11-28 00:00:00,101953.52316485588,294.30993196324056,20.93061332423368,2.4174,0.0015,1.0
2022-11-28 01:00:00,101974.69451173455,293.4768628662113,20.259295694072005,2.41399,0.00119,1.0
2022-11-28 02:00:00,101998.19829513376,292.8101886479579,18.479743669460916,2.40364,0.00161,1.0
2022-11-28 03:00:00,101960.1616380297,292.0800216470137,17.432744469769776,2.39647,0.0014,1.0
2022-11-28 04:00:00,101858.79035848351,291.81948229735144,18.04549219822881,2.39811,0.00122,1.0
2022-11-28 05:00:00,101808.01500961349,291.3126347389749,16.868298220750223,2.38975,0.00118,1.0
2022-11-28 06:00:00,101779.66693497932,291.4768402114511,16.07094917484847,2.38407,0.0014,1.0
2022-11-28 07:00:00,101710.05267575115,291.49216605554886,17.612096132576653,2.39216,0.00122,1.0
2022-11-28 08:00:00,101711.30860310837,291.2655625035317,18.481811205224727,2.39771,0.00175,1.0
2022-11-28 09:00:00,101759.2132608762,291.5852158232854,19.88952322574556,2.4075,0.00141,1.0
2022-11-28 10:00:00,101794.91748145974,294.27380675929584,19.900533505979155,2.40745,0.00131,1.0
2022-11-28 11:00:00,101838.51610257429,295.44732853592575,20.27795267565168,2.41037,0.00112,1.0
2022-11-28 12:00:00,101852.51072169747,297.0379322126453,21.582552242407868,2.41819,0.00114,1.0
2022-11-28 13:00:00,101801.55595463354,298.0461538136492,23.44766725012007,2.42816,0.00122,1.0
2022-11-28 14:00:00,101719.74125822105,299.2098232619306,25.883050288262883,2.44081,0.00134,1.0
2022-11-28 15:00:00,101639.54132555354,300.3537880535148,23.46290920258586,2.42372,0.00118,1.0
2022-11-28 16:00:00,101550.90873777334,301.25472874583426,22.449328516030523,2.4152,0.00115,1.0
2022-11-28 17:00:00,101477.52669647353,301.67290534907363,22.94166256480811,2.4164,0.00141,1.0
2022-11-28 18:00:00,101408.98894640869,301.7298299128654,23.596348315740173,2.41883,0.00127,1.0
2022-11-28 19:00:00,101356.2399974059,301.38171431121583,23.91424335398255,2.41972,0.00137,1.0
2022-11-28 20:00:00,101354.98407004868,300.6099485905777,23.2163196595918,2.41573,0.00131,1.0
2022-11-28 21:00:00,101350.6780333954,299.2120126682303,24.31824555731196,2.42293,0.00139,1.0
2022-11-28 22:00:00,101348.70443326264,296.7051424550935,23.132285513166284,2.41658,0.00131,1.0
2022-11-28 23:00:00,101361.98137961028,295.14847457601905,23.608406716220173,2.42044,0.00134,1.0
2022-11-29 00:00:00,101420.65112901134,294.20812457030536,22.401699878533158,2.41463,0.00196,1.0
2022-11-29 01:00:00,101441.46363950224,293.43526414651734,22.33701375977167,2.41499,0.00088,1.0
2022-11-29 02:00:00,101435.36342091009,292.81456746055727,20.32804625976215,2.40255,0.00096,1.0
2022-11-29 03:00:00,101395.71200006104,292.0909686785121,20.970075072045976,2.40593,0.00094,1.0
2022-11-29 04:00:00,101321.79170417957,291.74723188946194,22.13181366571582,2.41167,0.00093,1.0
2022-11-29 05:00:00,101242.6682806754,291.3794116311152,21.013979651735088,2.40303,0.00103,1.0
2022-11-29 06:00:00,101142.01467390476,290.92073101133167,20.467515412705566,2.39751,0.00103,1.0
2022-11-29 07:00:00,101125.68761826103,290.6404870049723,19.79023139985843,2.39299,0.00086,1.0
2022-11-29 08:00:00,101178.07773087606,290.44672454745034,18.99735424417292,2.38925,0.00096,1.0
2022-11-29 09:00:00,101240.87409873652,290.71602152231134,20.013497756447894,2.39695,0.00084,1.0
2022-11-29 10:00:00,101318.92101307739,294.00779389388435,19.868121111692187,2.39666,0.00095,1.0
2022-11-29 11:00:00,101336.8628324661,295.66079565014485,21.872652720832146,2.40892,0.00091,1.0
2022-11-29 12:00:00,101339.73352356828,297.1922853567729,22.945963440723652,2.41504,0.00096,1.0
2022-11-29 13:00:00,101289.31701108602,298.50592913658255,24.240302334984666,2.42136,0.00089,1.0
2022-11-29 14:00:00,101215.39671520457,299.586401145476,25.050255796662125,2.42423,0.00108,1.0
2022-11-29 15:00:00,101128.19947297545,301.132121993052,24.436621345095276,2.41789,0.00091,1.0
2022-11-29 16:00:00,101034.18433937864,301.808648539654,25.626813062149893,2.42276,0.00088,1.0
2022-11-29 17:00:00,100955.95800684388,302.6351494177842,25.26336635775357,2.41845,0.00092,1.0
2022-11-29 18:00:00,100890.11152968733,302.2881285192845,24.496458616888255,2.41245,0.00102,1.0
2022-11-29 19:00:00,100783.17828613066,301.9498652459835,23.500231944677665,2.40412,0.00106,1.0
2022-11-29 20:00:00,100801.47894190713,301.4134607025612,25.948985474261196,2.41967,0.00103,1.0
2022-11-29 21:00:00,100801.65836010102,300.1151427668494,25.025933175494142,2.41458,0.00118,1.0
2022-11-29 22:00:00,100817.08832477531,297.564484427719,23.327093529220384,2.40552,0.00101,1.0
2022-11-29 23:00:00,100871.81087391086,295.43857091072704,24.163912677969844,2.41277,0.00097,1.0
2022-11-30 00:00:00,100895.31465731007,294.1698099600609,22.53531275820027,2.40369,0.00154,1.0
2022-11-30 01:00:00,100883.47305651353,293.36958195752686,20.803761262363757,2.39294,0.00095,1.0
2022-11-30 02:00:00,100897.10883924893,293.0422657157243,17.799494188166072,2.37462,0.00104,1.0
2022-11-30 03:00:00,100900.51778493279,292.7040024424233,20.248024409330366,2.39009,0.00101,1.0
2022-11-30 04:00:00,100867.86367364535,292.4631677494582,22.064174057953732,2.40079,0.00099,1.0
2022-11-30 05:00:00,100777.61632212016,292.4971035471033,23.569838237143497,2.40816,0.00098,1.0
2022-11-30 06:00:00,100775.82214018129,292.2070072123953,24.149118201299117,2.41186,0.00102,1.0
2022-11-30 07:00:00,100775.10446740573,292.13147269505623,23.5342895466136,2.40803,0.00095,1.0
2022-11-30 08:00:00,100840.41268998063,292.2026283997959,25.32277787206933,2.42065,0.00111,1.0
2022-11-30 09:00:00,100849.0247632872,292.5157135006506,24.857581083616864,2.4178,0.00102,1.0
2022-11-30 10:00:00,100912.53880392322,294.9930267287416,24.34496919510751,2.41499,0.00098,1.0
2022-11-30 11:00:00,100930.8394596997,296.28587114870425,23.926513352790916,2.41228,0.00102,1.0
2022-11-30 12:00:00,100935.86316912854,298.21802220817426,25.063432449254975,2.41861,0.00104,1.0
2022-11-30 13:00:00,100908.77102185159,299.4889725651401,26.934217433174396,2.42894,0.001,1.0
2022-11-30 14:00:00,100835.56839874567,300.21804486293445,26.8798145196744,2.42664,0.00113,1.0
2022-11-30 15:00:00,100807.5791604993,301.1868571505441,27.126753140020416,2.42709,0.00096,1.0
2022-11-30 16:00:00,100757.5214844048,302.3352007547277,28.930614376572624,2.43643,0.00099,1.0
2022-11-30 17:00:00,100673.73318785956,302.7752714209639,30.62044809429539,2.44461,0.0011,1.0
2022-11-30 18:00:00,100592.63616422261,302.5464784626471,29.116287145845156,2.4337600000000004,0.00106,1.0
2022-11-30 19:00:00,100537.01652411763,302.71506274772264,30.447192500359613,2.44052,0.00119,1.0
2022-11-30 20:00:00,100538.27245147484,301.59408672228506,35.489534107537544,2.47184,0.00113,1.0
2022-11-30 21:00:00,100573.07958108892,300.0812069692043,35.59501281490705,2.47415,0.00115,1.0
2022-11-30 22:00:00,100589.9448913143,298.0560061419977,36.50725512080849,2.48134,0.0011,1.0
2022-11-30 23:00:00,100617.39587497902,296.90766253781413,35.28927326444081,2.47514,0.0011,1.0
2022-12-01 00:00:00,100705.13137178979,295.73085665173465,33.59555767249669,2.46732,0.00185,1.0
2022-12-01 01:00:00,100822.11203420415,295.10797055947495,32.4156899410133,2.46298,0.00094,1.0
