,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-12-01 01:00:00,100794.84046873331,297.62140899151075,50.75281903934544,2.50537,0.0011,1.0
2022-12-01 02:00:00,100903.92673061664,297.48457109778053,51.07903423984399,2.50987,0.00095,1.0
2022-12-01 03:00:00,100926.89225943419,296.53874757631763,48.85196443436635,2.49742,0.00102,1.0
2022-12-01 04:00:00,100898.54418480003,296.3975308699881,49.7110253296929,2.50223,0.00091,1.0
2022-12-01 05:00:00,100873.42563765585,297.0007123055507,45.802915114422184,2.47706,0.00098,1.0
2022-12-01 06:00:00,100809.91159701983,296.6383655629532,46.10439962222695,2.47782,0.00115,1.0
2022-12-01 07:00:00,100706.387299147,296.6536914070509,45.1952568466117,2.46994,0.00106,1.0
2022-12-01 08:00:00,100666.73587829796,296.7423623621881,46.247758873453584,2.47551,0.00099,1.0
2022-12-01 09:00:00,100715.53762703524,296.632892047204,44.516213930545554,2.46596,0.00097,1.0
2022-12-01 10:00:00,100812.42345173424,296.7204682991913,46.46369912321323,2.48003,0.00102,1.0
2022-12-01 11:00:00,100889.2144387179,296.9120413504135,46.82159370040434,2.48376,0.00138,1.0
2022-12-01 12:00:00,100992.73873659073,297.1769595126751,45.06693309622387,2.47498,0.00098,1.0
2022-12-01 13:00:00,101103.43976221904,296.839790942524,41.58572109941804,2.45615,0.00097,1.0
2022-12-01 14:00:00,101138.24689183313,298.19831755147715,42.873182524212226,2.46388,0.00094,1.0
2022-12-01 15:00:00,101063.78834137,299.62690516202014,41.149584836123076,2.45068,0.00112,1.0
2022-12-01 16:00:00,100993.81524575406,300.97776884892437,41.649091726662554,2.45129,0.00115,1.0
2022-12-01 17:00:00,100880.24352902354,301.0741027261104,41.98111449391286,2.45078,0.00122,1.0
2022-12-01 18:00:00,100761.64810286422,301.0817656481593,44.21834075103109,2.46185,0.00153,1.0
2022-12-01 19:00:00,100661.53275067524,300.9646324111263,48.98985646689447,2.48889,0.00141,1.0
2022-12-01 20:00:00,100636.95245811272,300.70628246776374,48.62428542873273,2.48633,0.00111,1.0
2022-12-01 21:00:00,100616.85762039736,299.93780085657505,48.5802622519796,2.48624,0.00127,1.0
2022-12-01 22:00:00,100694.18686196268,298.3909853058492,48.75262804790074,2.49023,0.00116,1.0
2022-12-01 23:00:00,100761.28926647644,298.1654764569819,46.41300449901855,2.47748,0.0012,1.0
2022-12-02 00:00:00,100853.68963632827,297.4112259867412,46.647259826545245,2.48152,0.00155,1.0
2022-12-02 01:00:00,100938.55444203684,296.5967668432592,47.8458643714106,2.49141,0.00131,1.0
2022-12-02 02:00:00,100934.60724177133,296.84416975512335,45.856120103587195,2.47884,0.0011,1.0
2022-12-02 03:00:00,100911.4622947599,297.2251264512681,41.58337881227242,2.45169,0.0014,1.0
2022-12-02 04:00:00,100844.53930844003,297.4145100961907,41.720935660267465,2.45095,0.00122,1.0
2022-12-02 05:00:00,100802.37603287658,296.4555501369297,38.545612790155964,2.43108,0.00124,1.0
2022-12-02 06:00:00,100766.1335577114,295.93994495335437,40.827418173837664,2.44475,0.00136,1.0
2022-12-02 07:00:00,100734.73537378115,296.0899192848826,41.568756485127054,2.44855,0.00107,1.0
2022-12-02 08:00:00,100753.93312052707,295.9881118919474,41.68200813616445,2.44974,0.00121,1.0
2022-12-02 09:00:00,100828.03283460242,295.67174268164325,40.65114310891753,2.44519,0.00101,1.0
2022-12-02 10:00:00,100840.05385359285,297.05106865044337,40.80255610002535,2.44544,0.00116,1.0
2022-12-02 11:00:00,100931.19829608747,297.2557781394637,40.20220483417539,2.44358,0.00129,1.0
2022-12-02 12:00:00,101039.74630338914,297.11237202683446,38.42442665685122,2.43507,0.00099,1.0
2022-12-02 13:00:00,101134.83794614927,297.6257878041101,37.506113535940734,2.43115,0.00121,1.0
2022-12-02 14:00:00,101170.90100312057,299.43971092339723,38.114420883093345,2.43453,0.00127,1.0
2022-12-02 15:00:00,101122.81692715884,300.5584975425351,37.04459937887074,2.42624,0.00119,1.0
2022-12-02 16:00:00,100985.74142702913,301.3510626230203,39.11778445745979,2.43542,0.00114,1.0
2022-12-02 17:00:00,100897.10883924893,302.2443403932908,39.59606377536207,2.43583,0.00133,1.0
2022-12-02 18:00:00,100761.8275210581,302.8584688603519,41.58621834344206,2.44458,0.00177,1.0
2022-12-02 19:00:00,100699.38998958541,303.26022491634365,42.0888333464582,2.446,0.00212,1.0
2022-12-02 20:00:00,100672.11842411457,303.4419456392173,43.897118561988265,2.45625,0.0029,1.0
2022-12-02 21:00:00,100660.45624151191,303.32152829273474,45.05714147734773,2.46312,0.00189,1.0
2022-12-02 22:00:00,100796.99348705995,300.16549911174206,39.17375508871158,2.43242,0.00128,1.0
2022-12-02 23:00:00,100851.17778161385,299.358702890309,43.09543953173282,2.45817,0.00144,1.0
2022-12-03 00:00:00,100914.51240405597,298.6307252956645,43.30713323533996,2.46137,0.00204,1.0
2022-12-03 01:00:00,100978.92353566142,297.35101731349994,45.93014387817894,2.47987,0.00138,1.0
2022-12-03 02:00:00,101051.94674057346,296.9043784283646,49.935746560879835,2.5065300000000006,0.00217,1.0
2022-12-03 05:00:00,101101.2867438924,296.1807796463195,50.929684397012174,2.51436,0.00568,1.0
2022-12-03 06:00:00,101069.3503053805,295.6651744627442,44.96110961511881,2.47714,0.00219,1.0
2022-12-03 07:00:00,100997.22419143791,295.6651744627442,42.84761273554044,2.46248,0.00281,1.0
2022-12-03 08:00:00,101012.47473791831,295.0017843539403,44.30219293486822,2.47232,0.0019,1.0
2022-12-03 09:00:00,101002.42731906063,294.4237810908241,43.935770230525584,2.47026,0.00126,1.0
2022-12-03 10:00:00,101048.17895850183,294.90982928935364,42.83671110496474,2.46407,0.00126,1.0
2022-12-03 11:00:00,101113.30776288283,295.37069931543687,39.30523897065918,2.44326,0.00148,1.0
2022-12-03 12:00:00,101221.49693379672,295.8173382005721,38.96345164180528,2.4432,0.00136,1.0
2022-12-03 13:00:00,101303.67046659699,297.03683750949546,37.51691139918278,2.43526,0.00116,1.0
2022-12-03 14:00:00,101333.9921413639,300.16659381489194,37.839960150823146,2.43594,0.00104,1.0
2022-12-03 15:00:00,101296.67315703539,300.77853287565324,38.07301795514833,2.43617,0.00104,1.0
2022-12-03 16:00:00,101211.27009674515,301.7900385861067,37.990952996590764,2.4331800000000006,0.00105,1.0
2022-12-03 17:00:00,101085.31852463644,302.830006578456,38.600810806876936,2.4335,0.00157,1.0
