,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-12-04 00:00:00,101546.9340408649,290.0750294531208,26.168259340519768,2.1915,0.00126,1.0
2022-12-04 01:00:00,101603.7489013169,289.38219744364613,15.279897220183669,2.12433,0.00077,1.0
2022-12-04 02:00:00,101682.90668441854,288.9349115540019,20.335254218524508,2.15793,0.00079,1.0
2022-12-04 03:00:00,101710.19696851204,288.80464530263646,17.554812192771013,2.14097,0.00079,1.0
2022-12-04 04:00:00,101661.20213098744,288.6259615065157,17.007389714195476,2.13659,0.00089,1.0
2022-12-04 05:00:00,101629.60285466864,288.5959887407148,18.993070148744643,2.14851,0.00087,1.0
2022-12-04 06:00:00,101565.76593281247,288.37810978931594,17.82078632232327,2.1399,0.00073,1.0
2022-12-04 07:00:00,101527.9425566127,288.4530417038182,16.685808925246217,2.13195,0.00064,1.0
2022-12-04 08:00:00,101466.02074241222,288.10374370236923,18.621543230774353,2.14306,0.00067,1.0
2022-12-04 09:00:00,101477.03261143241,287.5988178784925,19.054753657575457,2.14619,0.00059,1.0
2022-12-04 10:00:00,101436.17698144447,287.4005365047327,19.532643942389107,2.14847,0.00066,1.0
2022-12-04 11:00:00,101504.64208013519,287.1907271441264,23.940604843489147,2.17786,0.00063,1.0
2022-12-04 12:00:00,101559.06305601758,287.54463634031396,24.01860068423752,2.17929,0.00066,1.0
2022-12-04 13:00:00,101616.67587799276,288.8334652697527,27.54316161632769,2.20214,0.00067,1.0
2022-12-04 14:00:00,101662.15968481528,292.2492077723708,29.72499540232817,2.21505,0.0007,1.0
2022-12-04 15:00:00,101677.79973067004,292.9950685213394,28.838661776765225,2.20945,0.00085,1.0
2022-12-04 16:00:00,101594.49254764775,293.84122275587254,26.851724598675236,2.195,0.00078,1.0
2022-12-04 17:00:00,101512.62169536723,294.1605479915206,28.21688345874352,2.20171,0.00096,1.0
2022-12-04 18:00:00,101447.02925816001,294.1017552586035,35.716331281438535,2.24708,0.00076,1.0
2022-12-04 19:00:00,101335.633829521,294.09138007044163,32.09734120094418,2.22235,0.00076,1.0
2022-12-04 20:00:00,101274.19079223444,293.4850079623157,29.379275368777815,2.20452,0.0008,1.0
2022-12-04 21:00:00,101259.82748481681,292.9754709437004,27.103547517202465,2.19029,0.00086,1.0
2022-12-04 22:00:00,101274.19079223444,292.7114800449155,27.153227198920312,2.19101,0.00074,1.0
2022-12-04 23:00:00,101360.37063674026,291.2843152733187,27.853493277457883,2.19779,0.00078,1.0
2022-12-05 00:00:00,101428.51655082172,290.5107873559185,26.381967878817107,2.19028,0.0013,1.0
2022-12-05 01:00:00,101536.72013336793,289.5124636950116,21.820036667539487,2.16416,0.00073,1.0
2022-12-05 02:00:00,101584.91700936932,288.73432458287283,24.037405658118015,2.17942,0.00069,1.0
2022-12-05 03:00:00,101635.50776994033,288.5256680209512,28.047299776136164,2.20585,0.00069,1.0
2022-12-05 04:00:00,101624.65549322478,289.0559554158902,29.63074596067021,2.21536,0.00077,1.0
2022-12-05 05:00:00,101563.21245593824,288.90493878820104,28.939493809368575,2.20985,0.00081,1.0
2022-12-05 06:00:00,101519.16497985748,288.61904471440783,28.097710298232737,2.2038,0.00067,1.0
2022-12-05 07:00:00,101448.14640429249,288.2109539800417,26.771623899468057,2.1942,0.00057,1.0
2022-12-05 08:00:00,101356.22123681962,288.2570659274277,25.681260201063868,2.18545,0.00062,1.0
2022-12-05 09:00:00,101334.0379064746,287.4846908087122,23.79384764166536,2.1734,0.00062,1.0
2022-12-05 10:00:00,101310.25865308318,287.91583751677126,26.203150087016816,2.18799,0.00058,1.0
2022-12-05 11:00:00,101333.39953725605,287.7613624930282,25.94828275938365,2.18691,0.00052,1.0
2022-12-05 12:00:00,101419.89856637114,287.84551679700763,25.097027432720335,2.18321,0.00049,1.0
2022-12-05 13:00:00,101511.18536462546,289.08477538300644,22.46306605207424,2.16787,0.00059,1.0
2022-12-05 14:00:00,101564.01041746142,291.2070777614472,22.867863049159315,2.17063,0.00059,1.0
2022-12-05 15:00:00,101562.57408671967,292.8428990949656,22.569110338569445,2.16809,0.00061,1.0
2022-12-05 16:00:00,101527.62337200342,293.6244966031583,23.35103555958623,2.17196,0.00066,1.0
2022-12-05 17:00:00,101449.42314272962,294.64241784170434,22.426413916756974,2.16425,0.00076,1.0
2022-12-05 18:00:00,101350.47591385257,295.1404268734732,24.06354588703238,2.17224,0.00057,1.0
2022-12-05 19:00:00,101256.79523102865,295.25340114456884,22.551853407641904,2.16095,0.00059,1.0
2022-12-05 20:00:00,101209.39631655044,295.3536946301334,20.061957760442922,2.14453,0.0007,1.0
2022-12-05 21:00:00,101192.6391245632,294.63319545222714,21.076008900724656,2.15074,0.00057,1.0
2022-12-05 22:00:00,101221.0465547892,292.723008031762,20.410377967836926,2.14784,0.00055,1.0
2022-12-05 23:00:00,101286.6389919964,290.8427933770978,19.866571307339253,2.1464,0.0006,1.0
2022-12-06 00:00:00,101389.7356207941,290.32057557295127,19.91770446757758,2.14896,0.00123,1.0
2022-12-06 01:00:00,101477.83057295562,289.48133813052607,16.259166552452047,2.12796,0.00088,1.0
2022-12-06 02:00:00,101595.29050917095,288.7147270052338,14.443596309136218,2.11906,0.00087,1.0
2022-12-06 03:00:00,101598.80153987303,288.3008722774444,11.28831872957327,2.09929,0.00088,1.0
2022-12-06 04:00:00,101598.16317065447,288.06800694314506,12.20941570721702,2.10515,0.00087,1.0
2022-12-06 05:00:00,101562.41449441503,287.66337460483294,12.567270852875728,2.10679,0.00088,1.0
2022-12-06 06:00:00,101505.91881857232,287.68412498115663,15.159146453206263,2.12207,0.00072,1.0
2022-12-06 07:00:00,101448.30599659713,287.333674181023,16.78664747424914,2.13133,0.00062,1.0
2022-12-06 08:00:00,101419.7389740665,287.0777528730307,16.72420167110494,2.13044,0.00059,1.0
2022-12-06 09:00:00,101406.81199739063,287.20110233228826,17.163371501012893,2.13293,0.00061,1.0
2022-12-06 10:00:00,101381.27722864816,287.0800584704,18.533839560389396,2.14115,0.0006,1.0
2022-12-06 11:00:00,101457.72194257092,287.30485421390676,21.989967086154984,2.16451,0.00053,1.0
2022-12-06 12:00:00,101511.50454923474,287.4454956534341,23.48944783781546,2.17503,0.00048,1.0
2022-12-06 13:00:00,101601.99338596585,289.2634591791272,20.752811194864655,2.15883,0.00051,1.0
2022-12-06 14:00:00,101653.38210806006,292.37140443294373,20.936248328023517,2.15988,0.00056,1.0
2022-12-06 15:00:00,101685.46016129278,292.9812349371236,21.247085300844358,2.16224,0.00072,1.0
2022-12-06 16:00:00,101632.47551615216,293.57377346103374,21.502900918733783,2.16256,0.00076,1.0
