,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-12-04 01:00:00,101179.71214788733,295.73181259869864,36.78268727232371,2.5191,0.0074,1.0
2022-12-04 02:00:00,101265.41321547923,295.1127597050416,35.55321040916375,2.5138,0.0075,1.0
2022-12-04 03:00:00,101313.13131456671,294.8660607865264,35.99948893058234,2.5178,0.0082,1.0
2022-12-04 04:00:00,101272.4352768834,294.528290771924,38.85056319811506,2.5348,0.0076,1.0
2022-12-04 05:00:00,101237.80374677644,294.3484541771186,41.692277758970036,2.5518,0.0086,1.0
2022-12-04 06:00:00,101166.46598660217,293.8723483203581,42.41144509469655,2.555,0.0084,1.0
2022-12-04 07:00:00,101122.09932591213,294.12826962835044,42.940410962514704,2.5571,0.0072,1.0
2022-12-04 08:00:00,101074.5408191293,293.48846635836964,43.18225454148826,2.558,0.0074,1.0
2022-12-04 09:00:00,101074.5408191293,293.1437795516593,45.1294498377711,2.5704,0.0066,1.0
2022-12-04 10:00:00,101037.51540445272,293.3558945096349,45.001552712627436,2.5686,0.007,1.0
2022-12-04 11:00:00,101100.2351801764,293.0792228253189,45.95792140397005,2.5762,0.006,1.0
2022-12-04 12:00:00,101160.72066363512,293.39163126885904,45.68142842659709,2.5756,0.0064,1.0
2022-12-04 13:00:00,101235.40986220683,294.5594163364095,45.427190549166866,2.5748,0.0063,1.0
2022-12-04 14:00:00,101293.18227648665,298.2183993614888,46.418092220011104,2.5794,0.0071,1.0
2022-12-04 15:00:00,101314.88682991776,299.21211182765717,46.430558039193784,2.5792,0.0082,1.0
2022-12-04 16:00:00,101276.74426910869,299.77006639102774,49.84155651473898,2.5988,0.0079,1.0
2022-12-04 17:00:00,101178.11622484092,300.27038102016587,49.260509387710535,2.5926,0.0079,1.0
2022-12-04 18:00:00,101153.21982531702,299.94183339504065,47.871580449230485,2.5838,0.0081,1.0
2022-12-04 19:00:00,101030.65293535318,300.42139764785503,48.76369024992957,2.5861,0.0074,1.0
2022-12-04 20:00:00,100962.826205881,298.97924649335783,46.91816259656296,2.5744,0.0076,1.0
2022-12-04 21:00:00,100939.04695248959,298.9757880973039,46.76108782962457,2.5729,0.0071,1.0
2022-12-04 22:00:00,100957.2404752186,298.21955216017346,50.51636062150447,2.597,0.0077,1.0
2022-12-04 23:00:00,100996.97895907405,297.29385481639946,53.243558689336155,2.6155,0.0079,1.0
2022-12-05 01:00:00,101141.7291793829,295.2741515208926,47.87429929655094,2.5873,0.0065,1.0
2022-12-05 02:00:00,101196.9481167885,294.50869319428494,47.009474814717706,2.5838,0.007,1.0
2022-12-05 03:00:00,101235.72904681611,294.4741092337454,46.380926391464136,2.5808,0.0072,1.0
2022-12-05 04:00:00,101220.24859326599,294.5213739798161,45.12363685838855,2.5726,0.0068,1.0
2022-12-05 05:00:00,101168.70027886714,293.9438218388064,45.368285344949236,2.5734,0.0075,1.0
2022-12-05 06:00:00,101111.2470491966,293.9276826572213,44.04887253561813,2.5639,0.0074,1.0
2022-12-05 07:00:00,101041.18602745945,293.4354376188757,43.32925355577806,2.5582,0.0064,1.0
2022-12-05 08:00:00,100968.41193654342,293.4896191570543,42.6212324787459,2.5521,0.0066,1.0
2022-12-05 09:00:00,100958.99599056963,293.1979610898378,44.04841521465043,2.561,0.0058,1.0
2022-12-05 10:00:00,100947.66493694017,293.72017889398427,42.77188990362184,2.5524,0.0062,1.0
2022-12-05 11:00:00,100990.91445149772,293.4896191570543,43.40607725120643,2.5575,0.0054,1.0
2022-12-05 12:00:00,101111.88541841516,293.62564940184296,45.101716372595845,2.5707000000000004,0.0058,1.0
2022-12-05 13:00:00,101227.90902388873,294.7507809180614,45.71995092012382,2.5763,0.0056,1.0
2022-12-05 14:00:00,101299.246784063,296.76356742146044,46.06680767279753,2.5785,0.0066,1.0
2022-12-05 15:00:00,101284.08551512215,298.7048804064111,46.44780240707648,2.579,0.0075,1.0
2022-12-05 16:00:00,101239.08048521356,299.38157323430073,48.54209107155026,2.5903,0.0076,1.0
2022-12-05 19:00:00,100966.49682888774,300.9171010822546,48.772048134090824,2.5843,0.0081,1.0
2022-12-05 20:00:00,100873.45451528237,300.4202448491704,49.67283419016882,2.5881,0.0071,1.0
2022-12-05 21:00:00,100843.1319774007,300.06057165955957,49.295690052651395,2.5854,0.0061,1.0
2022-12-05 22:00:00,100924.36446046268,299.0219000446899,49.232438359776175,2.5877,0.0069,1.0
2022-12-05 23:00:00,100927.71589886011,297.6143328507322,49.37328416256695,2.5898,0.0068,1.0
2022-12-06 01:00:00,101110.12990306411,295.3779034025111,46.406264808745085,2.5774,0.0068,1.0
2022-12-06 02:00:00,101198.38444753025,294.39917731924317,45.81563802360989,2.5765,0.0069,1.0
2022-12-06 03:00:00,101205.40650893444,294.2758278599856,43.31380266426187,2.5612,0.0072,1.0
2022-12-06 04:00:00,101199.34200135809,293.6694557518597,42.798125119867414,2.5583,0.0072,1.0
2022-12-06 05:00:00,101156.57126371446,293.19104429772995,41.838806065456616,2.5517,0.0077,1.0
