,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-12-04 00:00:00,101308.18395312285,292.0232592301794,23.22160605368691,2.41486,0.00245,1.0
2022-12-04 01:00:00,101367.23310583981,291.2013137680239,27.343510989690262,2.44236,0.00146,1.0
2022-12-04 02:00:00,101384.62866704562,290.9361700705544,24.698838689021517,2.42628,0.00128,1.0
2022-12-04 03:00:00,101399.47075137717,290.96499003767065,25.113185264026026,2.4292,0.0012,1.0
2022-12-04 04:00:00,101375.69149798575,290.7932230336578,24.725728213831992,2.42631,0.00141,1.0
2022-12-04 05:00:00,101332.92076034212,290.57073288752036,25.40906696818544,2.42974,0.00094,1.0
2022-12-04 06:00:00,101267.16873083026,290.6537343928152,26.063482530986775,2.43234,0.00094,1.0
2022-12-04 07:00:00,101214.82245490821,290.7667086639109,25.041508523204357,2.4247,0.00113,1.0
2022-12-04 08:00:00,101167.7427250393,291.16327141143046,24.91670862473033,2.42269,0.00118,1.0
2022-12-04 09:00:00,101215.30123182213,291.12984024957564,24.48143960780927,2.42104,0.00112,1.0
2022-12-04 10:00:00,101273.71201532053,291.009949186372,24.652059331397318,2.42347,0.00113,1.0
2022-12-04 11:00:00,101292.86309187737,290.7298191060021,24.163240695530202,2.42095,0.00109,1.0
2022-12-04 12:00:00,101364.20085205164,291.2773984812108,24.278377460178096,2.42304,0.00117,1.0
2022-12-04 13:00:00,101347.92243697832,292.0359400157106,24.94550566965038,2.42653,0.00144,1.0
2022-12-04 14:00:00,101360.84941365418,293.07230603321096,23.814709532376074,2.41932,0.00111,1.0
2022-12-04 15:00:00,101349.19917541544,293.79972200322516,23.713197165107452,2.41813,0.00097,1.0
2022-12-04 16:00:00,101312.17376073886,294.8833527667962,24.097879179899685,2.41925,0.00106,1.0
2022-12-04 17:00:00,101233.81393916042,295.5565871986318,23.484704508607486,2.41342,0.00104,1.0
2022-12-04 18:00:00,101174.44560183419,295.7467989815991,25.129514264230565,2.4222,0.00109,1.0
2022-12-04 19:00:00,101114.11971068011,295.32718026038646,24.818657644302,2.4191,0.0012,1.0
2022-12-04 20:00:00,101049.32523499611,295.0332165958007,24.53463076660943,2.41601,0.00105,1.0
2022-12-04 21:00:00,101041.98398898265,294.340384586326,24.340799954795354,2.41493,0.00121,1.0
2022-12-04 22:00:00,101048.68686577755,293.17836351219876,24.250325173632408,2.415,0.00127,1.0
2022-12-04 23:00:00,101148.11287156852,292.02787042491804,26.69781227497823,2.43302,0.00143,1.0
2022-12-05 00:00:00,101241.31477747852,291.4699158615474,27.544334140949616,2.44067,0.00353,1.0
2022-12-05 01:00:00,101286.00062277784,291.00533799163344,28.514505594816274,2.44798,0.00138,1.0
2022-12-05 02:00:00,101320.31296827552,290.48081459011763,26.980375573472777,2.43937,0.00101,1.0
2022-12-05 03:00:00,101329.25013733539,290.37936830586847,26.936150926591107,2.43934,0.00098,1.0
2022-12-05 04:00:00,101306.90721468574,289.96436077939444,26.166187368283204,2.43419,0.00129,1.0
2022-12-05 05:00:00,101252.16705419407,289.61506277794547,26.38789787529822,2.43452,0.0009,1.0
2022-12-05 06:00:00,101199.50159366273,289.78452418458903,26.300235864351414,2.43271,0.00104,1.0
2022-12-05 07:00:00,101139.3352948133,289.76953780168856,26.487829051162063,2.43255,0.00115,1.0
2022-12-05 08:00:00,101118.42870290541,289.66578592007005,27.07224589152422,2.4358099999999996,0.00105,1.0
2022-12-05 09:00:00,101110.28949536875,289.61736837531475,26.78476179861965,2.43384,0.00105,1.0
2022-12-05 10:00:00,101141.88877168755,290.245643658449,27.100700781308024,2.43624,0.00115,1.0
2022-12-05 11:00:00,101171.09416343675,290.2744636255653,25.48447772748017,2.42672,0.00134,1.0
2022-12-05 12:00:00,101273.55242301589,291.21284175487045,26.631295367737692,2.43579,0.00112,1.0
2022-12-05 13:00:00,101296.21453027482,291.7258371695397,27.036816301551976,2.4386,0.00122,1.0
2022-12-05 14:00:00,101317.28071448735,292.03709281439524,26.792829881946464,2.4374,0.0011,1.0
2022-12-05 15:00:00,101316.00397605024,292.7183968370234,29.323687857288082,2.45286,0.00091,1.0
2022-12-05 16:00:00,101283.9259228175,293.4723271767845,29.177396941356847,2.45085,0.0009,1.0
2022-12-05 17:00:00,101241.15518517388,294.16746478362853,28.890423796155027,2.44776,0.00097,1.0
2022-12-05 18:00:00,101239.2400775182,294.4729564350608,31.571920911376008,2.46423,0.00104,1.0
2022-12-05 19:00:00,101160.88025593976,294.5317491679779,31.750106340662352,2.46355,0.00131,1.0
2022-12-05 20:00:00,101128.6426104024,294.29542543762466,30.866160020108865,2.45746,0.00122,1.0
2022-12-05 21:00:00,101105.66131853417,294.11558884281925,31.382221696402343,2.46025,0.00134,1.0
2022-12-05 22:00:00,101112.84297224299,293.21179467405364,32.08837344300458,2.4653,0.00115,1.0
2022-12-05 23:00:00,101174.92437874811,292.1396918973291,31.691341622851308,2.4648,0.00142,1.0
2022-12-06 00:00:00,101287.4369535196,291.9540913091004,31.13485224559448,2.46394,0.00296,1.0
2022-12-06 01:00:00,101330.68646807715,291.3315800193894,30.740073923162207,2.46277,0.00148,1.0
2022-12-06 02:00:00,101414.31283570873,290.87161334421404,29.674298202650494,2.4582,0.0014,1.0
2022-12-06 03:00:00,101451.65743499459,290.8324181889359,30.22602351112612,2.46252,0.0013,1.0
2022-12-06 04:00:00,101422.61163555003,290.3851322992917,30.470296925497852,2.46364,0.0015,1.0
2022-12-06 05:00:00,101388.9376592709,290.0577374728511,29.52127526253018,2.45709,0.00105,1.0
2022-12-06 06:00:00,101325.10073741473,290.04966788205854,28.56682671579994,2.44966,0.00112,1.0
2022-12-06 07:00:00,101246.7409158363,290.0093199280958,27.40733988633167,2.44063,0.00108,1.0
2022-12-06 08:00:00,101190.40483229823,289.86060889777593,26.48117402769908,2.43361,0.00114,1.0
2022-12-06 09:00:00,101175.08397105275,289.80296896354344,26.45361564118142,2.43312,0.0011,1.0
2022-12-06 10:00:00,101215.78000873605,290.1856981268472,26.73116367406749,2.4356,0.00106,1.0
2022-12-06 11:00:00,101260.46585403537,290.0427510899506,26.497829905433306,2.4352,0.00119,1.0
2022-12-06 12:00:00,101315.20601452704,291.5552229642115,26.36231303893632,2.43488,0.00106,1.0
2022-12-06 13:00:00,101356.38082912426,293.05040285820263,27.55932882632195,2.44259,0.00134,1.0
2022-12-06 14:00:00,101381.11763634352,294.2331743086536,26.624040479791038,2.43677,0.00109,1.0
2022-12-06 15:00:00,101346.48610623655,295.24878994983027,27.26684810821531,2.43952,0.00096,1.0
2022-12-06 16:00:00,101318.2382683152,295.9796643158984,25.67852333140647,2.42872,0.001,1.0
2022-12-06 17:00:00,101270.0413923138,296.65174594904937,25.17845686552976,2.42426,0.00108,1.0
2022-12-06 18:00:00,101211.47101651077,296.61485639114056,26.005024239051917,2.42807,0.00123,1.0
2022-12-06 19:00:00,101208.75794733188,296.4672981595054,26.02866620119054,2.42822,0.00137,1.0
2022-12-06 20:00:00,101140.77162555506,295.5416008157314,27.22875375890565,2.43454,0.00117,1.0
2022-12-06 21:00:00,101139.17570250866,294.92600631812826,28.128005527802106,2.44037,0.00143,1.0
2022-12-06 22:00:00,101122.57810282605,294.2389383020768,28.840844005618646,2.44476,0.00127,1.0
2022-12-06 23:00:00,101187.37257851007,293.30056017277167,29.439993740798997,2.45041,0.00191,1.0
2022-12-07 00:00:00,101278.49978445974,292.38754361452885,29.49537246030746,2.45326,0.00374,1.0
2022-12-07 01:00:00,101409.8442511788,291.9633136985776,32.19803916981065,2.47333,0.00213,1.0
2022-12-07 02:00:00,101496.50287259853,291.74082355244013,28.977348196132162,2.45523,0.00248,1.0
2022-12-07 03:00:00,101548.05118699739,291.24857851409456,31.688469524902796,2.47363,0.00144,1.0
2022-12-07 04:00:00,101536.72013336793,291.2554953062025,32.11874517764342,2.47607,0.00128,1.0
