,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-12-04 00:00:00,97059.83680359513,272.1674546857669,6.7828810235229975,2.24294875331565,0.00019650349408424883,2.0
2022-12-04 01:00:00,97084.41401850976,271.9749373054304,6.313894288182846,2.240424356986163,0.0028816464985615274,3.0
2022-12-04 02:00:00,97108.19327190118,271.7293911855999,6.94105323646214,2.2451499207244194,0.003450002276635818,3.0
2022-12-04 03:00:00,97151.76197106802,271.5749161618568,6.804486203241258,2.2452518341856114,0.002880798509617335,3.0
2022-12-04 04:00:00,97165.32731696244,271.3697179959891,6.565016302163977,2.243997284510999,0.0030889019470511396,3.0
2022-12-04 05:00:00,97177.29673981048,271.2037149853995,6.616796577025772,2.2446333248087416,0.003766046233934629,3.0
2022-12-04 06:00:00,97199.48007015549,270.9639328589923,6.299208582633922,2.243056874062045,0.0024960883087481534,3.0
2022-12-04 07:00:00,97210.81112378497,270.8059994391952,6.864768032660723,2.2470917386111937,0.0053436813875214545,3.0
2022-12-04 08:00:00,97243.84673084553,270.754123498386,6.347997938817376,2.2444117489199367,0.005502468260041327,3.0
2022-12-04 09:00:00,97258.05044595852,270.681497181253,6.123528228930194,2.2432500066594154,0.004283573286051785,3.0
2022-12-04 10:00:00,97324.91962160285,270.76795708260175,6.559407172331269,2.2476512616394415,0.0058565580112186965,3.0
2022-12-04 11:00:00,97319.49348324508,271.0342535787559,6.307192628139219,2.2458191175625557,0.004956727690158074,3.0
2022-12-04 12:00:00,97352.20990569636,271.26135491963197,6.385912875355798,2.247054580761862,0.006304581493221619,3.0
2022-12-04 13:00:00,97338.64455980193,271.48384506576946,6.107025036640749,2.24486984407506,0.0053567610685261655,3.0
2022-12-04 14:00:00,97381.09611283628,271.7847255224631,6.129120216789667,2.2459419115392034,0.007988906389563002,3.0
2022-12-04 15:00:00,97395.61901255856,272.22624741868407,6.15375814604949,2.2463813622213267,0.006672404335185547,3.0
2022-12-04 16:00:00,97425.94155044024,272.46718234377596,6.060459593615688,2.2464222787665036,0.006180187936660987,3.0
2022-12-04 17:00:00,97457.86001136832,272.63664375041947,5.515361451824489,2.2435218116424314,0.005787240648449478,3.0
2022-12-04 18:00:00,97488.18254924999,272.8049523583784,5.730381058098193,2.245611285593507,0.007568185703070178,3.0
2022-12-04 19:00:00,97497.91767983306,272.91907942815874,6.277948569488678,2.2494359028789352,0.0074697961609838485,3.0
2022-12-04 20:00:00,97543.0823020463,273.0458872834703,6.380379658801298,2.2511196825269875,0.006544316933683473,3.0
2022-12-04 21:00:00,97545.79537122519,273.132347184819,6.203977854055259,2.250006050015786,0.007362649935451008,3.0
