,presion,temperatura,IWV,ZTD,RMS_ERROR,n
2022-12-04 00:00:00,101582.20394019043,287.0985032493544,35.42042249773734,2.1627699999999996,0.0011900000000000244,2.0
2022-12-04 01:00:00,101701.7385763661,286.61086940574745,34.778348074261615,2.16128,0.00072,1.0
2022-12-04 02:00:00,101741.9558371355,287.0477801072298,34.19556478115807,2.15808,0.00075,1.0
2022-12-04 03:00:00,101784.88616708377,286.60741100969346,33.87797987467396,2.15715,0.00087,1.0
2022-12-04 04:00:00,101740.51950639373,286.85641552557786,33.50089823392474,2.15376,0.00069,1.0
2022-12-04 05:00:00,101685.30056898814,286.7388300597436,34.06530531528769,2.15636,0.00074,1.0
2022-12-04 06:00:00,101621.9424240459,286.76880282554447,34.26488226094402,2.1564,0.00067,1.0
2022-12-04 07:00:00,101494.90694955214,286.0909571989703,33.195702469544024,2.14759,0.00066,1.0
2022-12-04 08:00:00,101447.02925816001,285.95262135681224,33.027757800845784,2.14569,0.00061,1.0
2022-12-04 09:00:00,101428.0377739078,285.2655533407608,34.004279352055946,2.15196,0.00056,1.0
2022-12-04 10:00:00,101500.49268021455,284.9923400524988,34.49495851663289,2.15664,0.00062,1.0
2022-12-04 11:00:00,101631.99673923825,285.12837029728746,34.16182820955422,2.15694,0.00056,1.0
2022-12-04 12:00:00,101741.47706022157,285.77278476200684,34.03869365656818,2.15785,0.00053,1.0
2022-12-04 13:00:00,101783.449836342,287.0892808598772,35.230374766307946,2.16541,0.00058,1.0
2022-12-04 14:00:00,101841.06265831718,287.8374472062151,36.002665712094114,2.17093,0.00055,1.0
2022-12-04 15:00:00,101796.69599762715,288.63633669467754,36.166439060388605,2.17061,0.00062,1.0
2022-12-04 16:00:00,101746.42442166542,289.3441550870527,35.69192773325184,2.16621,0.00059,1.0
2022-12-04 17:00:00,101689.4499689088,289.3672110607457,37.50254269077125,2.17652,0.00069,1.0
2022-12-04 18:00:00,101612.52647807212,288.4784032748805,38.12320161805317,2.17956,0.00077,1.0
2022-12-04 19:00:00,101528.58092583127,288.29049708928255,36.7620096145183,2.16948,0.00071,1.0
2022-12-04 20:00:00,101469.69136541896,288.15907803923244,37.01474764983176,2.17004,0.00066,1.0
2022-12-04 21:00:00,101480.70323443913,287.96425506152656,34.739264210590434,2.15598,0.00062,1.0
2022-12-04 22:00:00,101473.20239612104,286.6489117623409,33.74913285803147,2.15036,0.00061,1.0
2022-12-04 23:00:00,101589.22600159462,286.9105970637564,32.37558898128081,2.1437,0.00065,1.0
2022-12-05 00:00:00,101647.95596970229,286.8218315650384,33.41195385762518,2.15145,0.00111,1.0
2022-12-05 01:00:00,101731.90152194315,286.7941643966068,33.2783571421737,2.15222,0.00075,1.0
2022-12-05 02:00:00,101775.31062880534,286.5117287188675,33.20033779674613,2.15272,0.00071,1.0
2022-12-05 03:00:00,101764.45835208979,286.4690751675355,33.927745456083024,2.15716,0.00077,1.0
2022-12-05 04:00:00,101696.9508072269,286.39414325303323,33.65122022304402,2.15416,0.00068,1.0
2022-12-05 05:00:00,101623.37875478767,286.26041860561384,32.41384834009039,2.14497,0.00092,1.0
2022-12-05 06:00:00,101577.89494796515,286.1243883608251,32.287909906314816,2.14338,0.00076,1.0
2022-12-05 07:00:00,101497.9392033403,286.09787399107813,32.22662423844325,2.14148,0.00067,1.0
2022-12-05 08:00:00,101474.47913455816,286.11170757529396,30.887914478900107,2.13251,0.00065,1.0
2022-12-05 09:00:00,101468.73381159111,286.4010600451411,31.013673814769632,2.13304,0.00061,1.0
2022-12-05 10:00:00,101478.94771908809,286.11631877003254,30.862331216049565,2.13243,0.00064,1.0
2022-12-05 11:00:00,101563.0528636336,286.203931470066,30.573529228082194,2.13215,0.0006,1.0
2022-12-05 12:00:00,101680.19361523965,286.0114140897294,29.63511793074763,2.12852,0.00055,1.0
2022-12-05 13:00:00,101760.46854447377,285.6067817514172,29.979548510922587,2.13246,0.00054,1.0
2022-12-05 14:00:00,101801.80295137565,287.3694109402472,30.432968296739183,2.13518,0.00061,1.0
2022-12-05 15:00:00,101746.26482936078,288.10143810499994,30.38776110309543,2.13344,0.00064,1.0
2022-12-05 16:00:00,101661.840500206,289.300348737036,31.677841064294885,2.13932,0.00065,1.0
2022-12-05 17:00:00,101586.83211702501,289.64157714769243,31.176170814270204,2.13454,0.00073,1.0
2022-12-05 18:00:00,101448.9443658157,289.9044152477926,29.857941414710055,2.12347,0.00081,1.0
2022-12-05 19:00:00,101331.00565268644,290.4347026427316,30.872712003398387,2.12732,0.00077,1.0
2022-12-05 20:00:00,101344.7305908855,291.79385229193406,32.464821199668826,2.13682,0.00072,1.0
